JUNGFRAU   LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3475 M
JUNGFRAU   INSTRUMENT   3-NM-64  NEUTRON MONITOR	
JUNGFRAU   STANDARD PRESSURE    642.61  MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU   PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
JUNGFRAU   PRE-INCREASE AVERAGE COUNTING RATE    143.59      COUNTS PER SECOND
JUNGFRAU   TIME INTERVALS    300         3600     
JUNGFRAU   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU   241122 300  000500-001000   00     179.85  630.6    142.37    -0.85    -0.56
JUNGFRAU   241122 300  001000-001500   00     180.81  630.9    143.45    -0.10     0.18
JUNGFRAU   241122 300  001500-002000   00     181.08  631.1    143.79     0.14     0.40
JUNGFRAU   241122 300  002000-002500   00     181.97  630.8    144.29     0.49     0.74
JUNGFRAU   241122 300  002500-003000   00     180.41  631.1    143.36    -0.16     0.07
JUNGFRAU   241122 300  003000-003500   00     180.87  631.0    143.51    -0.06     0.16
JUNGFRAU   241122 300  003500-004000   00     179.52  630.3    141.77    -1.27    -1.06
JUNGFRAU   241122 300  004000-004500   00     179.07  630.8    141.98    -1.12    -0.93
JUNGFRAU   241122 300  004500-005000   00     180.97  630.7    143.41    -0.12     0.05
JUNGFRAU   241122 300  005000-005500   00     179.12  630.8    142.05    -1.07    -0.92
JUNGFRAU   241122 300  005500-010000   00     180.67  630.9    143.21    -0.26    -0.12
JUNGFRAU   241122 300  010000-010500   00     180.38  631.0    143.13    -0.32    -0.19
JUNGFRAU   241122 300  010500-011000   00     181.52  631.4    144.50     0.64     0.75
JUNGFRAU   241122 300  011000-011500   00     179.20  631.3    142.52    -0.74    -0.65
JUNGFRAU   241122 300  011500-012000   00     181.70  631.2    144.48     0.62     0.69
JUNGFRAU   241122 300  012000-012500   00     181.05  631.5    144.27     0.48     0.53
JUNGFRAU   241122 300  012500-013000   00     180.03  631.4    143.40    -0.13    -0.09
JUNGFRAU   241122 300  013000-013500   00     179.44  631.5    142.96    -0.44    -0.42
JUNGFRAU   241122 300  013500-014000   00     181.81  631.8    145.12     1.07     1.06
JUNGFRAU   241122 300  014000-014500   00     179.19  631.8    143.06    -0.36    -0.39
JUNGFRAU   241122 300  014500-015000   00     180.48  632.0    144.24     0.46     0.41
JUNGFRAU   241122 300  015000-015500   00     178.87  632.2    143.25    -0.23    -0.30
JUNGFRAU   241122 300  015500-020000   00     179.01  632.1    143.28    -0.22    -0.30
JUNGFRAU   241122 3600 020000-030000   00     177.01  632.9    142.44    -0.80    -9999
JUNGFRAU   241122 3600 030000-040000   00     189.42  632.8    142.07    -1.06    -9999
JUNGFRAU   241122 3600 040000-050000   00    -999.00  633.2    143.75     0.11    -9999
