JANG-BOGO  LATITUDE    74.6      LONGITUDE     164.2     ALTITUDE    30 M
JANG-BOGO  INSTRUMENT   5-NM-64  NEUTRON MONITOR	
JANG-BOGO  STANDARD PRESSURE    978     MB     COEFFICIENT   -0.74     % / MB
JANG-BOGO  PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
JANG-BOGO  PRE-INCREASE AVERAGE COUNTING RATE    237.53      COUNTS PER SECOND
JANG-BOGO  TIME INTERVALS    300         3600     
JANG-BOGO  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JANG-BOGO  241122 300  004500-005000   00     250.45  972.0    238.65     0.47     0.47
JANG-BOGO  241122 300  005000-005500   00    -999.00 -999.0   -999.00    -9999    -9999
JANG-BOGO  241122 300  005500-010000   00     249.97  972.0    238.23     0.30     0.30
JANG-BOGO  241122 300  010000-010500   00     250.23  972.2    238.57     0.44     0.44
JANG-BOGO  241122 300  010500-011000   00     256.00  972.0    243.90     2.68     2.68
JANG-BOGO  241122 300  011000-011500   00     249.40  972.0    237.55     0.01     0.01
JANG-BOGO  241122 300  011500-012000   00     247.40  972.0    235.67    -0.78    -0.78
JANG-BOGO  241122 300  012000-012500   00     247.30  972.0    235.60    -0.81    -0.81
JANG-BOGO  241122 300  012500-013000   00    -999.00 -999.0   -999.00    -9999    -9999
JANG-BOGO  241122 300  013000-013500   00     254.10  972.0    242.10     1.92     1.92
JANG-BOGO  241122 300  013500-014000   00    -999.00 -999.0   -999.00    -9999    -9999
JANG-BOGO  241122 300  014000-014500   00     248.78  972.1    237.15    -0.16    -0.16
JANG-BOGO  241122 300  014500-015000   00     247.50  972.2    236.00    -0.64    -0.64
JANG-BOGO  241122 300  015000-015500   00     256.40  972.2    244.50     2.93     2.93
JANG-BOGO  241122 300  015500-020000   00     244.60  972.2    233.40    -1.74    -1.74
JANG-BOGO  241122 3600 020000-030000   00     249.50  972.1    237.86     0.14    -9999
JANG-BOGO  241122 3600 030000-040000   00     249.49  972.2    238.04     0.22    -9999
JANG-BOGO  241122 3600 040000-050000   00     250.51  972.5    239.40     0.79    -9999
JANG-BOGO  241122 3600 050000-060000   00     248.72  972.6    238.01     0.20    -9999
JANG-BOGO  241122 3600 060000-070000   00     249.91  972.3    238.46     0.39    -9999
JANG-BOGO  241122 3600 070000-080000   00     250.78  971.8    238.46     0.39    -9999
JANG-BOGO  241122 3600 080000-090000   00     249.88  971.8    237.57     0.02    -9999
JANG-BOGO  241122 3600 090000-100000   00     251.39  971.6    238.82     0.54    -9999
JANG-BOGO  241122 3600 100000-110000   00     250.65  971.6    237.93     0.17    -9999
JANG-BOGO  241122 3600 110000-120000   00     250.59  971.0    236.93    -0.25    -9999
JANG-BOGO  241122 3600 120000-130000   00     251.07  970.4    236.34    -0.50    -9999
JANG-BOGO  241122 3600 130000-140000   00     253.30  969.7    237.12    -0.17    -9999
JANG-BOGO  241122 3600 140000-150000   00     253.60  968.6    235.59    -0.82    -9999
JANG-BOGO  241122 3600 150000-160000   00     255.96  967.8    236.19    -0.56    -9999
JANG-BOGO  241122 3600 160000-170000   00     257.77  967.1    236.79    -0.31    -9999
JANG-BOGO  241122 3600 170000-180000   00     261.51  965.9    237.97     0.18    -9999
JANG-BOGO  241122 3600 180000-190000   00     262.43  965.9    238.96     0.60    -9999
JANG-BOGO  241122 3600 190000-200000   00     263.17  966.1    239.94     1.01    -9999
JANG-BOGO  241122 3600 200000-210000   00     261.89  966.8    240.07     1.07    -9999
JANG-BOGO  241122 3600 210000-220000   00     260.52  967.7    240.35     1.19    -9999
JANG-BOGO  241122 3600 220000-230000   00     259.32  968.4    240.48     1.24    -9999
JANG-BOGO  241122 3600 230000-240000   00     258.02  969.2    240.62     1.30    -9999
*
COMMENT DATA SOURCE: NMDB | DOWNLOADED ON 27.11.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-11 16:21:29 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE76/C076JBGO_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
