ATHENS     LATITUDE    37.97     LONGITUDE     23.72     ALTITUDE    40 M
ATHENS     INSTRUMENT   3NM64    NEUTRON MONITOR     
ATHENS     STANDARD PRESSURE    980     MB     COEFFICIENT   -0.7      % / MB
ATHENS     PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
ATHENS     PRE-INCREASE AVERAGE COUNTING RATE     50.95      COUNTS PER SECOND
ATHENS     TIME INTERVALS    300         3600     
ATHENS     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
ATHENS     241122 3600 040000-050000   00      51.77  977.6     50.51    -0.87    -9999
ATHENS     241122 3600 050000-060000   00      51.56  977.8     50.86    -0.18    -9999
ATHENS     241122 3600 060000-070000   00      52.13  978.1     51.10     0.28    -9999
ATHENS     241122 3600 070000-080000   00      51.82  978.3     50.52    -0.86    -9999
ATHENS     241122 3600 080000-090000   00      51.97  978.0     50.96     0.00    -9999
ATHENS     241122 3600 090000-100000   00      52.32  977.8     50.96     0.02    -9999
ATHENS     241122 3600 100000-110000   00    -999.00 -999.0   -999.00    -9999    -9999
ATHENS     241122 3600 110000-120000   00    -999.00 -999.0   -999.00    -9999    -9999
ATHENS     241122 3600 120000-130000   00    -999.00 -999.0   -999.00    -9999    -9999
ATHENS     241122 3600 130000-140000   00    -999.00 -999.0   -999.00    -9999    -9999
ATHENS     241122 3600 140000-150000   00    -999.00 -999.0   -999.00    -9999    -9999
ATHENS     241122 3600 150000-160000   00    -999.00 -999.0   -999.00    -9999    -9999
ATHENS     241122 3600 160000-170000   00    -999.00 -999.0   -999.00    -9999    -9999
ATHENS     241122 3600 170000-180000   00    -999.00 -999.0   -999.00    -9999    -9999
ATHENS     241122 3600 180000-190000   00    -999.00 -999.0   -999.00    -9999    -9999
ATHENS     241122 3600 190000-200000   00    -999.00 -999.0   -999.00    -9999    -9999
ATHENS     241122 3600 200000-210000   00    -999.00 -999.0   -999.00    -9999    -9999
ATHENS     241122 3600 210000-220000   00    -999.00 -999.0   -999.00    -9999    -9999
ATHENS     241122 3600 220000-230000   00    -999.00 -999.0   -999.00    -9999    -9999
ATHENS     241122 3600 230000-240000   00    -999.00 -999.0   -999.00    -9999    -9999
*
COMMENT DATA SOURCE: NMDB | DOWNLOADED ON 27.11.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-11 16:21:29 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE76/C076ATHN_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
