NAIN       LATITUDE    56.6      LONGITUDE     -61.7     ALTITUDE    0 M
NAIN       INSTRUMENT   18NM64    NEUTRON MONITOR     	
NAIN       STANDARD PRESSURE    1013    MB     COEFFICIENT   -0.75     % / MB
NAIN       PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
NAIN       PRE-INCREASE AVERAGE COUNTING RATE    191.91      COUNTS PER SECOND
NAIN       TIME INTERVALS    300         3600     
NAIN       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
NAIN       241122 300  002500-003000   00     165.94 1030.3    189.93    -1.04    -1.04
NAIN       241122 300  003000-003500   00     167.74 1030.2    191.92     0.00     0.00
NAIN       241122 300  003500-004000   00     167.59 1030.2    191.66    -0.13    -0.13
NAIN       241122 300  004000-004500   00     166.21 1030.1    190.00    -1.00    -1.00
NAIN       241122 300  004500-005000   00     165.43 1030.1    189.12    -1.46    -1.46
NAIN       241122 300  005000-005500   00     166.92 1030.0    190.75    -0.60    -0.60
NAIN       241122 300  005500-010000   00     165.72 1030.0    189.33    -1.34    -1.34
NAIN       241122 300  010000-010500   00     167.55 1030.0    191.32    -0.31    -0.31
NAIN       241122 300  010500-011000   00     166.01 1029.9    189.53    -1.24    -1.24
NAIN       241122 300  011000-011500   00     167.30 1029.8    190.90    -0.53    -0.53
NAIN       241122 300  011500-012000   00     168.34 1029.8    192.02     0.06     0.06
NAIN       241122 300  012000-012500   00     168.04 1029.8    191.62    -0.15    -0.15
NAIN       241122 300  012500-013000   00     165.85 1029.7    189.02    -1.51    -1.51
NAIN       241122 300  013000-013500   00     167.59 1029.6    190.91    -0.52    -0.52
NAIN       241122 300  013500-014000   00     167.56 1029.6    190.89    -0.53    -0.53
NAIN       241122 300  014000-014500   00     168.16 1029.7    191.64    -0.14    -0.14
NAIN       241122 300  014500-015000   00     167.64 1029.6    191.00    -0.48    -0.48
NAIN       241122 300  015000-015500   00     165.76 1029.6    188.79    -1.63    -1.63
NAIN       241122 300  015500-020000   00     169.87 1029.5    193.41     0.78     0.78
NAIN       241122 3600 020000-030000   00     167.63 1029.2    190.36    -0.81    -9999
NAIN       241122 3600 030000-040000   00     167.87 1028.7    189.86    -1.07    -9999
NAIN       241122 3600 040000-050000   00     168.34 1028.2    189.78    -1.11    -9999
NAIN       241122 3600 050000-060000   00     168.14 1027.9    189.03    -1.50    -9999
NAIN       241122 3600 060000-070000   00     168.20 1027.8    189.00    -1.52    -9999
NAIN       241122 3600 070000-080000   00     168.52 1027.9    189.45    -1.28    -9999
NAIN       241122 3600 080000-090000   00     168.50 1027.7    189.21    -1.41    -9999
NAIN       241122 3600 090000-100000   00     168.81 1027.5    189.25    -1.39    -9999
NAIN       241122 3600 100000-110000   00     169.15 1027.2    189.19    -1.42    -9999
NAIN       241122 3600 110000-120000   00     170.08 1026.8    189.71    -1.15    -9999
NAIN       241122 3600 120000-130000   00     170.71 1026.5    189.93    -1.03    -9999
NAIN       241122 3600 130000-140000   00     170.82 1026.3    189.77    -1.12    -9999
NAIN       241122 3600 140000-150000   00     171.77 1025.7    190.07    -0.96    -9999
NAIN       241122 3600 150000-160000   00     173.26 1025.0    190.72    -0.62    -9999
