ALMA-ATA-B LATITUDE    43.14     LONGITUDE     76.6      ALTITUDE    3340 M
ALMA-ATA-B INSTRUMENT   18NM64    NEUTRON MONITOR     
ALMA-ATA-B STANDARD PRESSURE    675     MB     COEFFICIENT   -0.72     % / MB
ALMA-ATA-B PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
ALMA-ATA-B PRE-INCREASE AVERAGE COUNTING RATE  1,410.05      COUNTS PER SECOND
ALMA-ATA-B TIME INTERVALS    300         3600     
ALMA-ATA-B SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
ALMA-ATA-B 170911 300  044000-044500   00    1314.42  681.8   1420.78     0.76    -9999
ALMA-ATA-B 170911 300  044500-045000   00    1312.94  681.8   1419.64     0.68    -9999
ALMA-ATA-B 170911 300  045000-045500   00    1309.54  681.9   1416.26     0.44    -9999
ALMA-ATA-B 170911 300  045500-050000   00    1313.80  681.8   1420.46     0.74    -9999
ALMA-ATA-B 170911 300  050000-050500   00    1315.24  681.9   1422.40     0.88    -9999
ALMA-ATA-B 170911 300  050500-051000   00    1309.22  681.9   1416.36     0.45    -9999
ALMA-ATA-B 170911 300  051000-051500   00    1312.24  681.9   1419.48     0.67    -9999
ALMA-ATA-B 170911 300  051500-052000   00    1322.30  681.9   1430.32     1.44    -9999
ALMA-ATA-B 170911 300  052000-052500   00    1314.96  681.9   1422.54     0.89    -9999
ALMA-ATA-B 170911 300  052500-053000   00    1311.22  681.9   1418.32     0.59    -9999
ALMA-ATA-B 170911 300  053000-053500   00    1313.64  681.9   1420.70     0.76    -9999
ALMA-ATA-B 170911 300  053500-054000   00    1310.12  681.8   1416.76     0.48    -9999
ALMA-ATA-B 170911 300  054000-054500   00    1309.36  681.9   1416.30     0.44    -9999
ALMA-ATA-B 170911 300  054500-055000   00    1325.66  681.7   1432.56     1.60    -9999
ALMA-ATA-B 170911 300  055000-055500   00    1309.60  681.8   1416.06     0.43    -9999
ALMA-ATA-B 170911 300  055500-060000   00    1319.04  681.8   1426.24     1.15    -9999
ALMA-ATA-B 170911 300  060000-060500   00    1314.64  681.9   1421.60     0.82    -9999
ALMA-ATA-B 170911 300  060500-061000   00    1315.24  681.9   1422.16     0.86    -9999
ALMA-ATA-B 170911 300  061000-061500   00    1314.46  681.8   1420.62     0.75    -9999
ALMA-ATA-B 170911 300  061500-062000   00    1315.76  681.8   1422.62     0.89    -9999
ALMA-ATA-B 170911 300  062000-062500   00    1312.36  681.8   1419.06     0.64    -9999
ALMA-ATA-B 170911 300  062500-063000   00    1316.18  681.8   1422.84     0.91    -9999
