MOSCOW     LATITUDE    55.47     LONGITUDE     37.32     ALTITUDE    200 M
MOSCOW     INSTRUMENT   24NM64    NEUTRON MONITOR	
MOSCOW     STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.71     % / mb
MOSCOW     PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
MOSCOW     PRE-INCREASE AVERAGE COUNTING RATE    164.96      COUNTS PER SECOND
MOSCOW     TIME INTERVALS    300         3600     
MOSCOW     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MOSCOW     170910 300  224500-225000   00     175.93  992.5    166.68     1.04    -0.01
MOSCOW     170910 300  225000-225500   00     174.25  992.5    165.10     0.08    -0.98
MOSCOW     170910 300  225500-230000   00     174.80  992.5    165.60     0.39    -0.68
MOSCOW     170910 300  230000-230500   00     176.62  992.5    167.33     1.44     0.36
MOSCOW     170910 300  230500-231000   00     177.08  992.5    167.77     1.70     0.61
MOSCOW     170910 300  231000-231500   00     176.58  992.5    167.32     1.43     0.33
MOSCOW     170910 300  231500-232000   00     176.87  992.5    167.57     1.58     0.47
MOSCOW     170910 300  232000-232500   00     176.62  992.5    167.33     1.44     0.31
MOSCOW     170910 300  232500-233000   00     177.45  992.5    168.12     1.92     0.78
MOSCOW     170910 300  233000-233500   00     177.00  992.5    167.65     1.63     0.48
MOSCOW     170910 300  233500-234000   00     176.42  992.4    167.03     1.25     0.09
MOSCOW     170910 300  234000-234500   00     174.93  992.4    165.62     0.40    -0.77
MOSCOW     170910 300  234500-235000   00     174.43  992.4    165.12     0.10    -1.08
MOSCOW     170910 300  235000-235500   00     176.48  992.4    167.03     1.25     0.06
MOSCOW     170910 300  235500-240000   00     176.53  992.4    167.13     1.32     0.12
MOSCOW     170911 300  000000-000500   00     176.43  992.5    167.13     1.32     0.11
MOSCOW     170911 300  000500-001000   00     175.52  992.4    166.18     0.74    -9999
MOSCOW     170911 300  001000-001500   00     177.72  992.4    168.27     2.01    -9999
MOSCOW     170911 300  001500-002000   00     176.50  992.5    167.22     1.37    -9999
MOSCOW     170911 300  002000-002500   00     177.32  992.5    167.98     1.83    -9999
MOSCOW     170911 300  002500-003000   00     175.92  992.5    166.67     1.04    -9999
MOSCOW     170911 300  003000-003500   00     173.18  992.5    164.08    -0.53    -9999
MOSCOW     170911 300  003500-004000   00     176.13  992.5    166.88     1.16    -9999
MOSCOW     170911 300  004000-004500   00     175.68  992.5    166.43     0.89    -9999
MOSCOW     170911 300  004500-005000   00     176.30  992.5    167.03     1.25    -9999
MOSCOW     170911 300  005000-005500   00     174.98  992.5    165.78     0.50    -9999
MOSCOW     170911 300  005500-010000   00     176.40  992.4    167.03     1.25    -9999
MOSCOW     170911 300  010000-010500   00     175.70  992.4    166.33     0.83    -9999
MOSCOW     170911 300  010500-011000   00     176.50  992.4    167.05     1.27    -9999
MOSCOW     170911 300  011000-011500   00     175.53  992.3    166.10     0.69    -9999
MOSCOW     170911 300  011500-012000   00     176.00  992.4    166.63     1.01    -9999
MOSCOW     170911 300  012000-012500   00     176.38  992.4    166.97     1.22    -9999
MOSCOW     170911 300  012500-013000   00     177.33  992.4    167.88     1.77    -9999
MOSCOW     170911 300  013000-013500   00     177.28  992.4    167.90     1.78    -9999
MOSCOW     170911 300  013500-014000   00     174.97  992.5    165.77     0.49    -9999
MOSCOW     170911 300  014000-014500   00     177.88  992.5    168.53     2.16    -9999
MOSCOW     170911 300  014500-015000   00     175.65  992.5    166.42     0.89    -9999
MOSCOW     170911 300  015000-015500   00     177.47  992.5    168.08     1.89    -9999
MOSCOW     170911 300  015500-020000   00     176.37  992.4    166.98     1.22    -9999
MOSCOW     170911 300  020000-020500   00     173.98  992.4    164.67    -0.18    -9999
MOSCOW     170911 300  020500-021000   00     176.65  992.3    167.12     1.31    -9999
MOSCOW     170911 300  021000-021500   00     175.92  992.3    166.43     0.89    -9999
MOSCOW     170911 300  021500-022000   00     176.32  992.2    166.70     1.05    -9999
MOSCOW     170911 300  022000-022500   00     175.48  992.2    165.90     0.57    -9999
MOSCOW     170911 300  022500-023000   00     174.02  992.2    164.52    -0.27    -9999
MOSCOW     170911 300  023000-023500   00     175.22  992.2    165.65     0.42    -9999
MOSCOW     170911 300  023500-024000   00     177.47  992.2    167.83     1.74    -9999
MOSCOW     170911 300  024000-024500   00     177.17  992.3    167.62     1.61    -9999
MOSCOW     170911 300  024500-025000   00     175.57  992.3    166.10     0.69    -9999
MOSCOW     170911 300  025000-025500   00     177.02  992.3    167.47     1.52    -9999
MOSCOW     170911 300  025500-030000   00     177.47  992.3    167.88     1.77    -9999
MOSCOW     170911 300  030000-030500   00     178.12  992.3    168.50     2.15    -9999
MOSCOW     170911 300  030500-031000   00     176.62  992.3    167.08     1.29    -9999
MOSCOW     170911 300  031000-031500   00     175.23  992.3    165.80     0.51    -9999
MOSCOW     170911 300  031500-032000   00     176.97  992.4    167.53     1.56    -9999
MOSCOW     170911 300  032000-032500   00     176.13  992.4    166.75     1.09    -9999
MOSCOW     170911 300  032500-033000   00     177.52  992.4    168.05     1.87    -9999
MOSCOW     170911 300  033000-033500   00     176.13  992.4    166.77     1.10    -9999
MOSCOW     170911 300  033500-034000   00     177.90  992.3    168.32     2.04    -9999
MOSCOW     170911 300  034000-034500   00     175.47  992.3    166.02     0.64    -9999
MOSCOW     170911 300  034500-035000   00     176.48  992.3    166.97     1.22    -9999
MOSCOW     170911 300  035000-035500   00     175.43  992.3    165.97     0.61    -9999
MOSCOW     170911 300  035500-040000   00     177.70  992.3    168.13     1.92    -9999
MOSCOW     170911 300  040000-040500   00     177.42  992.3    167.90     1.78    -9999
MOSCOW     170911 300  040500-041000   00     176.47  992.4    167.07     1.28    -9999
MOSCOW     170911 300  041000-041500   00     176.33  992.4    166.95     1.21    -9999
MOSCOW     170911 300  041500-042000   00     176.45  992.4    167.07     1.28    -9999
MOSCOW     170911 300  042000-042500   00     179.15  992.4    169.60     2.81    -9999
MOSCOW     170911 300  042500-043000   00     176.83  992.4    167.42     1.49    -9999
MOSCOW     170911 300  043000-043500   00     176.37  992.4    166.97     1.22    -9999
MOSCOW     170911 300  043500-044000   00     176.78  992.4    167.40     1.48    -9999
MOSCOW     170911 300  044000-044500   00     176.90  992.3    167.37     1.46    -9999
MOSCOW     170911 300  044500-045000   00     177.62  992.3    167.98     1.83    -9999
MOSCOW     170911 300  045000-045500   00     178.62  992.3    168.98     2.44    -9999
MOSCOW     170911 300  045500-050000   00     174.90  992.3    165.45     0.30    -9999
MOSCOW     170911 300  050000-050500   00     176.98  992.3    167.43     1.50    -9999
MOSCOW     170911 300  050500-051000   00     175.40  992.3    165.95     0.60    -9999
MOSCOW     170911 300  051000-051500   00     177.95  992.3    168.38     2.07    -9999
MOSCOW     170911 300  051500-052000   00     176.80  992.3    167.30     1.42    -9999
MOSCOW     170911 300  052000-052500   00     177.43  992.3    167.87     1.76    -9999
MOSCOW     170911 300  052500-053000   00     176.75  992.3    167.22     1.37    -9999
MOSCOW     170911 300  053000-053500   00     178.97  992.2    169.22     2.58    -9999
MOSCOW     170911 300  053500-054000   00     177.33  992.3    167.72     1.67    -9999
MOSCOW     170911 300  054000-054500   00     179.42  992.2    169.60     2.81    -9999
MOSCOW     170911 300  054500-055000   00     178.90  992.1    169.03     2.47    -9999
MOSCOW     170911 300  055000-055500   00     176.07  992.1    166.38     0.86    -9999
MOSCOW     170911 300  055500-060000   00     177.13  992.2    167.45     1.51    -9999
MOSCOW     170911 300  060000-060500   00     179.23  992.2    169.45     2.72    -9999
MOSCOW     170911 300  060500-061000   00     177.98  992.2    168.27     2.01    -9999
MOSCOW     170911 300  061000-061500   00     176.58  992.2    166.95     1.21    -9999
MOSCOW     170911 300  061500-062000   00     177.18  992.3    167.58     1.59    -9999
MOSCOW     170911 300  062000-062500   00     177.62  992.3    168.00     1.84    -9999
MOSCOW     170911 300  062500-063000   00     176.55  992.2    166.95     1.21    -9999
MOSCOW     170911 300  063000-063500   00     177.00  992.3    167.45     1.51    -9999
