SOPO-6NM64 LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOPO-6NM64 INSTRUMENT   6NM64b    NEUTRON MONITOR	
SOPO-6NM64 STANDARD PRESSURE    687.7   mb     COEFFICIENT   -0.75     % / mb
SOPO-6NM64 PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
SOPO-6NM64 PRE-INCREASE AVERAGE COUNTING RATE    151.03      COUNTS PER SECOND
SOPO-6NM64 TIME INTERVALS    300         3600     
SOPO-6NM64 SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
SOPO-6NM64 170910 300  215500-220000   00     173.17  669.7    160.32     6.15     4.87
SOPO-6NM64 170910 300  220000-220500   00     171.89  669.6    159.12     5.35     4.06
SOPO-6NM64 170910 300  220500-221000   00     173.42  669.6    160.42     6.21     4.91
SOPO-6NM64 170910 300  221000-221500   00     172.82  669.6    159.89     5.87     4.56
SOPO-6NM64 170910 300  221500-222000   00     172.78  669.6    159.93     5.89     4.57
SOPO-6NM64 170910 300  222000-222500   00     173.57  669.7    160.69     6.39     5.05
SOPO-6NM64 170910 300  222500-223000   00     172.84  669.7    160.04     5.96     4.61
SOPO-6NM64 170910 300  223000-223500   00     172.86  669.7    160.06     5.98     4.62
SOPO-6NM64 170910 300  223500-224000   00     171.97  669.7    159.19     5.40     4.03
SOPO-6NM64 170910 300  224000-224500   00     172.77  669.6    159.92     5.89     4.51
SOPO-6NM64 170910 300  224500-225000   00     173.43  669.7    160.58     6.32     4.93
SOPO-6NM64 170910 300  225000-225500   00     173.35  669.7    160.55     6.30     4.90
SOPO-6NM64 170910 300  225500-230000   00     174.21  669.8    161.43     6.88     5.47
SOPO-6NM64 170910 300  230000-230500   00     172.87  669.8    160.19     6.07     4.65
SOPO-6NM64 170910 300  230500-231000   00     172.96  669.7    160.15     6.04     4.61
SOPO-6NM64 170910 300  231000-231500   00     171.94  669.7    159.18     5.39     3.95
SOPO-6NM64 170910 300  231500-232000   00     172.49  669.7    159.71     5.74     4.29
SOPO-6NM64 170910 300  232000-232500   00     170.97  669.7    158.36     4.85     3.39
SOPO-6NM64 170910 300  232500-233000   00     171.83  669.8    159.20     5.41     3.94
SOPO-6NM64 170910 300  233000-233500   00     171.10  669.8    158.55     4.97     3.49
SOPO-6NM64 170910 300  233500-234000   00     171.45  669.8    158.93     5.23     3.74
SOPO-6NM64 170910 300  234000-234500   00     172.04  669.9    159.59     5.66     4.16
SOPO-6NM64 170910 300  234500-235000   00     170.77  670.0    158.46     4.92     3.41
SOPO-6NM64 170910 300  235000-235500   00     171.82  670.0    159.43     5.56     4.04
SOPO-6NM64 170910 300  235500-240000   00     171.90  670.0    159.52     5.62     4.09
SOPO-6NM64 170911 300  000000-000500   00     171.25  669.9    158.84     5.17     3.63
SOPO-6NM64 170911 300  000500-001000   00     170.12  669.8    157.71     4.42     2.87
SOPO-6NM64 170911 300  001000-001500   00     169.83  669.9    157.49     4.28     2.72
SOPO-6NM64 170911 300  001500-002000   00     169.19  669.9    156.90     3.89     2.32
SOPO-6NM64 170911 300  002000-002500   00     169.80  669.9    157.48     4.27     2.69
SOPO-6NM64 170911 300  002500-003000   00     169.92  669.9    157.59     4.34     2.76
SOPO-6NM64 170911 300  003000-003500   00     171.29  669.9    158.84     5.17     3.58
SOPO-6NM64 170911 300  003500-004000   00     169.75  670.0    157.51     4.29     2.69
SOPO-6NM64 170911 300  004000-004500   00     169.55  670.1    157.46     4.26     2.65
SOPO-6NM64 170911 300  004500-005000   00     169.50  670.1    157.44     4.24     2.62
SOPO-6NM64 170911 300  005000-005500   00     170.50  670.1    158.35     4.84     3.21
SOPO-6NM64 170911 300  005500-010000   00     169.71  670.1    157.63     4.37     2.73
SOPO-6NM64 170911 300  010000-010500   00     168.58  670.2    156.69     3.75     2.11
SOPO-6NM64 170911 300  010500-011000   00     167.59  670.3    155.89     3.22     1.57
SOPO-6NM64 170911 300  011000-011500   00     168.47  670.3    156.72     3.77     2.11
SOPO-6NM64 170911 300  011500-012000   00     167.85  670.3    156.16     3.40     1.73
SOPO-6NM64 170911 300  012000-012500   00     169.13  670.2    157.26     4.13     2.45
SOPO-6NM64 170911 300  012500-013000   00     168.02  670.3    156.24     3.45     1.77
SOPO-6NM64 170911 300  013000-013500   00     168.55  670.3    156.76     3.79     2.10
SOPO-6NM64 170911 300  013500-014000   00     167.45  670.3    155.78     3.15     1.45
SOPO-6NM64 170911 300  014000-014500   00     166.88  670.3    155.24     2.79     1.08
SOPO-6NM64 170911 300  014500-015000   00     168.03  670.4    156.40     3.55     1.84
SOPO-6NM64 170911 300  015000-015500   00     166.12  670.4    154.59     2.35     0.63
SOPO-6NM64 170911 300  015500-020000   00     165.18  670.3    153.66     1.74     0.01
SOPO-6NM64 170911 300  020000-020500   00     167.33  670.3    155.62     3.04     1.31
SOPO-6NM64 170911 300  020500-021000   00     166.64  670.3    154.99     2.62     0.88
SOPO-6NM64 170911 300  021000-021500   00     167.14  670.3    155.51     2.96     1.21
SOPO-6NM64 170911 300  021500-022000   00     165.68  670.4    154.18     2.09     0.33
SOPO-6NM64 170911 300  022000-022500   00     167.32  670.4    155.75     3.12     1.36
SOPO-6NM64 170911 300  022500-023000   00     166.40  670.4    154.91     2.57     0.80
SOPO-6NM64 170911 300  023000-023500   00     166.79  670.4    155.27     2.80     1.02
SOPO-6NM64 170911 300  023500-024000   00     166.04  670.5    154.64     2.39     0.61
SOPO-6NM64 170911 300  024000-024500   00     166.32  670.5    154.96     2.60     0.81
SOPO-6NM64 170911 300  024500-025000   00     165.79  670.6    154.55     2.33     0.54
SOPO-6NM64 170911 300  025000-025500   00     165.17  670.6    154.05     2.00     0.20
SOPO-6NM64 170911 300  025500-030000   00     166.20  670.7    155.03     2.65     0.84
SOPO-6NM64 170911 300  030000-030500   00     166.77  670.6    155.52     2.97     1.16
SOPO-6NM64 170911 300  030500-031000   00     165.36  670.7    154.25     2.13     0.31
SOPO-6NM64 170911 300  031000-031500   00     165.69  670.7    154.54     2.33     0.51
SOPO-6NM64 170911 300  031500-032000   00     165.67  670.7    154.61     2.37     0.54
SOPO-6NM64 170911 300  032000-032500   00     165.34  670.9    154.45     2.27     0.43
SOPO-6NM64 170911 300  032500-033000   00     165.40  671.0    154.63     2.38     0.54
SOPO-6NM64 170911 300  033000-033500   00     164.89  671.0    154.15     2.06     0.21
SOPO-6NM64 170911 300  033500-034000   00     164.42  671.0    153.78     1.82    -0.03
SOPO-6NM64 170911 300  034000-034500   00     164.44  671.1    153.84     1.86     0.00
SOPO-6NM64 170911 300  034500-035000   00     164.22  671.0    153.57     1.68    -0.18
SOPO-6NM64 170911 300  035000-035500   00     163.32  670.9    152.65     1.07    -0.80
SOPO-6NM64 170911 300  035500-040000   00     164.84  670.9    153.99     1.96     0.09
SOPO-6NM64 170911 300  040000-040500   00     164.91  670.8    154.02     1.98     0.10
SOPO-6NM64 170911 300  040500-041000   00     167.19  670.8    156.14     3.38     1.50
SOPO-6NM64 170911 300  041000-041500   00     165.45  670.9    154.58     2.35     0.46
SOPO-6NM64 170911 300  041500-042000   00     165.99  670.9    155.10     2.69     0.80
SOPO-6NM64 170911 300  042000-042500   00     165.52  670.9    154.65     2.40     0.50
SOPO-6NM64 170911 300  042500-043000   00     166.37  670.9    155.41     2.90     1.00
SOPO-6NM64 170911 300  043000-043500   00     166.26  670.8    155.23     2.78     0.88
SOPO-6NM64 170911 300  043500-044000   00     165.70  670.8    154.67     2.41     0.50
SOPO-6NM64 170911 300  044000-044500   00     165.26  670.7    154.24     2.12     0.21
SOPO-6NM64 170911 300  044500-045000   00     164.56  670.7    153.58     1.69    -0.23
SOPO-6NM64 170911 300  045000-045500   00     165.29  670.7    154.26     2.14     0.22
SOPO-6NM64 170911 300  045500-050000   00     164.72  670.8    153.75     1.80    -0.12
SOPO-6NM64 170911 300  050000-050500   00     164.60  670.8    153.70     1.76    -0.17
SOPO-6NM64 170911 300  050500-051000   00     165.10  670.7    154.07     2.01     0.08
