IRKUTSK2   LATITUDE    52.28     LONGITUDE     104.02    ALTITUDE    2000 M
IRKUTSK2   INSTRUMENT   12NM64    NEUTRON MONITOR     
IRKUTSK2   STANDARD PRESSURE    789.2   mb     COEFFICIENT   -0.713    % / mb
IRKUTSK2   PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
IRKUTSK2   PRE-INCREASE AVERAGE COUNTING RATE    365.45      COUNTS PER SECOND
IRKUTSK2   TIME INTERVALS    300         3600     
IRKUTSK2   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
IRKUTSK2   170911 300  062000-062500   00     373.65  800.3    374.58     2.50    -9999
IRKUTSK2   170911 300  062500-063000   00     373.00  800.3    373.82     2.29    -9999
IRKUTSK2   170911 300  063000-063500   00     372.04  800.3    372.95     2.05    -9999
IRKUTSK2   170911 300  063500-064000   00     369.88  800.4    370.89     1.49    -9999
IRKUTSK2   170911 300  064000-064500   00     372.13  800.4    373.26     2.14    -9999
IRKUTSK2   170911 300  064500-065000   00     371.34  800.4    372.41     1.91    -9999
IRKUTSK2   170911 300  065000-065500   00     369.74  800.4    370.84     1.47    -9999
IRKUTSK2   170911 300  065500-070000   00     370.14  800.4    371.20     1.57    -9999
IRKUTSK2   170911 300  070000-070500   00     369.71  800.4    370.76     1.45    -9999
IRKUTSK2   170911 300  070500-071000   00     373.56  800.4    374.51     2.48    -9999
IRKUTSK2   170911 300  071000-071500   00     371.93  800.4    372.88     2.03    -9999
IRKUTSK2   170911 300  071500-072000   00     370.71  800.3    371.49     1.65    -9999
IRKUTSK2   170911 300  072000-072500   00     370.43  800.3    371.14     1.56    -9999
IRKUTSK2   170911 300  072500-073000   00     374.00  800.3    374.81     2.56    -9999
IRKUTSK2   170911 300  073000-073500   00     371.95  800.3    372.71     1.99    -9999
IRKUTSK2   170911 300  073500-074000   00     370.84  800.3    371.67     1.70    -9999
IRKUTSK2   170911 300  074000-074500   00     371.15  800.3    372.05     1.81    -9999
IRKUTSK2   170911 300  074500-075000   00     368.62  800.3    369.46     1.10    -9999
IRKUTSK2   170911 300  075000-075500   00     371.05  800.3    371.87     1.76    -9999
IRKUTSK2   170911 300  075500-080000   00     372.21  800.2    372.86     2.03    -9999
IRKUTSK2   170911 300  080000-080500   00     370.39  800.2    370.97     1.51    -9999
IRKUTSK2   170911 300  080500-081000   00     371.89  800.2    372.35     1.89    -9999
IRKUTSK2   170911 300  081000-081500   00     369.03  800.2    369.45     1.10    -9999
IRKUTSK2   170911 300  081500-082000   00     372.21  800.2    372.71     1.99    -9999
