YAKUTSK    LATITUDE    62.02     LONGITUDE     129.72    ALTITUDE    105 M
YAKUTSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
YAKUTSK    STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.72     % / mb
YAKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
YAKUTSK    PRE-INCREASE AVERAGE COUNTING RATE    218.05      COUNTS PER SECOND
YAKUTSK    TIME INTERVALS    300         3600     
YAKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
YAKUTSK    170910 300  211500-212000   00     220.32 1005.6    224.40     2.91     0.45
YAKUTSK    170910 300  212000-212500   00     220.32 1005.6    224.43     2.92     0.44
YAKUTSK    170910 300  212500-213000   00     218.13 1005.6    222.19     1.90    -0.60
YAKUTSK    170910 300  213000-213500   00     218.24 1005.6    222.29     1.94    -0.58
YAKUTSK    170910 300  213500-214000   00     219.07 1005.6    223.09     2.31    -0.23
YAKUTSK    170910 300  214000-214500   00     220.13 1005.6    224.16     2.80     0.24
YAKUTSK    170910 300  214500-215000   00     218.85 1005.6    222.88     2.21    -0.36
YAKUTSK    170910 300  215000-215500   00     218.32 1005.6    222.35     1.97    -0.62
YAKUTSK    170910 300  215500-220000   00     220.29 1005.6    224.35     2.89     0.28
YAKUTSK    170910 300  220000-220500   00     220.35 1005.6    224.48     2.95     0.32
YAKUTSK    170910 300  220500-221000   00     217.25 1005.6    221.31     1.49    -1.15
YAKUTSK    170910 300  221000-221500   00     217.15 1005.6    221.23     1.46    -1.20
YAKUTSK    170910 300  221500-222000   00     218.75 1005.6    222.85     2.20    -0.47
YAKUTSK    170910 300  222000-222500   00     218.93 1005.6    223.04     2.29    -0.40
YAKUTSK    170910 300  222500-223000   00     218.99 1005.6    223.09     2.31    -0.39
YAKUTSK    170910 300  223000-223500   00     221.65 1005.6    225.84     3.57     0.85
YAKUTSK    170910 300  223500-224000   00     219.97 1005.7    224.19     2.81     0.08
YAKUTSK    170910 300  224000-224500   00     219.79 1005.7    224.03     2.74    -0.01
YAKUTSK    170910 300  224500-225000   00     220.64 1005.7    224.99     3.18     0.42
YAKUTSK    170910 300  225000-225500   00     219.49 1005.8    223.87     2.67    -0.10
YAKUTSK    170910 300  225500-230000   00     220.61 1005.8    225.07     3.22     0.43
YAKUTSK    170910 300  230000-230500   00     216.85 1005.8    221.28     1.48    -1.32
YAKUTSK    170910 300  230500-231000   00     221.49 1005.8    226.00     3.64     0.83
YAKUTSK    170910 300  231000-231500   00     219.28 1005.8    223.73     2.61    -0.21
YAKUTSK    170910 300  231500-232000   00     220.64 1005.8    225.07     3.22     0.38
YAKUTSK    170910 300  232000-232500   00     220.88 1005.8    225.36     3.35     0.50
YAKUTSK    170910 300  232500-233000   00     220.24 1005.8    224.69     3.05     0.19
YAKUTSK    170910 300  233000-233500   00     217.92 1005.9    222.40     1.99    -0.88
YAKUTSK    170910 300  233500-234000   00     219.89 1005.9    224.45     2.94     0.06
YAKUTSK    170910 300  234000-234500   00     219.81 1005.9    224.35     2.89     0.00
YAKUTSK    170910 300  234500-235000   00     218.69 1005.9    223.20     2.36    -0.54
YAKUTSK    170910 300  235000-235500   00     218.88 1005.8    223.31     2.41    -0.50
YAKUTSK    170910 300  235500-240000   00     219.87 1005.8    224.19     2.81    -0.11
YAKUTSK    170911 300  000000-000500   00     218.91 1005.7    223.17     2.35    -0.58
YAKUTSK    170911 300  000500-001000   00     219.65 1005.7    223.95     2.70    -9999
YAKUTSK    170911 300  001000-001500   00     223.07 1005.7    227.44     4.31    -9999
YAKUTSK    170911 300  001500-002000   00     221.39 1005.7    225.71     3.51    -9999
YAKUTSK    170911 300  002000-002500   00     219.57 1005.7    223.89     2.68    -9999
YAKUTSK    170911 300  002500-003000   00     220.13 1005.7    224.48     2.95    -9999
YAKUTSK    170911 300  003000-003500   00     222.05 1005.7    226.45     3.85    -9999
YAKUTSK    170911 300  003500-004000   00     223.89 1005.7    228.27     4.68    -9999
YAKUTSK    170911 300  004000-004500   00     220.51 1005.7    224.80     3.09    -9999
YAKUTSK    170911 300  004500-005000   00     220.83 1005.7    225.09     3.23    -9999
YAKUTSK    170911 300  005000-005500   00     219.68 1005.7    223.89     2.68    -9999
YAKUTSK    170911 300  005500-010000   00     220.59 1005.6    224.72     3.06    -9999
YAKUTSK    170911 300  010000-010500   00     222.29 1005.6    226.43     3.84    -9999
YAKUTSK    170911 300  010500-011000   00     219.92 1005.6    224.03     2.74    -9999
YAKUTSK    170911 300  011000-011500   00     220.69 1005.6    224.83     3.11    -9999
YAKUTSK    170911 300  011500-012000   00     220.75 1005.6    224.83     3.11    -9999
YAKUTSK    170911 300  012000-012500   00     219.12 1005.6    223.23     2.37    -9999
YAKUTSK    170911 300  012500-013000   00     218.64 1005.6    222.67     2.12    -9999
YAKUTSK    170911 300  013000-013500   00     219.65 1005.5    223.65     2.57    -9999
YAKUTSK    170911 300  013500-014000   00     218.03 1005.5    221.97     1.80    -9999
YAKUTSK    170911 300  014000-014500   00     219.92 1005.5    223.87     2.67    -9999
YAKUTSK    170911 300  014500-015000   00     221.76 1005.5    225.68     3.50    -9999
YAKUTSK    170911 300  015000-015500   00     220.85 1005.4    224.72     3.06    -9999
YAKUTSK    170911 300  015500-020000   00     219.04 1005.5    222.91     2.23    -9999
YAKUTSK    170911 300  020000-020500   00     222.29 1005.5    226.24     3.75    -9999
YAKUTSK    170911 300  020500-021000   00     221.65 1005.5    225.55     3.44    -9999
YAKUTSK    170911 300  021000-021500   00     219.92 1005.4    223.76     2.62    -9999
YAKUTSK    170911 300  021500-022000   00     222.16 1005.4    225.95     3.62    -9999
YAKUTSK    170911 300  022000-022500   00     220.13 1005.3    223.84     2.65    -9999
YAKUTSK    170911 300  022500-023000   00     219.17 1005.3    222.77     2.17    -9999
YAKUTSK    170911 300  023000-023500   00     221.92 1005.3    225.55     3.44    -9999
YAKUTSK    170911 300  023500-024000   00     224.56 1005.3    228.21     4.66    -9999
YAKUTSK    170911 300  024000-024500   00     221.20 1005.3    224.77     3.08    -9999
YAKUTSK    170911 300  024500-025000   00     221.44 1005.3    225.04     3.20    -9999
YAKUTSK    170911 300  025000-025500   00     221.79 1005.2    225.31     3.33    -9999
YAKUTSK    170911 300  025500-030000   00     222.99 1005.2    226.45     3.85    -9999
YAKUTSK    170911 300  030000-030500   00     221.68 1005.1    225.04     3.20    -9999
YAKUTSK    170911 300  030500-031000   00     221.07 1005.1    224.32     2.87    -9999
YAKUTSK    170911 300  031000-031500   00     222.32 1005.0    225.49     3.41    -9999
YAKUTSK    170911 300  031500-032000   00     218.69 1005.0    221.79     1.71    -9999
YAKUTSK    170911 300  032000-032500   00     222.93 1004.9    225.97     3.63    -9999
YAKUTSK    170911 300  032500-033000   00     222.19 1004.9    225.23     3.29    -9999
YAKUTSK    170911 300  033000-033500   00     219.04 1004.9    222.05     1.83    -9999
YAKUTSK    170911 300  033500-034000   00     219.68 1004.9    222.72     2.14    -9999
YAKUTSK    170911 300  034000-034500   00     221.95 1005.0    225.04     3.20    -9999
