INUVIK     LATITUDE    68.35     LONGITUDE     -133.72   ALTITUDE    21 M
INUVIK     INSTRUMENT   18NM64    NEUTRON MONITOR     	
INUVIK     STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.58     % / mb
INUVIK     PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
INUVIK     PRE-INCREASE AVERAGE COUNTING RATE    193.52      COUNTS PER SECOND
INUVIK     TIME INTERVALS    300         3600     
INUVIK     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
INUVIK     170911 300  084000-084500   00     204.88 1006.0    194.01     0.25    -9999
INUVIK     170911 300  084500-085000   00     205.74 1006.0    194.82     0.67    -9999
INUVIK     170911 300  085000-085500   00     203.51 1006.0    192.69    -0.43    -9999
INUVIK     170911 300  085500-090000   00     205.56 1006.0    194.63     0.58    -9999
INUVIK     170911 300  090000-090500   00     205.68 1006.0    194.77     0.65    -9999
INUVIK     170911 300  090500-091000   00     206.88 1006.0    195.92     1.24    -9999
INUVIK     170911 300  091000-091500   00     205.73 1006.0    194.84     0.68    -9999
INUVIK     170911 300  091500-092000   00     206.91 1006.0    195.91     1.24    -9999
INUVIK     170911 300  092000-092500   00     205.69 1006.0    194.76     0.64    -9999
INUVIK     170911 300  092500-093000   00     207.51 1005.9    196.44     1.51    -9999
INUVIK     170911 300  093000-093500   00     204.31 1005.9    193.36    -0.08    -9999
INUVIK     170911 300  093500-094000   00     206.91 1005.9    195.78     1.17    -9999
INUVIK     170911 300  094000-094500   00     203.49 1005.9    192.54    -0.50    -9999
INUVIK     170911 300  094500-095000   00     207.38 1005.8    196.16     1.37    -9999
INUVIK     170911 300  095000-095500   00     206.46 1005.8    195.27     0.91    -9999
INUVIK     170911 300  095500-100000   00     208.15 1005.8    196.86     1.73    -9999
INUVIK     170911 300  100000-100500   00     205.51 1005.8    194.38     0.45    -9999
INUVIK     170911 300  100500-101000   00     207.80 1005.9    196.58     1.59    -9999
INUVIK     170911 300  101000-101500   00     206.12 1005.9    195.04     0.79    -9999
INUVIK     170911 300  101500-102000   00     204.99 1005.9    194.00     0.25    -9999
INUVIK     170911 300  102000-102500   00     204.30 1005.9    193.36    -0.08    -9999
INUVIK     170911 300  102500-103000   00     208.05 1005.9    196.94     1.77    -9999
INUVIK     170911 300  103000-103500   00     206.40 1006.0    195.43     0.99    -9999
INUVIK     170911 300  103500-104000   00     204.69 1006.0    193.83     0.16    -9999
INUVIK     170911 300  104000-104500   00     206.46 1006.0    195.48     1.01    -9999
INUVIK     170911 300  104500-105000   00     206.78 1005.9    195.74     1.15    -9999
INUVIK     170911 300  105000-105500   00     208.57 1005.9    197.42     2.02    -9999
INUVIK     170911 300  105500-110000   00     205.62 1005.9    194.62     0.57    -9999
INUVIK     170911 300  110000-110500   00     204.85 1005.9    193.91     0.20    -9999
