IRKUTSK    LATITUDE    52.1      LONGITUDE     104       ALTITUDE    433 M
IRKUTSK    INSTRUMENT   18NM64    NEUTRON MONITOR     
IRKUTSK    STANDARD PRESSURE    956.5   mb     COEFFICIENT   -0.713    % / mb
IRKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
IRKUTSK    PRE-INCREASE AVERAGE COUNTING RATE    178.29      COUNTS PER SECOND
IRKUTSK    TIME INTERVALS    300         3600     
IRKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
IRKUTSK    170911 300  012000-012500   00     143.20  960.8    179.80     0.85    -9999
IRKUTSK    170911 300  012500-013000   00     144.20  960.8    181.00     1.52    -9999
IRKUTSK    170911 300  013000-013500   00     143.80  960.7    180.60     1.29    -9999
IRKUTSK    170911 300  013500-014000   00     146.00  960.7    183.60     2.98    -9999
IRKUTSK    170911 300  014000-014500   00     143.40  960.7    180.20     1.07    -9999
IRKUTSK    170911 300  014500-015000   00     146.00  960.6    183.00     2.64    -9999
IRKUTSK    170911 300  015000-015500   00     143.80  960.6    180.00     0.96    -9999
IRKUTSK    170911 300  015500-020000   00     144.20  960.6    180.80     1.41    -9999
IRKUTSK    170911 300  020000-020500   00     145.00  960.5    182.00     2.08    -9999
IRKUTSK    170911 300  020500-021000   00     144.60  960.4    181.20     1.63    -9999
IRKUTSK    170911 300  021000-021500   00     145.20  960.4    182.20     2.19    -9999
IRKUTSK    170911 300  021500-022000   00     142.80  960.4    179.20     0.51    -9999
IRKUTSK    170911 300  022000-022500   00     143.40  960.3    179.80     0.85    -9999
IRKUTSK    170911 300  022500-023000   00     146.40  960.2    183.00     2.64    -9999
IRKUTSK    170911 300  023000-023500   00     147.40  960.2    184.60     3.54    -9999
IRKUTSK    170911 300  023500-024000   00     145.20  960.1    181.60     1.86    -9999
IRKUTSK    170911 300  024000-024500   00     146.20  960.2    183.00     2.64    -9999
IRKUTSK    170911 300  024500-025000   00     143.60  960.2    179.60     0.73    -9999
IRKUTSK    170911 300  025000-025500   00     146.00  960.2    182.80     2.53    -9999
IRKUTSK    170911 300  025500-030000   00     143.80  960.1    179.80     0.85    -9999
IRKUTSK    170911 300  030000-030500   00     144.20  960.1    180.60     1.29    -9999
IRKUTSK    170911 300  030500-031000   00     145.60  960.0    181.80     1.97    -9999
IRKUTSK    170911 300  031000-031500   00     144.80  960.0    181.20     1.63    -9999
IRKUTSK    170911 300  031500-032000   00     146.20  960.0    183.00     2.64    -9999
IRKUTSK    170911 300  032000-032500   00     145.40  960.0    181.40     1.74    -9999
IRKUTSK    170911 300  032500-033000   00     144.00  960.0    179.80     0.85    -9999
IRKUTSK    170911 300  033000-033500   00     144.20  960.0    180.20     1.07    -9999
IRKUTSK    170911 300  033500-034000   00     145.20  960.0    181.40     1.74    -9999
IRKUTSK    170911 300  034000-034500   00     145.60  960.0    182.00     2.08    -9999
IRKUTSK    170911 300  034500-035000   00     146.00  959.9    182.60     2.42    -9999
IRKUTSK    170911 300  035000-035500   00     145.20  959.9    181.20     1.63    -9999
IRKUTSK    170911 300  035500-040000   00     144.60  959.8    180.20     1.07    -9999
IRKUTSK    170911 300  040000-040500   00     146.00  959.7    181.80     1.97    -9999
IRKUTSK    170911 300  040500-041000   00     145.60  959.7    181.60     1.86    -9999
IRKUTSK    170911 300  041000-041500   00     144.60  959.6    180.20     1.07    -9999
IRKUTSK    170911 300  041500-042000   00     143.80  959.7    179.40     0.62    -9999
IRKUTSK    170911 300  042000-042500   00     145.20  959.6    181.20     1.63    -9999
IRKUTSK    170911 300  042500-043000   00     142.80  959.6    178.00    -0.16    -9999
IRKUTSK    170911 300  043000-043500   00     146.00  959.5    182.00     2.08    -9999
IRKUTSK    170911 300  043500-044000   00     147.40  959.5    183.20     2.75    -9999
IRKUTSK    170911 300  044000-044500   00     146.60  959.4    182.00     2.08    -9999
IRKUTSK    170911 300  044500-045000   00     146.20  959.5    182.20     2.19    -9999
IRKUTSK    170911 300  045000-045500   00     147.40  959.4    183.60     2.98    -9999
IRKUTSK    170911 300  045500-050000   00     145.00  959.4    180.80     1.41    -9999
IRKUTSK    170911 300  050000-050500   00     148.50  959.4    185.00     3.76    -9999
IRKUTSK    170911 300  050500-051000   00     145.50  959.3    181.40     1.74    -9999
IRKUTSK    170911 300  051000-051500   00     147.60  959.4    184.00     3.20    -9999
IRKUTSK    170911 300  051500-052000   00     145.80  959.3    181.40     1.74    -9999
IRKUTSK    170911 300  052000-052500   00     144.40  959.3    179.80     0.85    -9999
IRKUTSK    170911 300  052500-053000   00     145.00  959.3    180.40     1.18    -9999
IRKUTSK    170911 300  053000-053500   00     146.00  959.2    181.60     1.86    -9999
IRKUTSK    170911 300  053500-054000   00     144.00  959.3    179.00     0.40    -9999
IRKUTSK    170911 300  054000-054500   00     146.40  959.3    182.20     2.19    -9999
IRKUTSK    170911 300  054500-055000   00     146.60  959.3    182.00     2.08    -9999
IRKUTSK    170911 300  055000-055500   00     147.40  959.2    182.80     2.53    -9999
IRKUTSK    170911 300  055500-060000   00     145.80  959.2    181.00     1.52    -9999
IRKUTSK    170911 300  060000-060500   00     146.40  959.2    181.80     1.97    -9999
