Fort-SMITH LATITUDE    60        LONGITUDE     -112      ALTITUDE    0 M
Fort-SMITH INSTRUMENT   18NM64    NEUTRON MONITOR     	
Fort-SMITH STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.72     % / mb
Fort-SMITH PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
Fort-SMITH PRE-INCREASE AVERAGE COUNTING RATE    216.78      COUNTS PER SECOND
Fort-SMITH TIME INTERVALS    300         3600     
Fort-SMITH SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
Fort-SMITH 170910 300  181000-181500   00     298.76  975.3    224.69     3.65     3.54
Fort-SMITH 170910 300  181500-182000   00     299.05  975.3    224.96     3.77     3.65
Fort-SMITH 170910 300  182000-182500   00     300.22  975.3    225.85     4.18     4.06
Fort-SMITH 170910 300  182500-183000   00     300.55  975.3    226.11     4.30     4.17
Fort-SMITH 170910 300  183000-183500   00     301.67  975.3    226.93     4.68     4.55
Fort-SMITH 170910 300  183500-184000   00     300.18  975.3    225.73     4.13     3.99
Fort-SMITH 170910 300  184000-184500   00     301.68  975.2    226.81     4.62     4.48
Fort-SMITH 170910 300  184500-185000   00     302.17  975.2    227.21     4.81     4.66
Fort-SMITH 170910 300  185000-185500   00     303.36  975.3    228.13     5.24     5.09
Fort-SMITH 170910 300  185500-190000   00     298.14  975.3    224.23     3.43     3.27
Fort-SMITH 170910 300  190000-190500   00     299.48  975.2    225.21     3.89     3.73
Fort-SMITH 170910 300  190500-191000   00     299.20  975.3    225.01     3.79     3.62
Fort-SMITH 170910 300  191000-191500   00     299.19  975.3    225.10     3.84     3.67
Fort-SMITH 170910 300  191500-192000   00     298.81  975.4    224.92     3.75     3.57
Fort-SMITH 170910 300  192000-192500   00     296.85  975.4    223.54     3.12     2.94
Fort-SMITH 170910 300  192500-193000   00     294.67  975.5    221.93     2.37     2.18
Fort-SMITH 170910 300  193000-193500   00     298.65  975.5    224.92     3.75     3.56
Fort-SMITH 170910 300  193500-194000   00     298.32  975.5    224.70     3.65     3.45
Fort-SMITH 170910 300  194000-194500   00     297.24  975.5    223.94     3.30     3.10
Fort-SMITH 170910 300  194500-195000   00     298.11  975.6    224.71     3.66     3.45
Fort-SMITH 170910 300  195000-195500   00     298.04  975.6    224.74     3.67     3.46
Fort-SMITH 170910 300  195500-200000   00     300.02  975.6    226.28     4.38     4.16
Fort-SMITH 170910 300  200000-200500   00     299.23  975.7    225.78     4.15     3.93
Fort-SMITH 170910 300  200500-201000   00     296.75  975.7    223.93     3.29     3.06
Fort-SMITH 170910 300  201000-201500   00     295.98  975.7    223.37     3.04     2.81
Fort-SMITH 170910 300  201500-202000   00     297.69  975.7    224.70     3.65     3.41
Fort-SMITH 170910 300  202000-202500   00     298.64  975.8    225.51     4.03     3.79
Fort-SMITH 170910 300  202500-203000   00     295.45  975.8    223.15     2.94     2.69
Fort-SMITH 170910 300  203000-203500   00     297.30  975.9    224.59     3.60     3.35
Fort-SMITH 170910 300  203500-204000   00     294.58  975.9    222.57     2.67     2.41
Fort-SMITH 170910 300  204000-204500   00     295.04  975.9    222.99     2.86     2.60
Fort-SMITH 170910 300  204500-205000   00     293.53  976.0    221.94     2.38     2.11
Fort-SMITH 170910 300  205000-205500   00     295.64  976.0    223.62     3.15     2.88
Fort-SMITH 170910 300  205500-210000   00     296.56  976.1    224.41     3.52     3.24
Fort-SMITH 170910 300  210000-210500   00     293.39  976.1    222.08     2.44     2.16
Fort-SMITH 170910 300  210500-211000   00     295.44  976.2    223.73     3.20     2.91
Fort-SMITH 170910 300  211000-211500   00     293.40  976.2    222.28     2.54     2.25
Fort-SMITH 170910 300  211500-212000   00     296.50  976.3    224.79     3.69     3.39
Fort-SMITH 170910 300  212000-212500   00     293.64  976.4    222.77     2.76     2.46
Fort-SMITH 170910 300  212500-213000   00     294.70  976.5    223.66     3.17     2.86
Fort-SMITH 170910 300  213000-213500   00     295.61  976.5    224.43     3.53     3.22
