JANG-BOGO  LATITUDE    74.6      LONGITUDE     164.2     ALTITUDE    30 M
JANG-BOGO  INSTRUMENT   5-NM-64  NEUTRON MONITOR	
JANG-BOGO  STANDARD PRESSURE    978.4   MB     COEFFICIENT   -0.74     % / MB
JANG-BOGO  PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
JANG-BOGO  PRE-INCREASE AVERAGE COUNTING RATE    271.00      COUNTS PER SECOND
JANG-BOGO  TIME INTERVALS    300         3600     
JANG-BOGO  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JANG-BOGO  170910 300  230500-231000   00     277.24  977.4    274.73     1.38     0.74
JANG-BOGO  170910 300  231000-231500   00     276.69  977.4    274.18     1.17     0.52
JANG-BOGO  170910 300  231500-232000   00     279.82  977.4    277.39     2.36     1.70
JANG-BOGO  170910 300  232000-232500   00     281.65  977.4    279.24     3.04     2.38
JANG-BOGO  170910 300  232500-233000   00     283.37  977.4    280.91     3.66     2.99
JANG-BOGO  170910 300  233000-233500   00     275.90  977.4    273.41     0.89     0.22
JANG-BOGO  170910 300  233500-234000   00     280.96  977.3    278.21     2.66     1.98
JANG-BOGO  170910 300  234000-234500   00     282.21  977.3    279.43     3.11     2.43
JANG-BOGO  170910 300  234500-235000   00     282.34  977.2    279.45     3.12     2.43
JANG-BOGO  170910 300  235000-235500   00     283.13  977.1    280.01     3.33     2.63
JANG-BOGO  170910 300  235500-240000   00     283.90  977.0    280.55     3.53     2.83
JANG-BOGO  170911 300  000000-000500   00     281.53  977.0    278.14     2.64     1.93
JANG-BOGO  170911 300  000500-001000   00     280.50  976.9    276.98     2.21     1.50
JANG-BOGO  170911 300  001000-001500   00     284.11  976.9    280.64     3.56     2.84
JANG-BOGO  170911 300  001500-002000   00     281.80  976.9    278.33     2.71     1.99
JANG-BOGO  170911 300  002000-002500   00     281.50  977.0    278.13     2.63     1.90
JANG-BOGO  170911 300  002500-003000   00     282.69  976.9    279.17     3.02     2.28
JANG-BOGO  170911 300  003000-003500   00     273.42  976.8    269.86    -0.42    -1.16
JANG-BOGO  170911 300  003500-004000   00     277.23  976.7    273.47     0.91     0.16
JANG-BOGO  170911 300  004000-004500   00     280.38  976.7    276.53     2.04     1.29
JANG-BOGO  170911 300  004500-005000   00     280.74  976.7    276.84     2.16     1.40
JANG-BOGO  170911 300  005000-005500   00     282.72  976.7    278.75     2.86     2.10
JANG-BOGO  170911 300  005500-010000   00     279.24  976.7    275.26     1.57     0.80
