SOUTH-POLE LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOUTH-POLE INSTRUMENT   3NM64    NEUTRON MONITOR     	
SOUTH-POLE STANDARD PRESSURE    680     mb     COEFFICIENT   -0.69     % / mb
SOUTH-POLE PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
SOUTH-POLE PRE-INCREASE AVERAGE COUNTING RATE    309.56      COUNTS PER SECOND
SOUTH-POLE TIME INTERVALS    300         3600     
SOUTH-POLE SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
SOUTH-POLE 170910 300  204000-204500   00     348.04  669.5    322.10     4.05     3.04
SOUTH-POLE 170910 300  204500-205000   00     349.92  669.5    323.85     4.62     3.60
SOUTH-POLE 170910 300  205000-205500   00     352.82  669.6    326.79     5.57     4.54
SOUTH-POLE 170910 300  205500-210000   00     349.01  669.6    323.22     4.41     3.37
SOUTH-POLE 170910 300  210000-210500   00     352.20  669.5    326.05     5.32     4.27
SOUTH-POLE 170910 300  210500-211000   00     352.87  669.5    326.52     5.48     4.42
SOUTH-POLE 170910 300  211000-211500   00     351.79  669.4    325.44     5.13     4.06
SOUTH-POLE 170910 300  211500-212000   00     349.67  669.4    323.39     4.47     3.39
SOUTH-POLE 170910 300  212000-212500   00     349.03  669.4    322.94     4.32     3.23
SOUTH-POLE 170910 300  212500-213000   00     346.46  669.6    320.84     3.64     2.54
SOUTH-POLE 170910 300  213000-213500   00     346.18  669.7    320.82     3.64     2.53
SOUTH-POLE 170910 300  213500-214000   00     346.39  669.7    321.07     3.72     2.60
SOUTH-POLE 170910 300  214000-214500   00     350.33  669.6    324.62     4.86     3.73
SOUTH-POLE 170910 300  214500-215000   00     349.68  669.7    324.03     4.67     3.53
SOUTH-POLE 170910 300  215000-215500   00     347.70  669.6    322.14     4.06     2.91
SOUTH-POLE 170910 300  215500-220000   00     346.96  669.7    321.54     3.87     2.71
SOUTH-POLE 170910 300  220000-220500   00     349.00  669.6    323.39     4.47     3.30
SOUTH-POLE 170910 300  220500-221000   00     348.26  669.6    322.48     4.17     2.99
SOUTH-POLE 170910 300  221000-221500   00     350.44  669.6    324.55     4.84     3.65
SOUTH-POLE 170910 300  221500-222000   00     347.19  669.6    321.70     3.92     2.72
SOUTH-POLE 170910 300  222000-222500   00     347.44  669.7    321.98     4.01     2.80
SOUTH-POLE 170910 300  222500-223000   00     347.57  669.7    322.13     4.06     2.84
SOUTH-POLE 170910 300  223000-223500   00     347.59  669.7    322.19     4.08     2.86
SOUTH-POLE 170910 300  223500-224000   00     348.70  669.7    323.12     4.38     3.15
SOUTH-POLE 170910 300  224000-224500   00     348.58  669.6    322.99     4.34     3.10
SOUTH-POLE 170910 300  224500-225000   00     347.45  669.7    322.02     4.02     2.77
SOUTH-POLE 170910 300  225000-225500   00     349.41  669.7    323.94     4.65     3.39
SOUTH-POLE 170910 300  225500-230000   00     347.74  669.8    322.54     4.19     2.92
SOUTH-POLE 170910 300  230000-230500   00     347.73  669.8    322.55     4.20     2.93
SOUTH-POLE 170910 300  230500-231000   00     345.06  669.7    319.82     3.31     2.03
SOUTH-POLE 170910 300  231000-231500   00     348.57  669.7    323.03     4.35     3.06
SOUTH-POLE 170910 300  231500-232000   00     343.46  669.7    318.32     2.83     1.53
SOUTH-POLE 170910 300  232000-232500   00     348.26  669.7    322.90     4.31     3.01
SOUTH-POLE 170910 300  232500-233000   00     345.85  669.8    320.74     3.61     2.30
SOUTH-POLE 170910 300  233000-233500   00     348.21  669.8    322.99     4.34     3.02
SOUTH-POLE 170910 300  233500-234000   00     347.81  669.8    322.74     4.26     2.93
SOUTH-POLE 170910 300  234000-234500   00     345.07  669.9    320.40     3.50     2.17
SOUTH-POLE 170910 300  234500-235000   00     343.06  670.0    318.65     2.93     1.59
SOUTH-POLE 170910 300  235000-235500   00     344.07  670.0    319.56     3.23     1.88
SOUTH-POLE 170910 300  235500-240000   00     346.01  670.0    321.41     3.83     2.48
SOUTH-POLE 170911 300  000000-000500   00     342.08  669.9    317.59     2.59     1.23
SOUTH-POLE 170911 300  000500-001000   00     343.66  669.8    318.92     3.02     1.65
SOUTH-POLE 170911 300  001000-001500   00     342.62  669.9    318.04     2.74     1.37
SOUTH-POLE 170911 300  001500-002000   00     343.28  669.9    318.66     2.94     1.56
SOUTH-POLE 170911 300  002000-002500   00     341.96  669.9    317.44     2.55     1.17
SOUTH-POLE 170911 300  002500-003000   00     342.88  669.9    318.31     2.82     1.43
SOUTH-POLE 170911 300  003000-003500   00     343.85  669.9    319.18     3.11     1.71
SOUTH-POLE 170911 300  003500-004000   00     342.62  670.0    318.23     2.80     1.40
SOUTH-POLE 170911 300  004000-004500   00     343.10  670.1    318.96     3.03     1.62
SOUTH-POLE 170911 300  004500-005000   00     342.22  670.1    318.18     2.78     1.37
SOUTH-POLE 170911 300  005000-005500   00     342.57  670.1    318.46     2.87     1.45
SOUTH-POLE 170911 300  005500-010000   00     340.25  670.1    316.33     2.19     0.77
SOUTH-POLE 170911 300  010000-010500   00     338.73  670.2    315.16     1.81     0.38
SOUTH-POLE 170911 300  010500-011000   00     342.76  670.3    319.12     3.09     1.66
SOUTH-POLE 170911 300  011000-011500   00     339.41  670.3    316.04     2.09     0.65
SOUTH-POLE 170911 300  011500-012000   00     340.15  670.3    316.76     2.32     0.88
SOUTH-POLE 170911 300  012000-012500   00     340.10  670.2    316.54     2.25     0.80
SOUTH-POLE 170911 300  012500-013000   00     339.25  670.3    315.77     2.00     0.55
SOUTH-POLE 170911 300  013000-013500   00     338.00  670.3    314.67     1.65     0.19
SOUTH-POLE 170911 300  013500-014000   00     338.04  670.3    314.79     1.69     0.23
SOUTH-POLE 170911 300  014000-014500   00     340.12  670.3    316.69     2.30     0.83
SOUTH-POLE 170911 300  014500-015000   00     338.18  670.4    315.05     1.77     0.30
SOUTH-POLE 170911 300  015000-015500   00     337.59  670.4    314.45     1.58     0.11
