JUNGFRAU1  LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3570 M
JUNGFRAU1  INSTRUMENT   IGY     NEUTRON MONITOR
JUNGFRAU1  STANDARD PRESSURE    642.5   MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU1  PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
JUNGFRAU1  PRE-INCREASE AVERAGE COUNTING RATE    376.01      COUNTS PER SECOND
JUNGFRAU1  TIME INTERVALS    300         3600     
JUNGFRAU1  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU1  170911 300  042500-043000   00     340.29  659.6    383.55     2.01    -9999
JUNGFRAU1  170911 300  043000-043500   00     340.73  659.5    383.84     2.08    -9999
JUNGFRAU1  170911 300  043500-044000   00     337.01  659.5    379.70     0.98    -9999
JUNGFRAU1  170911 300  044000-044500   00     336.17  659.6    378.98     0.79    -9999
JUNGFRAU1  170911 300  044500-045000   00     337.14  659.6    379.99     1.06    -9999
JUNGFRAU1  170911 300  045000-045500   00     336.24  659.5    378.77     0.73    -9999
JUNGFRAU1  170911 300  045500-050000   00     339.07  659.4    381.79     1.54    -9999
JUNGFRAU1  170911 300  050000-050500   00     339.26  659.5    382.21     1.65    -9999
JUNGFRAU1  170911 300  050500-051000   00     336.02  659.5    378.48     0.66    -9999
JUNGFRAU1  170911 300  051000-051500   00     339.54  659.5    381.10     1.35    -9999
JUNGFRAU1  170911 300  051500-052000   00     338.02  659.5    380.76     1.26    -9999
JUNGFRAU1  170911 300  052000-052500   00     336.65  659.5    379.22     0.85    -9999
JUNGFRAU1  170911 300  052500-053000   00     337.61  659.4    380.08     1.08    -9999
JUNGFRAU1  170911 300  053000-053500   00     341.12  659.5    380.78     1.27    -9999
JUNGFRAU1  170911 300  053500-054000   00     337.41  659.5    380.01     1.06    -9999
JUNGFRAU1  170911 300  054000-054500   00     339.29  659.5    382.23     1.66    -9999
JUNGFRAU1  170911 300  054500-055000   00     338.43  659.6    381.52     1.47    -9999
JUNGFRAU1  170911 300  055000-055500   00     335.71  659.6    378.38     0.63    -9999
JUNGFRAU1  170911 300  055500-060000   00     335.40  659.6    378.12     0.56    -9999
JUNGFRAU1  170911 300  060000-060500   00     338.63  659.6    381.76     1.53    -9999
JUNGFRAU1  170911 300  060500-061000   00     336.92  659.6    379.79     1.00    -9999
JUNGFRAU1  170911 300  061000-061500   00     339.81  659.6    382.93     1.84    -9999
JUNGFRAU1  170911 300  061500-062000   00     338.94  659.6    381.94     1.58    -9999
JUNGFRAU1  170911 300  062000-062500   00     337.66  659.5    380.44     1.18    -9999
JUNGFRAU1  170911 300  062500-063000   00     340.40  659.5    383.43     1.97    -9999
JUNGFRAU1  170911 300  063000-063500   00     334.54  659.5    376.76     0.20    -9999
JUNGFRAU1  170911 300  063500-064000   00     339.12  659.5    381.92     1.57    -9999
JUNGFRAU1  170911 300  064000-064500   00     336.94  659.3    379.09     0.82    -9999
JUNGFRAU1  170911 300  064500-065000   00     340.83  659.4    383.64     2.03    -9999
JUNGFRAU1  170911 300  065000-065500   00     338.52  659.4    380.96     1.32    -9999
JUNGFRAU1  170911 300  065500-070000   00     338.84  659.4    381.36     1.42    -9999
JUNGFRAU1  170911 300  070000-070500   00     339.15  659.4    381.63     1.49    -9999
JUNGFRAU1  170911 300  070500-071000   00     339.23  659.4    381.84     1.55    -9999
JUNGFRAU1  170911 300  071000-071500   00     337.48  659.4    379.87     1.03    -9999
JUNGFRAU1  170911 300  071500-072000   00     340.54  659.4    383.39     1.96    -9999
JUNGFRAU1  170911 300  072000-072500   00     339.43  659.5    382.38     1.69    -9999
JUNGFRAU1  170911 300  072500-073000   00     335.68  659.5    378.21     0.59    -9999
JUNGFRAU1  170911 300  073000-073500   00     342.29  659.4    385.33     2.48    -9999
JUNGFRAU1  170911 300  073500-074000   00     338.54  659.5    381.24     1.39    -9999
JUNGFRAU1  170911 300  074000-074500   00     340.19  659.5    383.32     1.94    -9999
JUNGFRAU1  170911 300  074500-075000   00     342.15  659.6    385.62     2.55    -9999
JUNGFRAU1  170911 300  075000-075500   00     339.60  659.5    382.59     1.75    -9999
JUNGFRAU1  170911 300  075500-080000   00     336.11  659.4    378.38     0.63    -9999
JUNGFRAU1  170911 300  080000-080500   00     340.32  659.4    382.96     1.85    -9999
JUNGFRAU1  170911 300  080500-081000   00     339.20  659.2    381.36     1.42    -9999
JUNGFRAU1  170911 300  081000-081500   00     336.85  659.4    379.24     0.86    -9999
JUNGFRAU1  170911 300  081500-082000   00     342.47  659.3    385.25     2.46    -9999
JUNGFRAU1  170911 300  082000-082500   00     340.03  659.4    382.62     1.76    -9999
