ATHENS     LATITUDE    37.97     LONGITUDE     23.72     ALTITUDE    40 M
ATHENS     INSTRUMENT   3NM64    NEUTRON MONITOR     
ATHENS     STANDARD PRESSURE    980     mb     COEFFICIENT   -0.7      % / mb
ATHENS     PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
ATHENS     PRE-INCREASE AVERAGE COUNTING RATE     55.78      COUNTS PER SECOND
ATHENS     TIME INTERVALS    300         3600     
ATHENS     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
ATHENS     170910 300  225000-225500   00      55.34  979.4     55.09    -1.24    -9999
ATHENS     170910 300  225500-230000   00      55.38  979.4     55.14    -1.15    -9999
ATHENS     170910 300  230000-230500   00      57.22  979.4     56.96     2.12    -9999
ATHENS     170910 300  230500-231000   00      56.01  979.3     55.75    -0.05    -9999
ATHENS     170910 300  231000-231500   00      56.06  979.5     55.85     0.13    -9999
ATHENS     170910 300  231500-232000   00      55.57  979.4     55.35    -0.77    -9999
ATHENS     170910 300  232000-232500   00      55.39  979.4     55.16    -1.11    -9999
ATHENS     170910 300  232500-233000   00      56.49  979.4     56.17     0.69    -9999
ATHENS     170910 300  233000-233500   00      55.38  979.4     55.08    -1.26    -9999
ATHENS     170910 300  233500-234000   00      56.63  979.5     56.41     1.13    -9999
ATHENS     170910 300  234000-234500   00      56.11  979.4     55.80     0.04    -9999
ATHENS     170910 300  234500-235000   00      56.42  979.4     56.17     0.69    -9999
ATHENS     170910 300  235000-235500   00      55.33  979.4     55.10    -1.22    -9999
ATHENS     170910 300  235500-240000   00      56.55  979.4     56.30     0.93    -9999
ATHENS     170911 300  000000-000500   00      56.00  979.4     55.78     0.00    -9999
ATHENS     170911 300  000500-001000   00      56.28  979.4     56.02     0.43    -9999
ATHENS     170911 300  001000-001500   00      57.66  979.3     57.40     2.90    -9999
ATHENS     170911 300  001500-002000   00      56.70  979.4     56.48     1.24    -9999
ATHENS     170911 300  002000-002500   00      55.00  979.4     54.75    -1.84    -9999
ATHENS     170911 300  002500-003000   00      55.69  979.4     55.39    -0.71    -9999
ATHENS     170911 300  003000-003500   00      56.48  979.4     56.23     0.81    -9999
ATHENS     170911 300  003500-004000   00      55.00  979.4     54.45    -2.39    -9999
ATHENS     170911 300  004000-004500   00      57.12  979.4     56.87     1.95    -9999
ATHENS     170911 300  004500-005000   00      55.97  979.4     55.72    -0.10    -9999
ATHENS     170911 300  005000-005500   00      56.43  979.3     56.16     0.68    -9999
ATHENS     170911 300  005500-010000   00      57.35  979.3     57.05     2.27    -9999
ATHENS     170911 300  010000-010500   00      55.65  979.3     55.37    -0.74    -9999
ATHENS     170911 300  010500-011000   00      56.02  979.2     55.70    -0.15    -9999
ATHENS     170911 300  011000-011500   00      55.55  979.1     55.22    -1.01    -9999
ATHENS     170911 300  011500-012000   00      56.45  979.1     56.21     0.78    -9999
ATHENS     170911 300  012000-012500   00      56.41  979.0     56.04     0.46    -9999
ATHENS     170911 300  012500-013000   00      56.24  979.1     55.90     0.21    -9999
ATHENS     170911 300  013000-013500   00      55.95  979.1     55.59    -0.35    -9999
ATHENS     170911 300  013500-014000   00      57.16  979.1     56.78     1.79    -9999
ATHENS     170911 300  014000-014500   00      55.48  979.1     55.11    -1.20    -9999
ATHENS     170911 300  014500-015000   00      55.76  979.2     55.44    -0.61    -9999
ATHENS     170911 300  015000-015500   00      56.60  979.2     56.27     0.87    -9999
ATHENS     170911 300  015500-020000   00      56.64  979.2     56.31     0.95    -9999
ATHENS     170911 300  020000-020500   00      55.47  979.1     55.13    -1.16    -9999
ATHENS     170911 300  020500-021000   00      55.77  979.2     55.46    -0.57    -9999
ATHENS     170911 300  021000-021500   00      56.17  979.2     55.73    -0.09    -9999
ATHENS     170911 300  021500-022000   00      55.82  979.1     55.47    -0.55    -9999
ATHENS     170911 300  022000-022500   00      55.94  979.2     55.62    -0.30    -9999
ATHENS     170911 300  022500-023000   00      56.02  979.3     55.74    -0.07    -9999
ATHENS     170911 300  023000-023500   00      56.52  979.1     56.16     0.68    -9999
ATHENS     170911 300  023500-024000   00      55.63  979.2     55.31    -0.84    -9999
ATHENS     170911 300  024000-024500   00      55.86  979.1     55.43    -0.62    -9999
ATHENS     170911 300  024500-025000   00      55.97  979.1     55.60    -0.33    -9999
ATHENS     170911 300  025000-025500   00      56.24  979.1     55.88     0.17    -9999
ATHENS     170911 300  025500-030000   00      55.66  979.1     55.19    -1.06    -9999
ATHENS     170911 300  030000-030500   00      56.20  979.1     55.84     0.11    -9999
ATHENS     170911 300  030500-031000   00      57.25  979.2     56.93     2.05    -9999
ATHENS     170911 300  031000-031500   00      55.70  979.1     55.36    -0.76    -9999
ATHENS     170911 300  031500-032000   00      57.03  979.1     56.68     1.62    -9999
ATHENS     170911 300  032000-032500   00      56.33  979.2     55.82     0.06    -9999
ATHENS     170911 300  032500-033000   00      55.50  979.3     55.24    -0.98    -9999
ATHENS     170911 300  033000-033500   00      57.05  979.2     56.75     1.74    -9999
