LOMNICKY   LATITUDE    49.2      LONGITUDE     20.22     ALTITUDE    2634 M
LOMNICKY   INSTRUMENT   8-NM-64  NEUTRON MONITOR	
LOMNICKY   STANDARD PRESSURE    747     mb     COEFFICIENT   -0.72     % / mb
LOMNICKY   PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
LOMNICKY   PRE-INCREASE AVERAGE COUNTING RATE    467.90      COUNTS PER SECOND
LOMNICKY   TIME INTERVALS    300         3600     
LOMNICKY   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
LOMNICKY   170911 300  014000-014500   00     463.73  737.2    477.06     1.96    -9999
LOMNICKY   170911 300  014500-015000   00     461.47  737.2    474.47     1.41    -9999
LOMNICKY   170911 300  015000-015500   00     460.80  737.0    473.17     1.13    -9999
LOMNICKY   170911 300  015500-020000   00     460.90  736.8    472.79     1.05    -9999
LOMNICKY   170911 300  020000-020500   00     462.24  736.8    474.09     1.32    -9999
LOMNICKY   170911 300  020500-021000   00     464.53  736.9    476.72     1.89    -9999
LOMNICKY   170911 300  021000-021500   00     459.39  737.0    471.66     0.80    -9999
LOMNICKY   170911 300  021500-022000   00     460.54  737.0    473.11     1.11    -9999
LOMNICKY   170911 300  022000-022500   00     464.17  737.0    476.63     1.87    -9999
LOMNICKY   170911 300  022500-023000   00     459.98  736.9    472.20     0.92    -9999
LOMNICKY   170911 300  023000-023500   00     461.70  736.9    473.77     1.26    -9999
LOMNICKY   170911 300  023500-024000   00     462.67  736.9    474.77     1.47    -9999
LOMNICKY   170911 300  024000-024500   00     461.55  736.9    473.52     1.20    -9999
LOMNICKY   170911 300  024500-025000   00     462.24  736.8    474.00     1.31    -9999
LOMNICKY   170911 300  025000-025500   00     462.29  736.7    473.78     1.26    -9999
LOMNICKY   170911 300  025500-030000   00     462.09  736.7    473.43     1.18    -9999
LOMNICKY   170911 300  030000-030500   00     462.34  736.7    473.82     1.27    -9999
LOMNICKY   170911 300  030500-031000   00     465.12  736.6    476.43     1.82    -9999
LOMNICKY   170911 300  031000-031500   00     462.83  736.5    473.61     1.22    -9999
LOMNICKY   170911 300  031500-032000   00     463.84  736.5    474.58     1.43    -9999
LOMNICKY   170911 300  032000-032500   00     464.41  736.5    475.11     1.54    -9999
LOMNICKY   170911 300  032500-033000   00     464.06  736.4    474.71     1.46    -9999
LOMNICKY   170911 300  033000-033500   00     461.67  736.4    472.20     0.92    -9999
LOMNICKY   170911 300  033500-034000   00     462.46  736.4    472.90     1.07    -9999
