KERGUELEN  LATITUDE    -49.35    LONGITUDE     70.25     ALTITUDE    33 M
KERGUELEN  INSTRUMENT   18-NM-64  NEUTRON MONITOR	
KERGUELEN  STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.76     % / mb
KERGUELEN  PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
KERGUELEN  PRE-INCREASE AVERAGE COUNTING RATE    225.25      COUNTS PER SECOND
KERGUELEN  TIME INTERVALS    300         3600     
KERGUELEN  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
KERGUELEN  170911 300  055000-055500   00     270.53  979.4    231.56     2.80    -9999
KERGUELEN  170911 300  055500-060000   00     267.87  979.5    229.42     1.85    -9999
KERGUELEN  170911 300  060000-060500   00     269.07  979.7    230.87     2.49    -9999
KERGUELEN  170911 300  060500-061000   00     269.47  979.8    231.35     2.71    -9999
KERGUELEN  170911 300  061000-061500   00     267.60  980.1    230.31     2.24    -9999
KERGUELEN  170911 300  061500-062000   00     268.13  980.3    231.09     2.59    -9999
KERGUELEN  170911 300  062000-062500   00     268.00  980.3    231.07     2.58    -9999
KERGUELEN  170911 300  062500-063000   00     267.07  980.2    230.08     2.14    -9999
KERGUELEN  170911 300  063000-063500   00     269.07  980.3    231.94     2.97    -9999
KERGUELEN  170911 300  063500-064000   00     268.93  980.4    232.02     3.00    -9999
KERGUELEN  170911 300  064000-064500   00     266.40  980.7    230.29     2.24    -9999
KERGUELEN  170911 300  064500-065000   00     267.87  980.6    231.47     2.76    -9999
KERGUELEN  170911 300  065000-065500   00     267.33  980.6    230.96     2.54    -9999
KERGUELEN  170911 300  065500-070000   00     266.53  980.6    230.22     2.21    -9999
KERGUELEN  170911 300  070000-070500   00     266.13  980.7    230.11     2.16    -9999
KERGUELEN  170911 300  070500-071000   00     266.13  980.9    230.44     2.30    -9999
KERGUELEN  170911 300  071000-071500   00     265.07  981.0    229.65     1.95    -9999
KERGUELEN  170911 300  071500-072000   00     266.67  981.1    231.18     2.63    -9999
KERGUELEN  170911 300  072000-072500   00     268.67  981.0    232.77     3.34    -9999
KERGUELEN  170911 300  072500-073000   00     268.13  981.0    232.26     3.11    -9999
KERGUELEN  170911 300  073000-073500   00     267.07  981.0    231.34     2.70    -9999
KERGUELEN  170911 300  073500-074000   00     267.33  980.9    231.48     2.76    -9999
KERGUELEN  170911 300  074000-074500   00     267.47  980.9    231.50     2.77    -9999
KERGUELEN  170911 300  074500-075000   00     266.13  981.0    230.53     2.34    -9999
KERGUELEN  170911 300  075000-075500   00     265.87  981.0    230.44     2.30    -9999
KERGUELEN  170911 300  075500-080000   00     268.67  981.2    233.15     3.51    -9999
KERGUELEN  170911 300  080000-080500   00     267.07  981.3    231.85     2.93    -9999
KERGUELEN  170911 300  080500-081000   00     264.80  981.3    230.02     2.12    -9999
KERGUELEN  170911 300  081000-081500   00     266.80  981.4    231.81     2.91    -9999
KERGUELEN  170911 300  081500-082000   00     264.67  981.5    230.19     2.19    -9999
KERGUELEN  170911 300  082000-082500   00     268.13  981.6    233.34     3.59    -9999
KERGUELEN  170911 300  082500-083000   00     266.80  981.6    232.23     3.10    -9999
KERGUELEN  170911 300  083000-083500   00     267.60  981.5    232.83     3.37    -9999
KERGUELEN  170911 300  083500-084000   00     267.07  981.6    232.46     3.20    -9999
KERGUELEN  170911 300  084000-084500   00     267.47  981.6    232.81     3.35    -9999
KERGUELEN  170911 300  084500-085000   00     264.13  981.6    229.86     2.05    -9999
KERGUELEN  170911 300  085000-085500   00     266.40  981.7    232.07     3.03    -9999
KERGUELEN  170911 300  085500-090000   00     265.20  981.8    231.16     2.62    -9999
KERGUELEN  170911 300  090000-090500   00     264.40  981.7    230.33     2.25    -9999
KERGUELEN  170911 300  090500-091000   00     266.93  981.8    232.67     3.29    -9999
KERGUELEN  170911 300  091000-091500   00     266.93  981.7    232.53     3.23    -9999
KERGUELEN  170911 300  091500-092000   00     268.27  981.7    233.65     3.73    -9999
KERGUELEN  170911 300  092000-092500   00     265.87  981.7    231.51     2.78    -9999
KERGUELEN  170911 300  092500-093000   00     265.20  981.7    230.93     2.52    -9999
KERGUELEN  170911 300  093000-093500   00     267.47  981.7    232.95     3.42    -9999
KERGUELEN  170911 300  093500-094000   00     263.47  981.8    229.61     1.93    -9999
KERGUELEN  170911 300  094000-094500   00     265.47  981.7    231.31     2.69    -9999
KERGUELEN  170911 300  094500-095000   00     267.07  981.8    232.79     3.35    -9999
KERGUELEN  170911 300  095000-095500   00     264.27  981.8    230.40     2.28    -9999
KERGUELEN  170911 300  095500-100000   00     267.07  981.9    233.03     3.45    -9999
KERGUELEN  170911 300  100000-100500   00     266.00  981.9    232.14     3.06    -9999
