THULE      LATITUDE    76.6      LONGITUDE     -68.8     ALTITUDE    260 M
THULE      INSTRUMENT   9NM64    NEUTRON MONITOR     	
THULE      STANDARD PRESSURE    996.4   mb     COEFFICIENT   -0.56     % / mb
THULE      PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
THULE      PRE-INCREASE AVERAGE COUNTING RATE    126.85      COUNTS PER SECOND
THULE      TIME INTERVALS    300         3600     
THULE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
THULE      170911 300  060000-060500   00     145.40  988.2    128.08     0.97     0.02
THULE      170911 300  060500-061000   00     144.32  988.3    127.21     0.28    -0.67
THULE      170911 300  061000-061500   00     147.13  988.3    129.77     2.30     1.34
THULE      170911 300  061500-062000   00     143.08  988.4    126.23    -0.49    -1.45
THULE      170911 300  062000-062500   00     146.48  988.5    129.31     1.94     0.97
THULE      170911 300  062500-063000   00     144.90  988.5    127.99     0.90    -0.08
THULE      170911 300  063000-063500   00     144.92  988.6    128.04     0.94    -0.04
THULE      170911 300  063500-064000   00     145.12  988.7    128.32     1.16     0.17
THULE      170911 300  064000-064500   00     145.08  988.8    128.35     1.19     0.20
THULE      170911 300  064500-065000   00     142.37  988.8    126.04    -0.64    -1.64
THULE      170911 300  065000-065500   00     144.31  989.0    127.88     0.81    -0.19
THULE      170911 300  065500-070000   00     145.36  989.1    128.89     1.61     0.60
THULE      170911 300  070000-070500   00     143.90  989.1    127.66     0.64    -0.37
THULE      170911 300  070500-071000   00     143.46  989.2    127.32     0.37    -0.65
THULE      170911 300  071000-071500   00     145.69  989.3    129.38     2.00     0.98
THULE      170911 300  071500-072000   00     144.28  989.3    128.18     1.05     0.02
THULE      170911 300  072000-072500   00     146.16  989.4    129.94     2.44     1.40
THULE      170911 300  072500-073000   00     143.19  989.4    127.31     0.36    -0.68
THULE      170911 300  073000-073500   00     142.84  989.5    127.03     0.14    -0.91
THULE      170911 300  073500-074000   00     146.22  989.6    130.14     2.60     1.55
THULE      170911 300  074000-074500   00     144.75  989.6    128.88     1.60     0.54
THULE      170911 300  074500-075000   00     145.08  989.7    129.22     1.87     0.81
THULE      170911 300  075000-075500   00     142.89  989.7    127.33     0.38    -0.69
THULE      170911 300  075500-080000   00     144.36  989.8    128.74     1.49     0.42
THULE      170911 300  080000-080500   00     142.23  989.9    126.91     0.04    -1.04
THULE      170911 300  080500-081000   00     142.74  989.9    127.40     0.44    -9999
THULE      170911 300  081000-081500   00     142.46  990.0    127.20     0.27    -9999
THULE      170911 300  081500-082000   00     142.94  990.1    127.71     0.68    -9999
THULE      170911 300  082000-082500   00     142.95  990.2    127.80     0.75    -9999
THULE      170911 300  082500-083000   00     144.77  990.3    129.53     2.12    -9999
THULE      170911 300  083000-083500   00     143.44  990.4    128.45     1.26    -9999
THULE      170911 300  083500-084000   00     142.52  990.5    127.71     0.68    -9999
THULE      170911 300  084000-084500   00     144.10  990.6    129.22     1.87    -9999
THULE      170911 300  084500-085000   00     143.11  990.7    128.41     1.23    -9999
THULE      170911 300  085000-085500   00     144.47  990.7    129.72     2.26    -9999
THULE      170911 300  085500-090000   00     143.26  990.8    128.70     1.46    -9999
THULE      170911 300  090000-090500   00     144.17  990.8    129.49     2.08    -9999
THULE      170911 300  090500-091000   00     140.26  990.8    126.02    -0.65    -9999
THULE      170911 300  091000-091500   00     142.76  990.9    128.35     1.18    -9999
THULE      170911 300  091500-092000   00     143.74  991.0    129.27     1.91    -9999
THULE      170911 300  092000-092500   00     144.78  991.0    130.22     2.66    -9999
THULE      170911 300  092500-093000   00     142.75  991.0    128.44     1.25    -9999
THULE      170911 300  093000-093500   00     142.25  991.2    128.17     1.04    -9999
