IRKUTSK3   LATITUDE    52.28     LONGITUDE     104.02    ALTITUDE    3000 M
IRKUTSK3   INSTRUMENT   6NM64    NEUTRON MONITOR     
IRKUTSK3   STANDARD PRESSURE    707     mb     COEFFICIENT   -0.72     % / mb
IRKUTSK3   PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
IRKUTSK3   PRE-INCREASE AVERAGE COUNTING RATE    417.89      COUNTS PER SECOND
IRKUTSK3   TIME INTERVALS    300         3600     
IRKUTSK3   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
IRKUTSK3   170910 300  231500-232000   00     404.80  722.7    428.00     2.42    -9999
IRKUTSK3   170910 300  232000-232500   00     404.80  722.7    427.60     2.32    -9999
IRKUTSK3   170910 300  232500-233000   00     399.40  722.8    422.20     1.03    -9999
IRKUTSK3   170910 300  233000-233500   00     401.80  722.8    425.00     1.70    -9999
IRKUTSK3   170910 300  233500-234000   00     401.80  722.8    425.00     1.70    -9999
IRKUTSK3   170910 300  234000-234500   00     404.40  722.8    427.60     2.32    -9999
IRKUTSK3   170910 300  234500-235000   00     402.40  722.8    425.60     1.84    -9999
IRKUTSK3   170910 300  235000-235500   00     403.40  722.8    426.80     2.13    -9999
IRKUTSK3   170910 300  235500-240000   00     398.80  722.9    422.20     1.03    -9999
IRKUTSK3   170911 300  000000-000500   00     402.60  722.9    426.00     1.94    -9999
IRKUTSK3   170911 300  000500-001000   00     401.60  722.9    425.20     1.75    -9999
IRKUTSK3   170911 300  001000-001500   00     402.60  722.9    426.40     2.04    -9999
IRKUTSK3   170911 300  001500-002000   00     399.60  723.0    423.40     1.32    -9999
IRKUTSK3   170911 300  002000-002500   00     400.60  723.0    424.40     1.56    -9999
IRKUTSK3   170911 300  002500-003000   00     402.60  723.0    426.60     2.08    -9999
IRKUTSK3   170911 300  003000-003500   00     400.80  723.1    424.80     1.65    -9999
IRKUTSK3   170911 300  003500-004000   00     401.60  723.1    425.40     1.80    -9999
IRKUTSK3   170911 300  004000-004500   00     401.20  723.1    425.40     1.80    -9999
IRKUTSK3   170911 300  004500-005000   00     400.80  723.1    425.20     1.75    -9999
IRKUTSK3   170911 300  005000-005500   00     402.00  723.2    426.40     2.04    -9999
IRKUTSK3   170911 300  005500-010000   00     401.80  723.2    426.60     2.08    -9999
IRKUTSK3   170911 300  010000-010500   00     401.80  723.2    426.00     1.94    -9999
IRKUTSK3   170911 300  010500-011000   00     402.60  723.2    426.80     2.13    -9999
IRKUTSK3   170911 300  011000-011500   00     401.40  723.3    426.20     1.99    -9999
IRKUTSK3   170911 300  011500-012000   00     399.40  723.2    423.60     1.37    -9999
IRKUTSK3   170911 300  012000-012500   00     399.80  723.3    424.40     1.56    -9999
