DOMB       LATITUDE    75.1      LONGITUDE     -123.38   ALTITUDE    3233 M
DOMB       INSTRUMENT   BARE  NEUTRON MONITOR
DOMB       STANDARD PRESSURE    650     MB     COEFFICIENT   -0.754    % / MB
DOMB       PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
DOMB       PRE-INCREASE AVERAGE COUNTING RATE      4.87      COUNTS PER SECOND
DOMB       TIME INTERVALS    300         3600     
DOMB       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
DOMB       170910 300  232000-232500   00       4.23  629.1      5.23     7.47     4.90
DOMB       170910 300  232500-233000   00       4.23  629.1      5.03     3.36     0.77
DOMB       170910 300  233000-233500   00       4.23  629.0      5.25     7.81     5.20
DOMB       170910 300  233500-234000   00       4.23  628.9      5.32     9.19     6.57
DOMB       170910 300  234000-234500   00       4.23  628.8      5.23     7.47     4.83
DOMB       170910 300  234500-235000   00       4.23  628.8      5.02     3.03     0.38
DOMB       170910 300  235000-235500   00       4.23  628.7      5.32     9.19     6.52
DOMB       170910 300  235500-240000   00       4.23  628.6      5.13     5.41     2.72
DOMB       170911 300  000000-000500   00       4.23  628.5      5.03     3.36     0.66
DOMB       170911 300  000500-001000   00       4.23  628.5      5.23     7.47     4.75
DOMB       170911 300  001000-001500   00       4.23  628.4      5.03     3.36     0.63
DOMB       170911 300  001500-002000   00       4.23  628.3      5.13     5.41     2.66
DOMB       170911 300  002000-002500   00       4.23  628.4      4.92     0.98    -1.78
DOMB       170911 300  002500-003000   00       4.23  628.4      5.22     7.14     4.36
DOMB       170911 300  003000-003500   00       4.23  628.3      5.15     5.76     2.97
DOMB       170911 300  003500-004000   00       4.23  628.3      5.08     4.39     1.58
DOMB       170911 300  004000-004500   00       4.23  628.3      4.97     2.00    -0.82
DOMB       170911 300  004500-005000   00       4.23  628.1      5.18     6.44     3.61
DOMB       170911 300  005000-005500   00       4.23  628.0      5.02     3.03     0.18
DOMB       170911 300  005500-010000   00       4.23  628.0      5.23     7.47     4.61
DOMB       170911 300  010000-010500   00       4.23  628.0      5.27     8.16     5.28
DOMB       170911 300  010500-011000   00       4.23  627.9      4.93     1.30    -1.59
DOMB       170911 300  011000-011500   00       4.23  627.9      4.93     1.30    -1.60
DOMB       170911 300  011500-012000   00       4.23  627.8      5.20     6.79     3.88
DOMB       170911 300  012000-012500   00       4.23  627.9      5.28     8.49     5.56
DOMB       170911 300  012500-013000   00       4.23  627.8      5.32     9.19     6.25
DOMB       170911 300  013000-013500   00       4.23  627.8      5.22     7.14     4.19
DOMB       170911 300  013500-014000   00       4.23  627.8      4.87    -0.05    -3.01
DOMB       170911 300  014000-014500   00       4.23  627.8      5.22     7.14     4.16
DOMB       170911 300  014500-015000   00       4.24  627.7      5.02     3.03     0.04
DOMB       170911 300  015000-015500   00       4.24  627.6      4.95     1.65    -1.35
DOMB       170911 300  015500-020000   00       4.24  627.6      4.97     2.00    -1.01
DOMB       170911 300  020000-020500   00       4.24  627.6      5.08     4.39     1.37
DOMB       170911 300  020500-021000   00       4.24  627.5      5.13     5.41     2.38
DOMB       170911 300  021000-021500   00       4.24  627.5      5.27     8.16     5.12
DOMB       170911 300  021500-022000   00       4.24  627.5      5.35     9.87     6.82
DOMB       170911 300  022000-022500   00       4.24  627.5      5.08     4.39     1.33
DOMB       170911 300  022500-023000   00       4.24  627.4      5.28     8.49     5.42
DOMB       170911 300  023000-023500   00       4.24  627.4      5.15     5.76     2.68
DOMB       170911 300  023500-024000   00       4.24  627.3      5.18     6.44     3.35
DOMB       170911 300  024000-024500   00       4.24  627.3      5.18     6.44     3.34
DOMB       170911 300  024500-025000   00       4.24  627.3      5.25     7.81     4.70
