TERREADELI LATITUDE    -66.65    LONGITUDE     140       ALTITUDE    32 M
TERREADELI INSTRUMENT   9-NM-64  NEUTRON MONITOR	
TERREADELI STANDARD PRESSURE    987     mb     COEFFICIENT   -0.74     % / mb
TERREADELI PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
TERREADELI PRE-INCREASE AVERAGE COUNTING RATE    116.72      COUNTS PER SECOND
TERREADELI TIME INTERVALS    300         3600     
TERREADELI SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
TERREADELI 170910 300  234000-234500   00     136.87  969.7    120.72     3.43     2.64
TERREADELI 170910 300  234500-235000   00     137.27  969.8    121.17     3.81     3.01
TERREADELI 170910 300  235000-235500   00     136.53  969.9    120.62     3.34     2.54
TERREADELI 170910 300  235500-240000   00     136.53  969.8    120.57     3.30     2.49
TERREADELI 170911 300  000000-000500   00     136.20  969.9    120.35     3.11     2.30
TERREADELI 170911 300  000500-001000   00     137.07  969.9    121.14     3.79     2.97
TERREADELI 170911 300  001000-001500   00     136.87  970.0    121.01     3.68     2.86
TERREADELI 170911 300  001500-002000   00     136.00  970.1    120.34     3.10     2.27
TERREADELI 170911 300  002000-002500   00     134.40  970.1    118.94     1.91     1.07
TERREADELI 170911 300  002500-003000   00     137.80  970.2    122.05     4.57     3.73
TERREADELI 170911 300  003000-003500   00     134.93  970.3    119.58     2.45     1.60
TERREADELI 170911 300  003500-004000   00     135.73  970.3    120.24     3.02     2.17
TERREADELI 170911 300  004000-004500   00     137.67  970.3    121.98     4.51     3.65
TERREADELI 170911 300  004500-005000   00     134.80  970.3    119.49     2.37     1.51
TERREADELI 170911 300  005000-005500   00     134.33  970.3    119.07     2.02     1.15
TERREADELI 170911 300  005500-010000   00     135.27  970.4    119.93     2.75     1.88
TERREADELI 170911 300  010000-010500   00     135.33  970.4    120.01     2.82     1.95
TERREADELI 170911 300  010500-011000   00     137.53  970.4    121.98     4.51     3.63
TERREADELI 170911 300  011000-011500   00     135.67  970.5    120.35     3.11     2.23
TERREADELI 170911 300  011500-012000   00     135.40  970.5    120.14     2.93     2.04
TERREADELI 170911 300  012000-012500   00     133.60  970.5    118.54     1.56     0.67
TERREADELI 170911 300  012500-013000   00     136.07  970.6    120.83     3.52     2.62
TERREADELI 170911 300  013000-013500   00     133.40  970.7    118.55     1.57     0.67
TERREADELI 170911 300  013500-014000   00     136.80  970.7    121.55     4.14     3.23
TERREADELI 170911 300  014000-014500   00     134.67  970.7    119.72     2.58     1.67
TERREADELI 170911 300  014500-015000   00     135.40  970.8    120.45     3.20     2.28
TERREADELI 170911 300  015000-015500   00     133.87  970.8    119.04     1.99     1.07
TERREADELI 170911 300  015500-020000   00     139.33  970.8    123.92     6.17     5.24
TERREADELI 170911 300  020000-020500   00     135.73  970.8    120.70     3.41     2.48
TERREADELI 170911 300  020500-021000   00     135.67  970.8    120.64     3.36     2.43
TERREADELI 170911 300  021000-021500   00     134.00  970.7    119.11     2.05     1.11
TERREADELI 170911 300  021500-022000   00     133.60  970.9    118.87     1.84     0.90
TERREADELI 170911 300  022000-022500   00     135.07  970.9    120.20     2.98     2.03
TERREADELI 170911 300  022500-023000   00     135.07  971.0    120.27     3.04     2.09
TERREADELI 170911 300  023000-023500   00     135.60  971.0    120.77     3.47     2.51
TERREADELI 170911 300  023500-024000   00     135.53  971.0    120.69     3.40     2.44
TERREADELI 170911 300  024000-024500   00     134.33  970.9    119.59     2.46     1.50
TERREADELI 170911 300  024500-025000   00     135.47  971.0    120.65     3.37     2.40
TERREADELI 170911 300  025000-025500   00     133.13  971.1    118.71     1.71     0.74
TERREADELI 170911 300  025500-030000   00     134.67  971.2    120.10     2.90     1.92
TERREADELI 170911 300  030000-030500   00     133.13  971.3    118.81     1.79     0.81
TERREADELI 170911 300  030500-031000   00     136.33  971.3    121.74     4.30     3.32
TERREADELI 170911 300  031000-031500   00     134.40  971.3    119.96     2.78     1.79
TERREADELI 170911 300  031500-032000   00     136.40  971.4    121.82     4.37     3.38
TERREADELI 170911 300  032000-032500   00     137.00  971.3    122.26     4.75     3.76
TERREADELI 170911 300  032500-033000   00     133.67  971.4    119.40     2.30     1.30
TERREADELI 170911 300  033000-033500   00     133.40  971.5    119.23     2.16     1.16
TERREADELI 170911 300  033500-034000   00     135.00  971.5    120.71     3.42     2.41
TERREADELI 170911 300  034000-034500   00     134.60  971.7    120.47     3.22     2.21
TERREADELI 170911 300  034500-035000   00     134.20  971.6    120.09     2.89     1.88
TERREADELI 170911 300  035000-035500   00     133.67  971.7    119.66     2.52     1.50
TERREADELI 170911 300  035500-040000   00     131.27  971.7    117.54     0.70    -0.32
TERREADELI 170911 300  040000-040500   00     133.07  971.8    119.27     2.18     1.16
TERREADELI 170911 300  040500-041000   00     131.80  971.8    118.08     1.17     0.14
TERREADELI 170911 300  041000-041500   00     133.33  971.8    119.51     2.39     1.36
TERREADELI 170911 300  041500-042000   00     133.80  971.9    119.97     2.79     1.76
TERREADELI 170911 300  042000-042500   00     134.00  971.9    120.20     2.98     1.94
TERREADELI 170911 300  042500-043000   00     133.80  971.9    119.97     2.79     1.75
TERREADELI 170911 300  043000-043500   00     131.33  972.0    117.83     0.95    -0.09
TERREADELI 170911 300  043500-044000   00     132.07  972.0    118.49     1.52     0.47
TERREADELI 170911 300  044000-044500   00     133.67  972.0    119.95     2.77     1.72
TERREADELI 170911 300  044500-045000   00     133.27  972.1    119.64     2.50     1.45
TERREADELI 170911 300  045000-045500   00     133.27  972.1    119.64     2.50     1.45
TERREADELI 170911 300  045500-050000   00     132.33  972.0    118.75     1.74     0.68
TERREADELI 170911 300  050000-050500   00     134.60  972.1    120.88     3.57     2.51
TERREADELI 170911 300  050500-051000   00     133.93  972.1    120.26     3.03     1.97
TERREADELI 170911 300  051000-051500   00     133.27  971.9    119.49     2.38     1.31
TERREADELI 170911 300  051500-052000   00     133.80  972.0    120.09     2.89     1.82
TERREADELI 170911 300  052000-052500   00     134.13  972.1    120.48     3.23     2.16
TERREADELI 170911 300  052500-053000   00     131.53  972.2    118.24     1.31     0.24
TERREADELI 170911 300  053000-053500   00     130.67  972.3    117.49     0.66    -0.42
