NAIN       LATITUDE    56.6      LONGITUDE     -61.7     ALTITUDE    0 M
NAIN       INSTRUMENT   18NM64    NEUTRON MONITOR     	
NAIN       STANDARD PRESSURE    1013.3  mb     COEFFICIENT   -0.72     % / mb
NAIN       PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
NAIN       PRE-INCREASE AVERAGE COUNTING RATE    217.66      COUNTS PER SECOND
NAIN       TIME INTERVALS    300         3600     
NAIN       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
NAIN       170911 300  103500-104000   00     211.98 1018.4    220.32     1.22    -9999
NAIN       170911 300  104000-104500   00     210.52 1018.5    218.92     0.58    -9999
NAIN       170911 300  104500-105000   00     208.13 1018.4    216.38    -0.59    -9999
NAIN       170911 300  105000-105500   00     207.48 1018.4    215.71    -0.89    -9999
NAIN       170911 300  105500-110000   00     208.82 1018.5    217.13    -0.24    -9999
NAIN       170911 300  110000-110500   00     208.94 1018.4    217.20    -0.21    -9999
NAIN       170911 300  110500-111000   00     212.08 1018.3    220.34     1.23    -9999
NAIN       170911 300  111000-111500   00     209.79 1018.4    218.07     0.19    -9999
NAIN       170911 300  111500-112000   00     210.46 1018.6    219.09     0.66    -9999
NAIN       170911 300  112000-112500   00     208.14 1018.6    216.71    -0.43    -9999
NAIN       170911 300  112500-113000   00     210.23 1018.7    218.92     0.58    -9999
NAIN       170911 300  113000-113500   00     213.02 1018.6    221.79     1.90    -9999
