NEWARK     LATITUDE    39.68     LONGITUDE     -75.75    ALTITUDE    50 M
NEWARK     INSTRUMENT   9NM64    NEUTRON MONITOR
NEWARK     STANDARD PRESSURE    1013    MB     COEFFICIENT   -0.735    % / MB
NEWARK     PRE-INCREASE BASELINE TIME INTERVAL    240608    000000-020000   UT
NEWARK     PRE-INCREASE AVERAGE COUNTING RATE     87.67      COUNTS PER SECOND
NEWARK     TIME INTERVALS    300         3600     
NEWARK     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
NEWARK     240608 300  100500-101000   00      95.39 1002.7     87.99     0.36     0.36
NEWARK     240608 300  101000-101500   00      93.95 1002.8     86.67    -1.14    -1.14
NEWARK     240608 300  101500-102000   00      94.06 1002.9     86.84    -0.95    -0.95
NEWARK     240608 300  102000-102500   00      93.91 1002.9     86.75    -1.05    -1.05
NEWARK     240608 300  102500-103000   00      94.21 1002.9     87.03    -0.73    -0.73
NEWARK     240608 300  103000-103500   00      94.57 1003.1     87.44    -0.26    -0.26
NEWARK     240608 300  103500-104000   00      94.92 1003.2     87.86     0.22     0.22
NEWARK     240608 300  104000-104500   00      94.24 1003.3     87.26    -0.46    -0.46
NEWARK     240608 300  104500-105000   00      96.16 1003.4     89.11     1.64     1.64
NEWARK     240608 300  105000-105500   00      95.41 1003.5     88.47     0.91     0.91
NEWARK     240608 300  105500-110000   00      94.89 1003.5     88.00     0.37     0.37
NEWARK     240608 300  110000-110500   00      94.91 1003.5     88.06     0.44     0.44
NEWARK     240608 300  110500-111000   00      94.19 1003.6     87.42    -0.29    -0.29
NEWARK     240608 300  111000-111500   00      95.92 1003.6     89.05     1.58     1.58
NEWARK     240608 300  111500-112000   00      92.64 1003.6     86.02    -1.88    -1.88
NEWARK     240608 300  112000-112500   00      94.78 1003.7     88.05     0.43    -9999
NEWARK     240608 300  112500-113000   00      94.26 1003.8     87.60    -0.08    -9999
NEWARK     240608 300  113000-113500   00      93.67 1003.8     87.09    -0.66    -9999
NEWARK     240608 300  113500-114000   00      94.59 1003.8     87.96     0.33    -9999
NEWARK     240608 300  114000-114500   00      95.06 1003.9     88.45     0.89    -9999
NEWARK     240608 300  114500-115000   00      93.66 1004.0     87.17    -0.57    -9999
NEWARK     240608 300  115000-115500   00      95.03 1004.0     88.46     0.90    -9999
NEWARK     240608 300  115500-120000   00      93.70 1004.1     87.27    -0.45    -9999
NEWARK     240608 3600 120000-130000   00      94.30 1004.2     87.94     0.30    -9999
NEWARK     240608 3600 130000-140000   00      94.08 1004.5     87.90     0.27    -9999
