MIRNY      LATITUDE    -66.55    LONGITUDE     93.02     ALTITUDE    30 M
MIRNY      INSTRUMENT   12NM64    NEUTRON MONITOR
MIRNY      STANDARD PRESSURE    1013    MB     COEFFICIENT   -0.73     % / MB
MIRNY      PRE-INCREASE BASELINE TIME INTERVAL    240608    000000-020000   UT
MIRNY      PRE-INCREASE AVERAGE COUNTING RATE    108.64      COUNTS PER SECOND
MIRNY      TIME INTERVALS    300         3600     
MIRNY      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MIRNY      240608 300  104000-104500   00     119.47  987.9    109.23     0.55     0.34
MIRNY      240608 300  104500-105000   00     120.25  987.8    109.90     1.16     0.95
MIRNY      240608 300  105000-105500   00     119.37  987.8    109.05     0.38     0.17
MIRNY      240608 300  105500-110000   00     118.95  987.8    108.68     0.04    -0.17
MIRNY      240608 300  110000-110500   00     117.95  987.7    107.70    -0.86    -1.08
MIRNY      240608 300  110500-111000   00     119.22  987.7    108.80     0.15    -0.07
MIRNY      240608 300  111000-111500   00     119.42  987.5    108.85     0.20    -0.02
MIRNY      240608 300  111500-112000   00     119.97  987.3    109.18     0.50     0.28
MIRNY      240608 300  112000-112500   00     119.33  987.1    108.47    -0.16    -9999
MIRNY      240608 300  112500-113000   00     121.85  987.0    110.65     1.85    -9999
MIRNY      240608 300  113000-113500   00     119.70  987.0    108.73     0.09    -9999
MIRNY      240608 300  113500-114000   00     119.70  987.0    108.75     0.10    -9999
MIRNY      240608 300  114000-114500   00     118.55  986.9    107.58    -0.97    -9999
MIRNY      240608 300  114500-115000   00     120.28  986.7    109.02     0.35    -9999
MIRNY      240608 300  115000-115500   00     119.10  986.7    107.92    -0.66    -9999
MIRNY      240608 300  115500-120000   00     120.50  986.8    109.23     0.55    -9999
MIRNY      240608 3600 120000-130000   00     120.13  986.3    108.53    -0.10    -9999
MIRNY      240608 3600 130000-140000   00     121.02  985.1    108.90     0.24    -9999
MIRNY      240608 3600 140000-150000   00     122.08  984.3    108.72     0.07    -9999
MIRNY      240608 3600 150000-160000   00     122.08  984.0    108.42    -0.20    -9999
MIRNY      240608 3600 160000-170000   00     123.23  983.1    108.72     0.07    -9999
MIRNY      240608 3600 170000-180000   00     124.30  981.8    108.67     0.03    -9999
MIRNY      240608 3600 180000-190000   00     125.72  980.1    108.72     0.07    -9999
MIRNY      240608 3600 190000-200000   00     126.85  979.0    108.87     0.21    -9999
MIRNY      240608 3600 200000-210000   00     128.43  977.9    109.25     0.56    -9999
MIRNY      240608 3600 210000-220000   00     127.30  978.8    109.03     0.37    -9999
MIRNY      240608 3600 220000-230000   00     127.70  978.5    109.12     0.44    -9999
MIRNY      240608 3600 230000-240000   00     128.27  978.0    108.97     0.30    -9999
*
COMMENT DATA SOURCE: IZMIRAN | DOWNLOADED ON 08.12.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-11 16:23:44 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE75/C075MRNY_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
