JANG BOGO  LATITUDE    74.6      LONGITUDE     164.2     ALTITUDE    30 M
JANG BOGO  INSTRUMENT   5-NM-64  NEUTRON MONITOR	
JANG BOGO  STANDARD PRESSURE    978.4   MB     COEFFICIENT   -0.74     % / MB
JANG BOGO  PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
JANG BOGO  PRE-INCREASE AVERAGE COUNTING RATE    223.10      COUNTS PER SECOND
JANG BOGO  TIME INTERVALS    300         3600     
JANG BOGO  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JANG BOGO  240511 3600 200000-210000   00     228.77  976.7    225.93     1.27    -9999
JANG BOGO  240511 3600 210000-220000   00     228.76  976.7    225.94     1.27    -9999
JANG BOGO  240511 3600 220000-230000   00     229.12  976.8    226.42     1.49    -9999
JANG BOGO  240511 3600 230000-240000   00     225.41  976.8    222.74    -0.16    -9999
JANG BOGO  240512 3600 000000-010000   00     227.59  977.0    225.12     0.91    -9999
JANG BOGO  240512 3600 010000-020000   00     227.47  977.0    225.18     0.93    -9999
JANG BOGO  240512 3600 020000-030000   00     227.74  977.2    225.66     1.15    -9999
JANG BOGO  240512 3600 030000-040000   00     227.51  977.6    226.05     1.33    -9999
JANG BOGO  240512 3600 040000-050000   00     227.56  978.0    226.88     1.70    -9999
JANG BOGO  240512 3600 050000-060000   00     224.84  978.7    225.28     0.98    -9999
JANG BOGO  240512 3600 060000-070000   00     221.88  979.4    223.60     0.22    -9999
JANG BOGO  240512 3600 070000-080000   00     223.73  980.1    226.57     1.55    -9999
JANG BOGO  240512 3600 080000-090000   00     222.78  980.8    226.86     1.69    -9999
JANG BOGO  240512 3600 090000-100000   00     220.56  981.6    225.75     1.19    -9999
JANG BOGO  240512 3600 100000-110000   00     219.04  982.1    225.19     0.94    -9999
JANG BOGO  240512 3600 110000-120000   00     217.45  982.7    224.49     0.63    -9999
JANG BOGO  240512 3600 120000-130000   00     218.43  983.1    226.20     1.39    -9999
JANG BOGO  240512 3600 130000-140000   00     217.84  983.5    226.17     1.38    -9999
JANG BOGO  240512 3600 140000-150000   00     217.88  983.7    226.56     1.55    -9999
JANG BOGO  240512 3600 150000-160000   00     217.68  983.8    226.59     1.57    -9999
JANG BOGO  240512 3600 160000-170000   00     216.56  983.7    225.36     1.02    -9999
JANG BOGO  240512 3600 170000-180000   00     216.61  983.5    225.07     0.88    -9999
JANG BOGO  240512 3600 180000-190000   00     219.33  982.8    226.57     1.56    -9999
JANG BOGO  240512 3600 190000-200000   00     220.28  982.2    226.61     1.57    -9999
JANG BOGO  240512 3600 200000-210000   00     222.59  981.9    228.41     2.38    -9999
JANG BOGO  240512 3600 210000-220000   00     224.87  981.4    229.92     3.06    -9999
JANG BOGO  240512 3600 220000-230000   00     225.61  980.8    229.61     2.92    -9999
JANG BOGO  240512 3600 230000-240000   00     227.63  979.8    230.04     3.11    -9999
*
COMMENT NM DATA DOWNLOADED FROM NMDB ON 14.5.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-03 09:23:40 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE74/C074JBGO_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
