PEAWANUCK  LATITUDE    55        LONGITUDE     -85       ALTITUDE    0 M
PEAWANUCK  INSTRUMENT   18NM64    NEUTRON MONITOR     
PEAWANUCK  STANDARD PRESSURE    1013.3  MB     COEFFICIENT   -0.75     % / MB
PEAWANUCK  PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
PEAWANUCK  PRE-INCREASE AVERAGE COUNTING RATE    180.25      COUNTS PER SECOND
PEAWANUCK  TIME INTERVALS    300         3600     
PEAWANUCK  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
PEAWANUCK  240511 300  134500-135000   00     193.26 1000.0    175.95    -2.38    -2.38
PEAWANUCK  240511 300  135000-135500   00     195.56 1000.0    178.03    -1.23    -1.23
PEAWANUCK  240511 300  135500-140000   00     201.17 1000.0    183.14     1.60     1.60
PEAWANUCK  240511 300  140000-140500   00     198.60 1000.0    180.88     0.35    -9999
PEAWANUCK  240511 300  140500-141000   00     199.09 1000.0    181.31     0.59    -9999
PEAWANUCK  240511 300  141000-141500   00     197.53 1000.0    179.83    -0.23    -9999
PEAWANUCK  240511 300  141500-142000   00     196.70  999.9    179.03    -0.68    -9999
PEAWANUCK  240511 300  142000-142500   00     197.34  999.9    179.56    -0.38    -9999
PEAWANUCK  240511 300  142500-143000   00     201.09  999.9    182.93     1.49    -9999
PEAWANUCK  240511 300  143000-143500   00     201.73  999.8    183.47     1.78    -9999
PEAWANUCK  240511 300  143500-144000   00     200.04  999.8    181.88     0.90    -9999
PEAWANUCK  240511 300  144000-144500   00     203.31  999.8    184.84     2.55    -9999
PEAWANUCK  240511 300  144500-145000   00     204.69  999.7    186.02     3.20    -9999
PEAWANUCK  240511 300  145000-145500   00     200.92  999.7    182.52     1.26    -9999
PEAWANUCK  240511 300  145500-150000   00     200.61  999.6    182.11     1.03    -9999
PEAWANUCK  240511 300  150000-150500   00     202.27  999.5    183.53     1.82    -9999
PEAWANUCK  240511 300  150500-151000   00     200.73  999.5    182.09     1.02    -9999
PEAWANUCK  240511 300  151000-151500   00     199.26  999.5    180.75     0.28    -9999
PEAWANUCK  240511 300  151500-152000   00     203.00  999.5    184.12     2.15    -9999
PEAWANUCK  240511 300  152000-152500   00     201.96  999.5    183.18     1.62    -9999
PEAWANUCK  240511 300  152500-153000   00     201.09  999.5    182.45     1.22    -9999
PEAWANUCK  240511 300  153000-153500   00     200.68  999.5    182.04     0.99    -9999
PEAWANUCK  240511 300  153500-154000   00     201.09  999.5    182.39     1.19    -9999
PEAWANUCK  240511 300  154000-154500   00     201.33  999.5    182.69     1.35    -9999
PEAWANUCK  240511 300  154500-155000   00     201.55  999.5    182.91     1.48    -9999
PEAWANUCK  240511 300  155000-155500   00     203.22  999.5    184.39     2.30    -9999
PEAWANUCK  240511 300  155500-160000   00     200.55  999.5    181.92     0.92    -9999
PEAWANUCK  240511 3600 160000-170000   00     202.45  999.4    183.53     1.82    -9999
PEAWANUCK  240511 3600 170000-180000   00     204.11  999.1    184.66     2.45    -9999
PEAWANUCK  240511 3600 180000-190000   00     205.09  998.8    185.10     2.69    -9999
PEAWANUCK  240511 3600 190000-200000   00     205.93  998.2    185.05     2.66    -9999
PEAWANUCK  240511 3600 200000-210000   00     208.11  997.7    186.29     3.35    -9999
PEAWANUCK  240511 3600 210000-220000   00     208.29  997.0    185.51     2.92    -9999
PEAWANUCK  240511 3600 220000-230000   00     210.37  996.3    186.40     3.41    -9999
PEAWANUCK  240511 3600 230000-240000   00     207.31  995.9    183.06     1.56    -9999
PEAWANUCK  240512 3600 000000-010000   00     208.07  995.5    183.19     1.63    -9999
PEAWANUCK  240512 3600 010000-020000   00     208.03  995.4    183.05     1.55    -9999
PEAWANUCK  240512 3600 020000-030000   00     209.12  995.1    183.60     1.86    -9999
PEAWANUCK  240512 3600 030000-040000   00     209.03  994.4    182.59     1.30    -9999
PEAWANUCK  240512 3600 040000-050000   00     211.78  993.7    183.99     2.08    -9999
PEAWANUCK  240512 3600 050000-060000   00     212.55  993.1    183.85     2.00    -9999
PEAWANUCK  240512 3600 060000-070000   00     214.05  992.4    184.16     2.17    -9999
PEAWANUCK  240512 3600 070000-080000   00     215.20  991.5    183.83     1.99    -9999
PEAWANUCK  240512 3600 080000-090000   00     216.05  990.9    183.84     1.99    -9999
PEAWANUCK  240512 3600 090000-100000   00     216.89  990.9    184.48     2.35    -9999
PEAWANUCK  240512 3600 100000-110000   00     216.14  990.6    183.50     1.80    -9999
PEAWANUCK  240512 3600 110000-120000   00     215.06  991.1    183.15     1.61    -9999
PEAWANUCK  240512 3600 120000-130000   00     214.58  991.1    182.85     1.44    -9999
PEAWANUCK  240512 3600 130000-140000   00     214.90  990.9    182.74     1.38    -9999
PEAWANUCK  240512 3600 140000-150000   00     216.38  990.5    183.48     1.79    -9999
PEAWANUCK  240512 3600 150000-160000   00     217.96  990.1    184.25     2.22    -9999
PEAWANUCK  240512 3600 160000-170000   00     219.70  989.9    185.51     2.92    -9999
PEAWANUCK  240512 3600 170000-180000   00     220.68  989.9    186.38     3.40    -9999
PEAWANUCK  240512 3600 180000-190000   00     220.42  990.1    186.32     3.37    -9999
PEAWANUCK  240512 3600 190000-200000   00     220.45  990.1    186.42     3.42    -9999
PEAWANUCK  240512 3600 200000-210000   00     218.93  990.3    185.46     2.89    -9999
PEAWANUCK  240512 3600 210000-220000   00     220.58  990.8    187.47     4.01    -9999
PEAWANUCK  240512 3600 220000-230000   00     219.95  991.2    187.54     4.05    -9999
PEAWANUCK  240512 3600 230000-240000   00     219.49  991.9    188.12     4.37    -9999
*
COMMENT NM DATA DOWNLOADED FROM NMDB ON 14.5.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-03 09:23:40 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE74/C074PWNK_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
