MEXICOCITY LATITUDE    19.33     LONGITUDE     260.82    ALTITUDE    2274 M
MEXICOCITY INSTRUMENT   6-NM-64  NEUTRON MONITOR
MEXICOCITY STANDARD PRESSURE    779     MB     COEFFICIENT   -0.71     % / MB
MEXICOCITY PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
MEXICOCITY PRE-INCREASE AVERAGE COUNTING RATE    205.31      COUNTS PER SECOND
MEXICOCITY TIME INTERVALS    300         3600     
MEXICOCITY SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MEXICOCITY 240511 300  072000-072500   00     214.43  774.6    208.31     1.46    -9999
MEXICOCITY 240511 300  072500-073000   00     214.38  774.6    208.26     1.44    -9999
MEXICOCITY 240511 300  073000-073500   00     212.11  774.6    206.06     0.36    -9999
MEXICOCITY 240511 300  073500-074000   00     215.54  774.6    209.38     1.98    -9999
MEXICOCITY 240511 300  074000-074500   00     214.69  774.6    208.56     1.58    -9999
MEXICOCITY 240511 300  074500-075000   00     211.34  774.6    205.30    -0.01    -9999
MEXICOCITY 240511 300  075000-075500   00     213.86  774.5    207.66     1.14    -9999
MEXICOCITY 240511 300  075500-080000   00     212.90  774.5    206.67     0.66    -9999
MEXICOCITY 240511 300  080000-080500   00     213.09  774.4    206.77     0.71    -9999
MEXICOCITY 240511 300  080500-081000   00     214.20  774.4    207.78     1.20    -9999
MEXICOCITY 240511 300  081000-081500   00     214.43  774.4    208.01     1.31    -9999
MEXICOCITY 240511 300  081500-082000   00     214.18  774.4    207.77     1.20    -9999
MEXICOCITY 240511 300  082000-082500   00     214.33  774.4    207.91     1.27    -9999
MEXICOCITY 240511 300  082500-083000   00     213.98  774.4    207.57     1.10    -9999
MEXICOCITY 240511 300  083000-083500   00     215.29  774.4    208.84     1.72    -9999
MEXICOCITY 240511 300  083500-084000   00     214.12  774.4    207.71     1.17    -9999
MEXICOCITY 240511 300  084000-084500   00     214.44  774.4    208.02     1.32    -9999
MEXICOCITY 240511 300  084500-085000   00     212.93  774.4    206.56     0.61    -9999
MEXICOCITY 240511 300  085000-085500   00     214.07  774.5    207.75     1.19    -9999
MEXICOCITY 240511 300  085500-090000   00     214.95  774.5    208.66     1.63    -9999
MEXICOCITY 240511 300  090000-090500   00     213.65  774.5    207.46     1.05    -9999
MEXICOCITY 240511 300  090500-091000   00     215.96  774.6    209.79     2.18    -9999
MEXICOCITY 240511 300  091000-091500   00     211.74  774.6    205.69     0.18    -9999
MEXICOCITY 240511 300  091500-092000   00     212.58  774.6    206.51     0.59    -9999
MEXICOCITY 240511 300  092000-092500   00     218.24  774.6    211.97     3.24    -9999
MEXICOCITY 240511 300  092500-093000   00     212.18  774.6    206.13     0.40    -9999
MEXICOCITY 240511 300  093000-093500   00     213.32  774.6    207.22     0.93    -9999
MEXICOCITY 240511 300  093500-094000   00     211.65  774.6    205.60     0.14    -9999
MEXICOCITY 240511 300  094000-094500   00     214.80  774.7    208.76     1.68    -9999
MEXICOCITY 240511 300  094500-095000   00     212.46  774.7    206.53     0.60    -9999
MEXICOCITY 240511 300  095000-095500   00     212.19  774.7    206.27     0.47    -9999
MEXICOCITY 240511 300  095500-100000   00     211.05  774.7    205.17    -0.07    -9999
MEXICOCITY 240511 300  100000-100500   00     212.12  774.7    206.21     0.44    -9999
MEXICOCITY 240511 300  100500-101000   00     211.16  774.8    205.36     0.03    -9999
MEXICOCITY 240511 300  101000-101500   00     211.40  774.8    205.62     0.15    -9999
MEXICOCITY 240511 300  101500-102000   00     213.27  774.8    207.48     1.05    -9999
MEXICOCITY 240511 300  102000-102500   00     211.62  774.8    205.87     0.27    -9999
MEXICOCITY 240511 300  102500-103000   00     214.19  774.8    208.32     1.46    -9999
MEXICOCITY 240511 300  103000-103500   00     212.55  774.8    206.77     0.71    -9999
MEXICOCITY 240511 300  103500-104000   00     212.24  774.9    206.59     0.62    -9999
MEXICOCITY 240511 300  104000-104500   00     213.00  774.9    207.36     1.00    -9999
MEXICOCITY 240511 300  104500-105000   00     212.03  774.9    206.42     0.54    -9999
MEXICOCITY 240511 300  105000-105500   00     215.16  774.9    209.46     2.02    -9999
MEXICOCITY 240511 300  105500-110000   00     212.38  775.0    206.84     0.75    -9999
MEXICOCITY 240511 300  110000-110500   00     213.23  775.0    207.73     1.18    -9999
MEXICOCITY 240511 300  110500-111000   00     212.29  775.0    206.85     0.75    -9999
MEXICOCITY 240511 300  111000-111500   00     214.84  775.1    209.45     2.02    -9999
MEXICOCITY 240511 300  111500-112000   00     214.63  775.1    209.24     1.92    -9999
MEXICOCITY 240511 300  112000-112500   00     212.66  775.1    207.33     0.98    -9999
MEXICOCITY 240511 300  112500-113000   00     212.58  775.1    207.25     0.94    -9999
MEXICOCITY 240511 300  113000-113500   00     212.98  775.1    207.63     1.13    -9999
MEXICOCITY 240511 300  113500-114000   00     214.70  775.2    209.40     1.99    -9999
MEXICOCITY 240511 300  114000-114500   00     211.08  775.2    205.92     0.30    -9999
MEXICOCITY 240511 300  114500-115000   00     214.51  775.2    209.27     1.93    -9999
MEXICOCITY 240511 300  115000-115500   00     210.83  775.2    205.68     0.18    -9999
MEXICOCITY 240511 300  115500-120000   00     213.25  775.3    208.13     1.37    -9999
MEXICOCITY 240511 300  120000-120500   00     212.14  775.3    207.12     0.88    -9999
MEXICOCITY 240511 300  120500-121000   00     212.86  775.3    207.84     1.23    -9999
MEXICOCITY 240511 300  121000-121500   00     211.46  775.4    206.60     0.63    -9999
MEXICOCITY 240511 300  121500-122000   00     212.12  775.4    207.24     0.94    -9999
MEXICOCITY 240511 300  122000-122500   00     210.64  775.5    205.88     0.28    -9999
