THULE      LATITUDE    76.6      LONGITUDE     -68.8     ALTITUDE    260 M
THULE      INSTRUMENT   9NM64    NEUTRON MONITOR     	
THULE      STANDARD PRESSURE    996.4   MB     COEFFICIENT   -0.56     % / MB
THULE      PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
THULE      PRE-INCREASE AVERAGE COUNTING RATE    100.72      COUNTS PER SECOND
THULE      TIME INTERVALS    300         3600     
THULE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
THULE      240511 300  144500-145000   00     100.94 1005.8    101.72     1.00    -9999
THULE      240511 300  145000-145500   00     101.13 1005.8    101.91     1.18    -9999
THULE      240511 300  145500-150000   00     100.23 1005.7    100.96     0.24    -9999
THULE      240511 300  150000-150500   00     101.54 1005.8    102.28     1.55    -9999
THULE      240511 300  150500-151000   00     100.32 1005.8    101.09     0.37    -9999
THULE      240511 300  151000-151500   00     102.11 1005.8    102.87     2.13    -9999
THULE      240511 300  151500-152000   00     100.75 1005.8    101.53     0.81    -9999
THULE      240511 300  152000-152500   00     102.50 1005.8    103.28     2.54    -9999
THULE      240511 300  152500-153000   00     101.75 1005.8    102.51     1.78    -9999
THULE      240511 300  153000-153500   00     101.76 1005.7    102.50     1.77    -9999
THULE      240511 300  153500-154000   00     102.89 1005.7    103.62     2.88    -9999
THULE      240511 300  154000-154500   00     102.87 1005.7    103.58     2.84    -9999
THULE      240511 300  154500-155000   00     100.43 1005.7    101.13     0.41    -9999
THULE      240511 300  155000-155500   00     102.05 1005.7    102.72     1.99    -9999
THULE      240511 300  155500-160000   00     101.01 1005.7    101.68     0.95    -9999
THULE      240511 3600 160000-170000   00     102.09 1005.7    102.77     2.04    -9999
THULE      240511 3600 170000-180000   00     102.42 1005.5    102.97     2.23    -9999
THULE      240511 3600 180000-190000   00     103.15 1005.6    103.76     3.02    -9999
THULE      240511 3600 190000-200000   00     103.49 1005.5    104.03     3.28    -9999
THULE      240511 3600 200000-210000   00     103.89 1005.3    104.31     3.56    -9999
THULE      240511 3600 210000-220000   00     104.30 1005.2    104.59     3.85    -9999
THULE      240511 3600 220000-230000   00     103.34 1005.0    103.51     2.78    -9999
THULE      240511 3600 230000-240000   00     103.01 1004.9    103.13     2.40    -9999
THULE      240512 3600 000000-010000   00     103.35 1004.9    103.42     2.68    -9999
THULE      240512 3600 010000-020000   00     103.17 1004.6    103.02     2.29    -9999
THULE      240512 3600 020000-030000   00     103.75 1004.1    103.23     2.49    -9999
THULE      240512 3600 030000-040000   00     104.38 1003.7    103.55     2.81    -9999
THULE      240512 3600 040000-050000   00     104.92 1003.2    103.67     2.93    -9999
THULE      240512 3600 050000-060000   00     105.73 1002.6    104.04     3.30    -9999
THULE      240512 3600 060000-070000   00     105.73 1002.3    103.84     3.10    -9999
THULE      240512 3600 070000-080000   00     106.28 1001.8    103.98     3.23    -9999
THULE      240512 3600 080000-090000   00     106.98 1001.3    104.25     3.50    -9999
THULE      240512 3600 090000-100000   00     107.79 1000.8    104.68     3.93    -9999
THULE      240512 3600 100000-110000   00     108.09 1000.3    104.53     3.78    -9999
THULE      240512 3600 110000-120000   00     108.06  999.7    104.07     3.33    -9999
THULE      240512 3600 120000-130000   00     108.51  999.1    104.01     3.26    -9999
THULE      240512 3600 130000-140000   00     109.18  998.4    104.13     3.39    -9999
THULE      240512 3600 140000-150000   00     110.06  997.5    104.30     3.56    -9999
THULE      240512 3600 150000-160000   00     111.25  996.5    104.65     3.91    -9999
THULE      240512 3600 160000-170000   00     112.07  995.8    104.82     4.07    -9999
THULE      240512 3600 170000-180000   00     112.62  995.0    104.74     4.00    -9999
THULE      240512 3600 180000-190000   00     113.95  994.3    105.44     4.69    -9999
THULE      240512 3600 190000-200000   00     114.20  993.5    105.06     4.31    -9999
THULE      240512 3600 200000-210000   00     114.66  992.8    104.88     4.13    -9999
THULE      240512 3600 210000-220000   00     116.09  992.1    105.70     4.94    -9999
THULE      240512 3600 220000-230000   00     116.42  991.5    105.51     4.76    -9999
THULE      240512 3600 230000-240000   00     117.16  991.4    106.04     5.29    -9999
*
COMMENT NM DATA DOWNLOADED FROM NMDB ON 14.5.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-03 09:23:40 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE74/C074THUL_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
