TERREADELI LATITUDE    -66.65    LONGITUDE     140       ALTITUDE    32 M
TERREADELI INSTRUMENT   9-NM-64  NEUTRON MONITOR	
TERREADELI STANDARD PRESSURE    987     MB     COEFFICIENT   -0.74     % / MB
TERREADELI PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
TERREADELI PRE-INCREASE AVERAGE COUNTING RATE     97.31      COUNTS PER SECOND
TERREADELI TIME INTERVALS    300         3600     
TERREADELI SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
TERREADELI 240511 300  145500-150000   00      95.07  991.1     98.28     0.99    -9999
TERREADELI 240511 300  150000-150500   00      94.33  991.0     97.49     0.17    -9999
TERREADELI 240511 300  150500-151000   00      93.73  991.2     96.98    -0.34    -9999
TERREADELI 240511 300  151000-151500   00      94.53  991.2     97.85     0.55    -9999
TERREADELI 240511 300  151500-152000   00      94.53  991.3     97.89     0.59    -9999
TERREADELI 240511 300  152000-152500   00      94.53  991.4     97.94     0.65    -9999
TERREADELI 240511 300  152500-153000   00      94.00  991.4     97.43     0.12    -9999
TERREADELI 240511 300  153000-153500   00      95.47  991.4     98.91     1.64    -9999
TERREADELI 240511 300  153500-154000   00      96.33  991.4     99.87     2.62    -9999
TERREADELI 240511 300  154000-154500   00      95.20  991.4     98.67     1.40    -9999
TERREADELI 240511 300  154500-155000   00      94.93  991.5     98.48     1.19    -9999
TERREADELI 240511 300  155000-155500   00      94.47  991.5     97.97     0.68    -9999
TERREADELI 240511 300  155500-160000   00      93.40  991.5     96.89    -0.44    -9999
TERREADELI 240511 3600 160000-170000   00      94.39  991.8     98.12     0.82    -9999
TERREADELI 240511 3600 170000-180000   00      93.98  992.3     98.02     0.73    -9999
TERREADELI 240511 3600 180000-190000   00      93.72  992.6     98.02     0.72    -9999
TERREADELI 240511 3600 190000-200000   00      94.27  992.9     98.81     1.54    -9999
TERREADELI 240511 3600 200000-210000   00      94.79  993.1     99.50     2.24    -9999
