SOPO-6NM64 LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOPO-6NM64 INSTRUMENT   6NM64b    NEUTRON MONITOR	
SOPO-6NM64 STANDARD PRESSURE    687.7   MB     COEFFICIENT   -0.75     % / MB
SOPO-6NM64 PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
SOPO-6NM64 PRE-INCREASE AVERAGE COUNTING RATE    108.93      COUNTS PER SECOND
SOPO-6NM64 TIME INTERVALS    300         3600     
SOPO-6NM64 SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
SOPO-6NM64 240511 300  091500-092000   00     122.45  670.5    114.16     4.80     2.30
SOPO-6NM64 240511 300  092000-092500   00     122.86  670.6    114.64     5.24     2.72
SOPO-6NM64 240511 300  092500-093000   00     122.67  670.7    114.52     5.13     2.60
SOPO-6NM64 240511 300  093000-093500   00     122.46  670.7    114.33     4.96     2.42
SOPO-6NM64 240511 300  093500-094000   00     122.03  670.6    113.91     4.57     2.02
SOPO-6NM64 240511 300  094000-094500   00     122.61  670.6    114.42     5.04     2.48
SOPO-6NM64 240511 300  094500-095000   00     122.58  670.5    114.34     4.96     2.39
SOPO-6NM64 240511 300  095000-095500   00     123.60  670.5    115.28     5.83     3.24
SOPO-6NM64 240511 300  095500-100000   00     122.18  670.4    113.82     4.49     1.89
SOPO-6NM64 240511 300  100000-100500   00     121.26  670.5    113.04     3.77     1.16
SOPO-6NM64 240511 300  100500-101000   00     122.07  670.5    113.80     4.47     1.85
SOPO-6NM64 240511 300  101000-101500   00     122.06  670.5    113.80     4.47     1.84
SOPO-6NM64 240511 300  101500-102000   00     121.74  670.5    113.54     4.23     1.59
SOPO-6NM64 240511 300  102000-102500   00     122.15  670.4    113.84     4.51     1.85
SOPO-6NM64 240511 300  102500-103000   00     123.97  670.5    115.58     6.10     3.43
SOPO-6NM64 240511 300  103000-103500   00     122.97  670.5    114.67     5.26     2.59
SOPO-6NM64 240511 300  103500-104000   00     122.77  670.5    114.46     5.08     2.39
SOPO-6NM64 240511 300  104000-104500   00     123.12  670.4    114.76     5.35     2.65
SOPO-6NM64 240511 300  104500-105000   00     122.98  670.5    114.69     5.28     2.57
SOPO-6NM64 240511 300  105000-105500   00     123.38  670.5    115.04     5.61     2.89
SOPO-6NM64 240511 300  105500-110000   00     122.39  670.5    114.15     4.79     2.06
SOPO-6NM64 240511 300  110000-110500   00     122.73  670.5    114.47     5.09     2.35
SOPO-6NM64 240511 300  110500-111000   00     124.01  670.5    115.65     6.16     3.41
SOPO-6NM64 240511 300  111000-111500   00     122.99  670.5    114.66     5.26     2.50
SOPO-6NM64 240511 300  111500-112000   00     122.20  670.4    113.90     4.56     1.79
SOPO-6NM64 240511 300  112000-112500   00     122.70  670.4    114.34     4.97     2.19
SOPO-6NM64 240511 300  112500-113000   00     123.99  670.4    115.57     6.09     3.31
SOPO-6NM64 240511 300  113000-113500   00     123.60  670.4    115.17     5.73     2.93
SOPO-6NM64 240511 300  113500-114000   00     123.18  670.4    114.76     5.35     2.54
SOPO-6NM64 240511 300  114000-114500   00     122.29  670.4    113.96     4.62     1.81
SOPO-6NM64 240511 300  114500-115000   00     124.90  670.4    116.42     6.87     4.05
SOPO-6NM64 240511 300  115000-115500   00     123.49  670.4    115.09     5.66     2.83
SOPO-6NM64 240511 300  115500-120000   00     123.80  670.5    115.40     5.94     3.10
SOPO-6NM64 240511 300  120000-120500   00     122.78  670.5    114.45     5.06     2.22
SOPO-6NM64 240511 300  120500-121000   00     121.80  670.5    113.55     4.24     1.39
SOPO-6NM64 240511 300  121000-121500   00     121.99  670.4    113.68     4.36     1.50
SOPO-6NM64 240511 300  121500-122000   00     121.44  670.4    113.13     3.85     0.99
SOPO-6NM64 240511 300  122000-122500   00     121.63  670.4    113.32     4.03     1.16
SOPO-6NM64 240511 300  122500-123000   00     121.59  670.4    113.27     3.99     1.10
SOPO-6NM64 240511 300  123000-123500   00     121.04  670.4    112.74     3.49     0.61
SOPO-6NM64 240511 300  123500-124000   00     121.29  670.3    112.95     3.69     0.79
SOPO-6NM64 240511 300  124000-124500   00     120.17  670.2    111.82     2.65    -0.25
SOPO-6NM64 240511 300  124500-125000   00     121.22  670.1    112.73     3.49     0.58
SOPO-6NM64 240511 300  125000-125500   00     120.94  670.1    112.43     3.21     0.29
SOPO-6NM64 240511 300  125500-130000   00     120.39  670.1    111.91     2.74    -0.18
SOPO-6NM64 240511 300  130000-130500   00     120.83  670.1    112.33     3.12     0.19
SOPO-6NM64 240511 300  130500-131000   00     121.10  670.1    112.60     3.37     0.43
SOPO-6NM64 240511 300  131000-131500   00     121.12  670.1    112.63     3.39     0.45
SOPO-6NM64 240511 300  131500-132000   00     120.24  670.1    111.80     2.64    -0.31
SOPO-6NM64 240511 300  132000-132500   00     120.45  670.1    112.01     2.83    -0.12
SOPO-6NM64 240511 300  132500-133000   00     119.66  670.1    111.29     2.16    -0.79
SOPO-6NM64 240511 300  133000-133500   00     120.27  670.2    111.87     2.70    -0.26
SOPO-6NM64 240511 300  133500-134000   00     119.87  670.2    111.53     2.39    -0.58
SOPO-6NM64 240511 300  134000-134500   00     120.22  670.3    111.90     2.73    -0.24
SOPO-6NM64 240511 300  134500-135000   00     120.37  670.3    112.08     2.89    -0.09
SOPO-6NM64 240511 300  135000-135500   00     121.41  670.3    113.05     3.78     0.80
SOPO-6NM64 240511 300  135500-140000   00     120.02  670.3    111.79     2.62    -0.36
SOPO-6NM64 240511 300  140000-140500   00     119.83  670.4    111.62     2.47    -9999
SOPO-6NM64 240511 300  140500-141000   00     120.15  670.4    111.92     2.74    -9999
SOPO-6NM64 240511 300  141000-141500   00     119.50  670.4    111.34     2.21    -9999
SOPO-6NM64 240511 300  141500-142000   00     119.34  670.4    111.20     2.08    -9999
SOPO-6NM64 240511 300  142000-142500   00     120.04  670.4    111.87     2.69    -9999
SOPO-6NM64 240511 300  142500-143000   00     120.19  670.5    112.03     2.84    -9999
SOPO-6NM64 240511 300  143000-143500   00     119.66  670.5    111.55     2.40    -9999
SOPO-6NM64 240511 300  143500-144000   00     120.34  670.5    112.23     3.03    -9999
SOPO-6NM64 240511 300  144000-144500   00     119.63  670.6    111.65     2.49    -9999
SOPO-6NM64 240511 300  144500-145000   00     119.44  670.7    111.52     2.38    -9999
SOPO-6NM64 240511 300  145000-145500   00     119.04  670.7    111.14     2.03    -9999
SOPO-6NM64 240511 300  145500-150000   00     121.11  670.7    113.08     3.80    -9999
SOPO-6NM64 240511 300  150000-150500   00     121.09  670.7    113.07     3.80    -9999
SOPO-6NM64 240511 300  150500-151000   00     119.71  670.7    111.79     2.62    -9999
SOPO-6NM64 240511 300  151000-151500   00     120.39  670.6    112.36     3.15    -9999
SOPO-6NM64 240511 300  151500-152000   00     120.00  670.6    111.95     2.77    -9999
