FORT-SMITH LATITUDE    60        LONGITUDE     -112      ALTITUDE    0 M
FORT-SMITH INSTRUMENT   18NM64    NEUTRON MONITOR     	
FORT-SMITH STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.72     % / MB
FORT-SMITH PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
FORT-SMITH PRE-INCREASE AVERAGE COUNTING RATE    178.05      COUNTS PER SECOND
FORT-SMITH TIME INTERVALS    300         3600     
FORT-SMITH SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
FORT-SMITH 240511 300  090500-091000   00     238.06  976.1    180.39     1.31     0.24
FORT-SMITH 240511 300  091000-091500   00     238.28  976.1    180.66     1.46     0.39
FORT-SMITH 240511 300  091500-092000   00     239.31  976.2    181.55     1.96     0.90
FORT-SMITH 240511 300  092000-092500   00     235.42  976.2    178.59     0.30    -0.77
FORT-SMITH 240511 300  092500-093000   00     237.54  976.2    180.24     1.23     0.16
FORT-SMITH 240511 300  093000-093500   00     238.86  976.2    181.21     1.77     0.71
FORT-SMITH 240511 300  093500-094000   00     237.69  976.3    180.39     1.31     0.25
FORT-SMITH 240511 300  094000-094500   00     241.30  976.3    183.15     2.86     1.81
FORT-SMITH 240511 300  094500-095000   00     239.77  976.3    182.06     2.25     1.20
FORT-SMITH 240511 300  095000-095500   00     238.43  976.5    181.23     1.78     0.73
FORT-SMITH 240511 300  095500-100000   00     237.09  976.6    180.42     1.33     0.28
FORT-SMITH 240511 300  100000-100500   00     237.14  976.8    180.62     1.44     0.40
FORT-SMITH 240511 300  100500-101000   00     235.40  977.0    179.58     0.86    -0.18
FORT-SMITH 240511 300  101000-101500   00     234.41  977.2    179.10     0.59    -0.45
FORT-SMITH 240511 300  101500-102000   00     237.94  977.2    181.82     2.11     1.08
FORT-SMITH 240511 300  102000-102500   00     234.60  977.3    179.46     0.79    -0.24
FORT-SMITH 240511 300  102500-103000   00     233.44  977.4    178.72     0.37    -0.65
FORT-SMITH 240511 300  103000-103500   00     234.35  977.5    179.53     0.83    -0.19
FORT-SMITH 240511 300  103500-104000   00     235.63  977.6    180.63     1.45     0.43
FORT-SMITH 240511 300  104000-104500   00     235.59  977.7    180.69     1.48     0.48
FORT-SMITH 240511 300  104500-105000   00     235.07  977.7    180.38     1.30     0.30
FORT-SMITH 240511 300  105000-105500   00     234.93  977.8    180.38     1.31     0.31
FORT-SMITH 240511 300  105500-110000   00     236.11  977.9    181.39     1.88     0.89
FORT-SMITH 240511 300  110000-110500   00     234.93  977.9    180.48     1.36     0.38
FORT-SMITH 240511 300  110500-111000   00     235.81  977.9    181.14     1.74     0.76
FORT-SMITH 240511 300  111000-111500   00     237.87  977.9    182.81     2.67     1.70
FORT-SMITH 240511 300  111500-112000   00     232.68  978.1    179.06     0.56    -0.40
FORT-SMITH 240511 300  112000-112500   00     234.40  978.2    180.55     1.40     0.44
FORT-SMITH 240511 300  112500-113000   00     234.08  978.4    180.47     1.36     0.41
FORT-SMITH 240511 300  113000-113500   00     233.61  978.4    180.13     1.17     0.22
FORT-SMITH 240511 300  113500-114000   00     233.09  978.5    179.88     1.03     0.09
