OULU       LATITUDE    65.02     LONGITUDE     25.5      ALTITUDE    0 M
OULU       INSTRUMENT   9NM64    NEUTRON MONITOR     	
OULU       STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.74     % / MB
OULU       PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
OULU       PRE-INCREASE AVERAGE COUNTING RATE     88.43      COUNTS PER SECOND
OULU       TIME INTERVALS    300         3600     
OULU       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
OULU       240511 3600 210000-220000   00      77.67 1019.7     90.02     1.80    -9999
OULU       240511 3600 220000-230000   00      77.51 1019.7     89.83     1.59    -9999
OULU       240511 3600 230000-240000   00      77.23 1019.5     89.37     1.06    -9999
OULU       240512 3600 000000-010000   00      77.92 1019.2     89.96     1.73    -9999
OULU       240512 3600 010000-020000   00      78.13 1018.8     89.96     1.73    -9999
OULU       240512 3600 020000-030000   00      78.74 1018.5     90.49     2.33    -9999
OULU       240512 3600 030000-040000   00      79.52 1018.2     91.16     3.09    -9999
OULU       240512 3600 040000-050000   00      80.10 1017.9     91.62     3.62    -9999
OULU       240512 3600 050000-060000   00      79.39 1017.7     90.66     2.53    -9999
OULU       240512 3600 060000-070000   00      80.00 1017.4     91.17     3.11    -9999
OULU       240512 3600 070000-080000   00      80.89 1017.1     91.96     4.00    -9999
OULU       240512 3600 080000-090000   00      80.99 1017.0     92.02     4.06    -9999
OULU       240512 3600 090000-100000   00      81.15 1017.1     92.25     4.33    -9999
OULU       240512 3600 100000-110000   00      81.09 1017.2     92.30     4.38    -9999
OULU       240512 3600 110000-120000   00      80.53 1017.4     91.75     3.76    -9999
OULU       240512 3600 120000-130000   00      80.17 1017.3     91.32     3.27    -9999
OULU       240512 3600 130000-140000   00      80.50 1017.2     91.59     3.58    -9999
OULU       240512 3600 140000-150000   00      80.35 1017.2     91.41     3.37    -9999
