IRKUTSK3   LATITUDE    52.28     LONGITUDE     104.02    ALTITUDE    3000 M
IRKUTSK3   INSTRUMENT   6NM64    NEUTRON MONITOR     
IRKUTSK3   STANDARD PRESSURE    715     MB     COEFFICIENT   -0.72     % / MB
IRKUTSK3   PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
IRKUTSK3   PRE-INCREASE AVERAGE COUNTING RATE    366.00      COUNTS PER SECOND
IRKUTSK3   TIME INTERVALS    300         3600     
IRKUTSK3   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
IRKUTSK3   240511 300  121000-121500   00     336.80  726.2    365.20    -0.22    -9999
IRKUTSK3   240511 300  121500-122000   00     337.60  726.3    366.20     0.05    -9999
IRKUTSK3   240511 300  122000-122500   00     337.40  726.3    366.00     0.00    -9999
IRKUTSK3   240511 300  122500-123000   00     341.40  726.4    370.80     1.31    -9999
IRKUTSK3   240511 300  123000-123500   00     340.80  726.4    369.80     1.04    -9999
IRKUTSK3   240511 300  123500-124000   00     337.20  726.3    366.00     0.00    -9999
IRKUTSK3   240511 300  124000-124500   00     337.80  726.3    366.60     0.16    -9999
IRKUTSK3   240511 300  124500-125000   00     338.40  726.3    367.20     0.33    -9999
IRKUTSK3   240511 300  125000-125500   00     337.20  726.2    365.80    -0.05    -9999
IRKUTSK3   240511 300  125500-130000   00     341.80  726.2    370.40     1.20    -9999
IRKUTSK3   240511 300  130000-130500   00     339.20  726.2    367.60     0.44    -9999
IRKUTSK3   240511 300  130500-131000   00     338.00  726.3    366.60     0.16    -9999
IRKUTSK3   240511 300  131000-131500   00     335.40  726.5    364.40    -0.44    -9999
IRKUTSK3   240511 300  131500-132000   00     335.20  726.5    364.00    -0.55    -9999
IRKUTSK3   240511 300  132000-132500   00     333.80  726.4    362.40    -0.98    -9999
IRKUTSK3   240511 300  132500-133000   00     336.00  726.4    365.00    -0.27    -9999
IRKUTSK3   240511 300  133000-133500   00     337.80  726.5    367.00     0.27    -9999
IRKUTSK3   240511 300  133500-134000   00     336.40  726.5    365.60    -0.11    -9999
IRKUTSK3   240511 300  134000-134500   00     336.60  726.5    365.60    -0.11    -9999
IRKUTSK3   240511 300  134500-135000   00     331.20  726.4    359.80    -1.69    -9999
IRKUTSK3   240511 300  135000-135500   00     335.40  726.4    364.20    -0.49    -9999
IRKUTSK3   240511 300  135500-140000   00     332.40  726.4    360.80    -1.42    -9999
IRKUTSK3   240511 300  140000-140500   00     336.80  726.4    365.60    -0.11    -9999
IRKUTSK3   240511 300  140500-141000   00     337.60  726.3    366.20     0.05    -9999
IRKUTSK3   240511 300  141000-141500   00     337.40  726.4    366.40     0.11    -9999
IRKUTSK3   240511 300  141500-142000   00     335.00  726.3    363.20    -0.77    -9999
IRKUTSK3   240511 300  142000-142500   00     334.20  726.3    362.60    -0.93    -9999
IRKUTSK3   240511 300  142500-143000   00     332.00  726.3    360.00    -1.64    -9999
IRKUTSK3   240511 300  143000-143500   00     334.40  726.3    363.00    -0.82    -9999
IRKUTSK3   240511 300  143500-144000   00     334.00  726.4    362.40    -0.98    -9999
IRKUTSK3   240511 300  144000-144500   00     333.20  726.3    361.40    -1.26    -9999
IRKUTSK3   240511 300  144500-145000   00     331.60  726.2    359.60    -1.75    -9999
IRKUTSK3   240511 300  145000-145500   00     336.80  726.2    365.40    -0.16    -9999
IRKUTSK3   240511 300  145500-150000   00     333.00  726.2    361.20    -1.31    -9999
IRKUTSK3   240511 300  150000-150500   00     332.40  726.2    360.40    -1.53    -9999
IRKUTSK3   240511 300  150500-151000   00     333.60  726.1    361.60    -1.20    -9999
IRKUTSK3   240511 300  151000-151500   00     332.80  726.1    360.80    -1.42    -9999
IRKUTSK3   240511 300  151500-152000   00     332.00  726.1    359.80    -1.69    -9999
IRKUTSK3   240511 300  152000-152500   00     332.20  726.0    359.40    -1.80    -9999
IRKUTSK3   240511 300  152500-153000   00     337.00  726.1    365.00    -0.27    -9999
IRKUTSK3   240511 300  153000-153500   00     333.80  726.1    361.40    -1.26    -9999
IRKUTSK3   240511 300  153500-154000   00     332.60  726.1    360.00    -1.64    -9999
IRKUTSK3   240511 300  154000-154500   00     338.00  726.1    366.00     0.00    -9999
IRKUTSK3   240511 300  154500-155000   00     335.60  726.0    363.20    -0.77    -9999
IRKUTSK3   240511 300  155000-155500   00     333.20  726.1    361.20    -1.31    -9999
IRKUTSK3   240511 300  155500-160000   00     336.60  726.2    364.80    -0.33    -9999
IRKUTSK3   240511 300  160000-160500   00     335.80  726.2    364.00    -0.55    -9999
IRKUTSK3   240511 300  160500-161000   00     332.60  726.1    360.60    -1.48    -9999
IRKUTSK3   240511 300  161000-161500   00     335.60  726.1    363.60    -0.66    -9999
IRKUTSK3   240511 300  161500-162000   00     336.80  726.2    365.00    -0.27    -9999
IRKUTSK3   240511 300  162000-162500   00     334.60  726.2    362.60    -0.93    -9999
IRKUTSK3   240511 300  162500-163000   00     337.00  726.1    365.40    -0.16    -9999
IRKUTSK3   240511 300  163000-163500   00     335.60  726.0    363.40    -0.71    -9999
IRKUTSK3   240511 300  163500-164000   00     336.80  726.1    365.20    -0.22    -9999
IRKUTSK3   240511 300  164000-164500   00     336.00  726.1    364.00    -0.55    -9999
IRKUTSK3   240511 300  164500-165000   00     334.80  726.1    362.60    -0.93    -9999
IRKUTSK3   240511 300  165000-165500   00     335.40  726.1    363.40    -0.71    -9999
IRKUTSK3   240511 300  165500-170000   00     335.60  726.0    363.40    -0.71    -9999
IRKUTSK3   240511 3600 170000-180000   00     336.03  726.0    363.73    -0.62    -9999
IRKUTSK3   240511 3600 180000-190000   00     337.42  725.8    364.83    -0.32    -9999
IRKUTSK3   240511 3600 190000-200000   00     338.47  725.6    365.52    -0.13    -9999
IRKUTSK3   240511 3600 200000-210000   00     341.05  725.6    368.03     0.56    -9999
IRKUTSK3   240511 3600 210000-220000   00     344.38  725.3    370.92     1.34    -9999
IRKUTSK3   240511 3600 220000-230000   00     344.13  725.1    370.12     1.12    -9999
IRKUTSK3   240511 3600 230000-240000   00     343.22  725.0    368.92     0.80    -9999
IRKUTSK3   240512 3600 000000-010000   00     343.95  724.8    369.12     0.85    -9999
IRKUTSK3   240512 3600 010000-020000   00     348.95  724.6    374.00     2.19    -9999
IRKUTSK3   240512 3600 020000-030000   00     351.23  724.6    376.42     2.85    -9999
IRKUTSK3   240512 3600 030000-040000   00     351.65  724.4    376.12     2.76    -9999
IRKUTSK3   240512 3600 040000-050000   00     352.32  724.3    376.68     2.92    -9999
IRKUTSK3   240512 3600 050000-060000   00     350.87  724.2    375.03     2.47    -9999
IRKUTSK3   240512 3600 060000-070000   00     349.30  724.2    373.08     1.94    -9999
IRKUTSK3   240512 3600 070000-080000   00     349.07  724.1    372.70     1.83    -9999
IRKUTSK3   240512 3600 080000-090000   00     346.68  724.7    371.88     1.61    -9999
IRKUTSK3   240512 3600 090000-100000   00     346.47  724.4    370.82     1.32    -9999
IRKUTSK3   240512 3600 100000-110000   00     345.13  724.1    368.60     0.71    -9999
IRKUTSK3   240512 3600 110000-120000   00     345.22  724.3    368.92     0.80    -9999
IRKUTSK3   240512 3600 120000-130000   00     346.40  724.5    370.92     1.34    -9999
