SANAE      LATITUDE    -71.67    LONGITUDE     -2.85     ALTITUDE    856 M
SANAE      INSTRUMENT   6NM64    NEUTRON MONITOR	
SANAE      STANDARD PRESSURE    660     MMHG   COEFFICIENT   0.97      % / MMHG
SANAE      PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
SANAE      PRE-INCREASE AVERAGE COUNTING RATE     64.28      COUNTS PER SECOND
SANAE      TIME INTERVALS    300         3600     
SANAE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
SANAE      240511 300  121500-122000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  122000-122500   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  122500-123000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  123000-123500   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  123500-124000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  124000-124500   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  124500-125000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  125000-125500   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  125500-130000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  130000-130500   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  130500-131000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  131000-131500   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  131500-132000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  132000-132500   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  132500-133000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  133000-133500   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  133500-134000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  134000-134500   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  134500-135000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  135000-135500   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  135500-140000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  140000-140500   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  140500-141000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  141000-141500   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  141500-142000   00    -999.00 -999.0   -999.00    -9999    -9999
