CALMA      LATITUDE    40.64     LONGITUDE     -3.16     ALTITUDE    708 M
CALMA      INSTRUMENT   15NM64    NEUTRON MONITOR
CALMA      STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.67     % / MB
CALMA      PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
CALMA      PRE-INCREASE AVERAGE COUNTING RATE     66.24      COUNTS PER SECOND
CALMA      TIME INTERVALS    300         3600     
CALMA      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
CALMA      240511 300  100500-101000   00      67.71  935.6     67.06     1.24    -9999
CALMA      240511 300  101000-101500   00      69.09  935.6     68.43     3.31    -9999
CALMA      240511 300  101500-102000   00      68.18  935.6     67.50     1.91    -9999
CALMA      240511 300  102000-102500   00      68.23  935.6     67.54     1.97    -9999
CALMA      240511 300  102500-103000   00      68.51  935.5     67.81     2.37    -9999
CALMA      240511 300  103000-103500   00      67.80  935.5     67.09     1.29    -9999
CALMA      240511 300  103500-104000   00      67.85  935.5     67.12     1.34    -9999
CALMA      240511 300  104000-104500   00      67.61  935.5     66.88     0.97    -9999
CALMA      240511 300  104500-105000   00      67.05  935.4     66.31     0.11    -9999
CALMA      240511 300  105000-105500   00      68.63  935.4     67.86     2.45    -9999
CALMA      240511 300  105500-110000   00      67.05  935.4     66.29     0.08    -9999
CALMA      240511 300  110000-110500   00      70.46  935.3     69.65     5.15    -9999
CALMA      240511 300  110500-111000   00      66.28  935.3     65.51    -1.10    -9999
CALMA      240511 300  111000-111500   00      68.40  935.3     67.57     2.02    -9999
CALMA      240511 300  111500-112000   00      67.11  935.2     66.27     0.05    -9999
CALMA      240511 300  112000-112500   00      68.24  935.2     67.37     1.71    -9999
CALMA      240511 300  112500-113000   00      67.15  935.1     66.28     0.06    -9999
CALMA      240511 300  113000-113500   00      68.32  935.1     67.41     1.77    -9999
CALMA      240511 300  113500-114000   00      67.21  935.0     66.30     0.09    -9999
CALMA      240511 300  114000-114500   00      68.69  935.0     67.75     2.28    -9999
CALMA      240511 300  114500-115000   00      67.49  935.0     66.56     0.48    -9999
CALMA      240511 300  115000-115500   00      69.01  935.0     68.04     2.72    -9999
CALMA      240511 300  115500-120000   00      67.03  934.9     66.07    -0.25    -9999
