MOSCOW     LATITUDE    55.47     LONGITUDE     37.32     ALTITUDE    200 M
MOSCOW     INSTRUMENT   24NM64    NEUTRON MONITOR	
MOSCOW     STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.71     % / MB
MOSCOW     PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
MOSCOW     PRE-INCREASE AVERAGE COUNTING RATE  7,636.73      COUNTS PER SECOND
MOSCOW     TIME INTERVALS    300         3600     
MOSCOW     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MOSCOW     240511 300  111500-112000   00    8876.89  985.3   7985.55     4.57    -9999
MOSCOW     240511 300  112000-112500   00    8754.11  985.3   7878.70     3.17    -9999
MOSCOW     240511 300  112500-113000   00    8633.20  985.3   7767.17     1.71    -9999
MOSCOW     240511 300  113000-113500   00    8779.42  985.2   7894.63     3.38    -9999
MOSCOW     240511 300  113500-114000   00    8742.86  985.2   7859.02     2.91    -9999
MOSCOW     240511 300  114000-114500   00    8690.38  985.1   7809.34     2.26    -9999
MOSCOW     240511 300  114500-115000   00    8709.12  985.1   7823.40     2.44    -9999
MOSCOW     240511 300  115000-115500   00    8768.17  985.1   7877.76     3.16    -9999
MOSCOW     240511 300  115500-120000   00    8636.02  985.1   7761.54     1.63    -9999
MOSCOW     240511 300  120000-120500   00    8678.19  985.3   7806.53     2.22    -9999
MOSCOW     240511 300  120500-121000   00    8669.76  985.3   7803.72     2.19    -9999
MOSCOW     240511 300  121000-121500   00    8616.33  985.5   7761.54     1.63    -9999
MOSCOW     240511 300  121500-122000   00    8637.89  985.5   7783.10     1.92    -9999
MOSCOW     240511 300  122000-122500   00    8601.34  985.6   7757.79     1.59    -9999
MOSCOW     240511 300  122500-123000   00    8614.46  985.7   7773.73     1.79    -9999
MOSCOW     240511 300  123000-123500   00    8542.29  985.7   7709.05     0.95    -9999
MOSCOW     240511 300  123500-124000   00    8640.70  985.7   7798.09     2.11    -9999
MOSCOW     240511 300  124000-124500   00    8550.72  985.7   7714.68     1.02    -9999
MOSCOW     240511 300  124500-125000   00    8567.59  985.6   7725.93     1.17    -9999
MOSCOW     240511 300  125000-125500   00    8639.76  985.6   7791.53     2.03    -9999
MOSCOW     240511 300  125500-130000   00    8567.59  985.5   7722.18     1.12    -9999
MOSCOW     240511 300  130000-130500   00    8547.91  985.5   7704.37     0.89    -9999
MOSCOW     240511 300  130500-131000   00    8587.28  985.6   7743.73     1.40    -9999
MOSCOW     240511 300  131000-131500   00    8602.27  985.7   7761.54     1.63    -9999
MOSCOW     240511 300  131500-132000   00    8537.60  985.8   7712.80     1.00    -9999
MOSCOW     240511 300  132000-132500   00    8545.10  986.2   7739.05     1.34    -9999
MOSCOW     240511 300  132500-133000   00    8566.66  986.4   7769.98     1.74    -9999
MOSCOW     240511 300  133000-133500   00    8521.67  986.7   7744.67     1.41    -9999
MOSCOW     240511 300  133500-134000   00    8504.80  986.7   7731.55     1.24    -9999
MOSCOW     240511 300  134000-134500   00    8550.72  986.4   7754.98     1.55    -9999
MOSCOW     240511 300  134500-135000   00    8559.16  986.5   7767.17     1.71    -9999
MOSCOW     240511 300  135000-135500   00    8565.72  986.4   7767.17     1.71    -9999
MOSCOW     240511 300  135500-140000   00    8589.15  986.4   7789.66     2.00    -9999
MOSCOW     240511 300  140000-140500   00    8580.72  986.5   7785.91     1.95    -9999
MOSCOW     240511 300  140500-141000   00    8557.28  986.5   7764.35     1.67    -9999
MOSCOW     240511 300  141000-141500   00    8507.61  986.4   7718.43     1.07    -9999
MOSCOW     240511 300  141500-142000   00    8566.66  986.5   7772.79     1.78    -9999
MOSCOW     240511 300  142000-142500   00    8522.61  986.6   7739.05     1.34    -9999
MOSCOW     240511 300  142500-143000   00    8531.98  986.7   7756.86     1.57    -9999
MOSCOW     240511 300  143000-143500   00    8414.82  986.8   7651.88     0.20    -9999
MOSCOW     240511 300  143500-144000   00    8466.37  986.8   7704.37     0.89    -9999
MOSCOW     240511 300  144000-144500   00    8553.54  987.0   7792.47     2.04    -9999
MOSCOW     240511 300  144500-145000   00    8471.99  986.9   7710.93     0.97    -9999
MOSCOW     240511 300  145000-145500   00    8517.92  986.8   7748.42     1.46    -9999
MOSCOW     240511 300  145500-150000   00    8564.78  986.9   7794.35     2.06    -9999
MOSCOW     240511 300  150000-150500   00    8591.96  986.9   7818.71     2.38    -9999
MOSCOW     240511 300  150500-151000   00    8466.37  986.9   7704.37     0.89    -9999
MOSCOW     240511 300  151000-151500   00    8515.11  986.9   7749.36     1.47    -9999
MOSCOW     240511 300  151500-152000   00    8498.24  987.0   7739.98     1.35    -9999
MOSCOW     240511 300  152000-152500   00    8557.28  987.1   7801.84     2.16    -9999
MOSCOW     240511 300  152500-153000   00    8616.33  987.2   7858.08     2.90    -9999
MOSCOW     240511 300  153000-153500   00    8383.89  987.3   7654.69     0.24    -9999
MOSCOW     240511 300  153500-154000   00    8531.04  987.4   7793.41     2.05    -9999
MOSCOW     240511 300  154000-154500   00    8463.56  987.5   7737.17     1.32    -9999
MOSCOW     240511 300  154500-155000   00    8535.73  987.6   7807.47     2.24    -9999
MOSCOW     240511 300  155000-155500   00    8466.37  987.7   7751.23     1.50    -9999
MOSCOW     240511 300  155500-160000   00    8533.85  987.7   7813.09     2.31    -9999
MOSCOW     240511 300  160000-160500   00    8597.59  987.8   7877.76     3.16    -9999
MOSCOW     240511 300  160500-161000   00    8452.31  987.8   7741.86     1.38    -9999
MOSCOW     240511 300  161000-161500   00    8547.91  987.8   7833.71     2.58    -9999
MOSCOW     240511 300  161500-162000   00    8520.73  988.0   7815.90     2.35    -9999
MOSCOW     240511 300  162000-162500   00    8517.92  988.0   7814.97     2.33    -9999
MOSCOW     240511 300  162500-163000   00    8438.25  988.1   7746.55     1.44    -9999
MOSCOW     240511 300  163000-163500   00    8557.28  988.1   7857.14     2.89    -9999
MOSCOW     240511 300  163500-164000   00    8500.11  988.2   7807.47     2.24    -9999
MOSCOW     240511 300  164000-164500   00    8507.61  988.2   7814.97     2.33    -9999
MOSCOW     240511 300  164500-165000   00    8391.39  988.2   7708.12     0.93    -9999
MOSCOW     240511 300  165000-165500   00    8559.16  988.3   7867.45     3.02    -9999
MOSCOW     240511 300  165500-170000   00    8426.07  988.3   7745.61     1.43    -9999
MOSCOW     240511 3600 170000-180000   00    8444.00  988.8   7791.00     2.02    -9999
MOSCOW     240511 3600 180000-190000   00    8400.00  989.3   7774.00     1.80    -9999
MOSCOW     240511 3600 190000-200000   00    8342.00  989.6   7742.00     1.38    -9999
MOSCOW     240511 3600 200000-210000   00    8379.00  990.1   7805.00     2.20    -9999
MOSCOW     240511 3600 210000-220000   00    8311.00  990.6   7767.00     1.71    -9999
MOSCOW     240511 3600 220000-230000   00    8252.00  991.0   7732.00     1.25    -9999
MOSCOW     240511 3600 230000-240000   00    8278.00  991.2   7772.00     1.77    -9999
