DOMC       LATITUDE    75.1      LONGITUDE     -123.38   ALTITUDE    3233 M
DOMC       INSTRUMENT   MINI NEUTRON MONITOR	
DOMC       STANDARD PRESSURE    650     MB     COEFFICIENT   -0.754    % / MB
DOMC       PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
DOMC       PRE-INCREASE AVERAGE COUNTING RATE     14.51      COUNTS PER SECOND
DOMC       TIME INTERVALS    300         3600     
DOMC       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
DOMC       240511 300  140500-141000   00      16.12  642.9     14.75     1.65    -9999
DOMC       240511 300  141000-141500   00      15.82  642.9     14.48    -0.19    -9999
DOMC       240511 300  141500-142000   00      16.20  642.9     14.83     2.23    -9999
DOMC       240511 300  142000-142500   00      15.78  642.9     14.45    -0.42    -9999
DOMC       240511 300  142500-143000   00      15.90  642.9     14.57     0.39    -9999
DOMC       240511 300  143000-143500   00      15.83  643.0     14.50    -0.07    -9999
DOMC       240511 300  143500-144000   00      16.20  643.0     14.83     2.23    -9999
DOMC       240511 300  144000-144500   00      16.42  643.0     15.03     3.60    -9999
DOMC       240511 300  144500-145000   00      16.32  643.0     14.95     3.03    -9999
DOMC       240511 300  145000-145500   00      16.30  643.0     14.93     2.91    -9999
DOMC       240511 300  145500-150000   00      16.17  643.1     14.82     2.11    -9999
DOMC       240511 300  150000-150500   00      16.25  643.1     14.90     2.68    -9999
DOMC       240511 300  150500-151000   00      16.25  643.1     14.90     2.68    -9999
DOMC       240511 300  151000-151500   00      16.13  643.1     14.78     1.88    -9999
DOMC       240511 300  151500-152000   00      16.18  643.1     14.83     2.23    -9999
DOMC       240511 300  152000-152500   00      15.67  643.1     14.37    -0.99    -9999
DOMC       240511 300  152500-153000   00      16.18  643.1     14.83     2.23    -9999
DOMC       240511 300  153000-153500   00      16.33  643.1     14.98     3.26    -9999
DOMC       240511 300  153500-154000   00      16.07  643.1     14.73     1.54    -9999
DOMC       240511 300  154000-154500   00      15.65  643.1     14.35    -1.11    -9999
DOMC       240511 300  154500-155000   00      16.17  643.1     14.83     2.23    -9999
DOMC       240511 300  155000-155500   00      16.33  643.1     14.97     3.14    -9999
DOMC       240511 300  155500-160000   00      16.23  643.1     14.90     2.68    -9999
DOMC       240511 3600 160000-170000   00      16.20  643.4     14.88     2.57    -9999
DOMC       240511 3600 170000-180000   00      16.10  643.5     14.82     2.11    -9999
DOMC       240511 3600 180000-190000   00      16.05  643.5     14.77     1.77    -9999
DOMC       240511 3600 190000-200000   00      16.00  643.5     14.72     1.42    -9999
DOMC       240511 3600 200000-210000   00      15.90  643.7     14.65     0.96    -9999
DOMC       240511 3600 210000-220000   00      16.12  644.0     14.88     2.57    -9999
DOMC       240511 3600 220000-230000   00      15.98  644.2     14.78     1.88    -9999
DOMC       240511 3600 230000-240000   00      15.83  644.4     14.67     1.08    -9999
DOMC       240512 3600 000000-010000   00      15.83  644.5     14.67     1.08    -9999
DOMC       240512 3600 010000-020000   00      15.92  644.4     14.75     1.65    -9999
DOMC       240512 3600 020000-030000   00      15.85  644.4     14.68     1.19    -9999
DOMC       240512 3600 030000-040000   00      15.98  644.3     14.78     1.88    -9999
DOMC       240512 3600 040000-050000   00      15.83  644.3     14.65     0.96    -9999
DOMC       240512 3600 050000-060000   00      15.83  644.3     14.65     0.96    -9999
DOMC       240512 3600 060000-070000   00      16.12  644.2     14.90     2.68    -9999
DOMC       240512 3600 070000-080000   00      16.17  644.2     14.95     3.03    -9999
DOMC       240512 3600 080000-090000   00      16.23  644.1     15.00     3.37    -9999
DOMC       240512 3600 090000-100000   00      15.98  643.7     14.72     1.42    -9999
DOMC       240512 3600 100000-110000   00      15.90  643.6     14.65     0.96    -9999
DOMC       240512 3600 110000-120000   00      16.05  643.7     14.78     1.88    -9999
DOMC       240512 3600 120000-130000   00      16.10  643.6     14.82     2.11    -9999
DOMC       240512 3600 130000-140000   00      16.25  643.4     14.93     2.91    -9999
DOMC       240512 3600 140000-150000   00      16.17  643.4     14.87     2.46    -9999
DOMC       240512 3600 150000-160000   00      16.32  643.4     15.00     3.37    -9999
DOMC       240512 3600 160000-170000   00      16.27  643.3     14.93     2.91    -9999
DOMC       240512 3600 170000-180000   00      16.25  643.3     14.92     2.80    -9999
DOMC       240512 3600 180000-190000   00      16.27  643.2     14.93     2.91    -9999
DOMC       240512 3600 190000-200000   00      16.25  643.0     14.88     2.57    -9999
DOMC       240512 3600 200000-210000   00      16.18  643.1     14.83     2.23    -9999
DOMC       240512 3600 210000-220000   00      16.32  643.3     14.98     3.26    -9999
DOMC       240512 3600 220000-230000   00      16.42  643.2     15.07     3.83    -9999
DOMC       240512 3600 230000-240000   00      16.45  643.1     15.08     3.95    -9999
*
COMMENT NM DATA DOWNLOADED FROM COSMICRAYS.OULU.FI ON 14.5.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-03 09:23:40 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE74/C074DOMC_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
