LOMNICKY   LATITUDE    49.2      LONGITUDE     20.22     ALTITUDE    2634 M
LOMNICKY   INSTRUMENT   8-NM-64  NEUTRON MONITOR	
LOMNICKY   STANDARD PRESSURE    747     MB     COEFFICIENT   -0.72     % / MB
LOMNICKY   PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
LOMNICKY   PRE-INCREASE AVERAGE COUNTING RATE    383.91      COUNTS PER SECOND
LOMNICKY   TIME INTERVALS    300         3600     
LOMNICKY   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
LOMNICKY   240511 300  052000-052500   00     369.01  741.3    390.67     1.76    -9999
LOMNICKY   240511 300  052500-053000   00     370.20  741.3    391.97     2.10    -9999
LOMNICKY   240511 300  053000-053500   00     372.18  741.3    394.07     2.65    -9999
LOMNICKY   240511 300  053500-054000   00     371.02  741.3    392.77     2.31    -9999
LOMNICKY   240511 300  054000-054500   00     370.79  741.3    392.54     2.25    -9999
LOMNICKY   240511 300  054500-055000   00     367.70  741.3    389.34     1.42    -9999
LOMNICKY   240511 300  055000-055500   00     369.83  741.3    391.67     2.02    -9999
LOMNICKY   240511 300  055500-060000   00     367.19  741.3    388.95     1.31    -9999
LOMNICKY   240511 300  060000-060500   00     366.05  741.4    387.82     1.02    -9999
LOMNICKY   240511 300  060500-061000   00     366.96  741.4    388.82     1.28    -9999
LOMNICKY   240511 300  061000-061500   00     363.07  741.4    384.81     0.23    -9999
LOMNICKY   240511 300  061500-062000   00     364.92  741.4    386.79     0.75    -9999
LOMNICKY   240511 300  062000-062500   00     363.82  741.5    385.71     0.47    -9999
LOMNICKY   240511 300  062500-063000   00     366.52  741.5    388.65     1.24    -9999
LOMNICKY   240511 300  063000-063500   00     366.76  741.5    388.95     1.31    -9999
LOMNICKY   240511 300  063500-064000   00     365.05  741.5    387.16     0.85    -9999
LOMNICKY   240511 300  064000-064500   00     365.66  741.5    387.77     1.01    -9999
LOMNICKY   240511 300  064500-065000   00     366.40  741.5    388.59     1.22    -9999
LOMNICKY   240511 300  065000-065500   00     367.34  741.5    389.65     1.49    -9999
LOMNICKY   240511 300  065500-070000   00     365.69  741.5    387.87     1.03    -9999
LOMNICKY   240511 300  070000-070500   00     364.88  741.5    387.02     0.81    -9999
LOMNICKY   240511 300  070500-071000   00     366.31  741.6    388.64     1.23    -9999
LOMNICKY   240511 300  071000-071500   00     363.42  741.6    385.70     0.47    -9999
LOMNICKY   240511 300  071500-072000   00     364.71  741.6    387.14     0.84    -9999
LOMNICKY   240511 300  072000-072500   00     363.76  741.7    386.23     0.61    -9999
LOMNICKY   240511 300  072500-073000   00     365.98  741.7    388.59     1.22    -9999
LOMNICKY   240511 300  073000-073500   00     363.88  741.7    386.49     0.67    -9999
LOMNICKY   240511 300  073500-074000   00     365.44  741.7    388.20     1.12    -9999
LOMNICKY   240511 300  074000-074500   00     367.71  741.7    390.55     1.73    -9999
LOMNICKY   240511 300  074500-075000   00     367.13  741.7    390.01     1.59    -9999
LOMNICKY   240511 300  075000-075500   00     369.43  741.7    392.44     2.22    -9999
LOMNICKY   240511 300  075500-080000   00     365.18  741.7    387.96     1.06    -9999
LOMNICKY   240511 300  080000-080500   00     371.12  741.8    394.31     2.71    -9999
LOMNICKY   240511 300  080500-081000   00     368.31  741.8    391.49     1.97    -9999
LOMNICKY   240511 300  081000-081500   00     366.50  741.8    389.40     1.43    -9999
LOMNICKY   240511 300  081500-082000   00     367.85  741.8    390.81     1.80    -9999
LOMNICKY   240511 300  082000-082500   00     365.83  741.8    388.86     1.29    -9999
LOMNICKY   240511 300  082500-083000   00     368.22  741.8    391.39     1.95    -9999
LOMNICKY   240511 300  083000-083500   00     366.78  741.8    389.80     1.53    -9999
LOMNICKY   240511 300  083500-084000   00     365.87  741.8    388.83     1.28    -9999
LOMNICKY   240511 300  084000-084500   00     365.52  741.8    388.44     1.18    -9999
LOMNICKY   240511 300  084500-085000   00     367.13  741.8    390.17     1.63    -9999
LOMNICKY   240511 300  085000-085500   00     367.13  741.8    390.31     1.67    -9999
LOMNICKY   240511 300  085500-090000   00     364.46  741.9    387.55     0.95    -9999
LOMNICKY   240511 300  090000-090500   00     362.97  741.9    385.95     0.53    -9999
LOMNICKY   240511 300  090500-091000   00     361.50  741.8    384.30     0.10    -9999
LOMNICKY   240511 300  091000-091500   00     361.74  741.8    384.52     0.16    -9999
LOMNICKY   240511 300  091500-092000   00     364.60  741.8    387.56     0.95    -9999
LOMNICKY   240511 300  092000-092500   00     363.44  741.8    386.26     0.61    -9999
LOMNICKY   240511 300  092500-093000   00     359.58  741.8    382.19    -0.45    -9999
LOMNICKY   240511 300  093000-093500   00     361.81  741.8    384.62     0.18    -9999
LOMNICKY   240511 300  093500-094000   00     362.72  741.8    385.61     0.44    -9999
LOMNICKY   240511 300  094000-094500   00     362.79  741.9    385.71     0.47    -9999
LOMNICKY   240511 300  094500-095000   00     365.31  741.9    388.41     1.17    -9999
LOMNICKY   240511 300  095000-095500   00     365.48  741.9    388.57     1.21    -9999
LOMNICKY   240511 300  095500-100000   00     368.51  741.9    391.86     2.07    -9999
LOMNICKY   240511 300  100000-100500   00     368.26  741.9    391.59     2.00    -9999
LOMNICKY   240511 300  100500-101000   00     367.09  741.9    390.29     1.66    -9999
LOMNICKY   240511 300  101000-101500   00     368.42  741.9    391.70     2.03    -9999
LOMNICKY   240511 300  101500-102000   00     365.29  741.9    388.41     1.17    -9999
LOMNICKY   240511 300  102000-102500   00     367.38  741.9    390.60     1.74    -9999
LOMNICKY   240511 300  102500-103000   00     363.32  741.9    386.29     0.62    -9999
LOMNICKY   240511 300  103000-103500   00     365.50  741.9    388.74     1.26    -9999
LOMNICKY   240511 300  103500-104000   00     364.44  741.9    387.64     0.97    -9999
LOMNICKY   240511 300  104000-104500   00     367.62  741.9    390.89     1.82    -9999
LOMNICKY   240511 300  104500-105000   00     366.88  741.8    390.03     1.60    -9999
LOMNICKY   240511 300  105000-105500   00     365.22  741.8    388.19     1.12    -9999
LOMNICKY   240511 300  105500-110000   00     367.50  741.9    390.73     1.78    -9999
LOMNICKY   240511 300  110000-110500   00     366.84  741.9    390.02     1.59    -9999
LOMNICKY   240511 300  110500-111000   00     369.00  741.8    392.28     2.18    -9999
LOMNICKY   240511 300  111000-111500   00     368.76  741.9    392.08     2.13    -9999
LOMNICKY   240511 300  111500-112000   00     367.28  741.8    390.48     1.71    -9999
LOMNICKY   240511 300  112000-112500   00     372.21  741.8    395.61     3.05    -9999
LOMNICKY   240511 300  112500-113000   00     370.67  741.8    394.04     2.64    -9999
LOMNICKY   240511 300  113000-113500   00     366.85  741.8    389.95     1.57    -9999
LOMNICKY   240511 300  113500-114000   00     365.64  741.8    388.64     1.23    -9999
LOMNICKY   240511 300  114000-114500   00     366.45  741.8    389.55     1.47    -9999
LOMNICKY   240511 300  114500-115000   00     363.46  741.8    386.41     0.65    -9999
LOMNICKY   240511 300  115000-115500   00     366.52  741.8    389.62     1.49    -9999
LOMNICKY   240511 300  115500-120000   00     369.20  741.8    392.44     2.22    -9999
LOMNICKY   240511 300  120000-120500   00     367.08  741.8    390.12     1.62    -9999
LOMNICKY   240511 300  120500-121000   00     365.35  741.8    388.20     1.12    -9999
LOMNICKY   240511 300  121000-121500   00     362.98  741.7    385.47     0.41    -9999
LOMNICKY   240511 300  121500-122000   00     358.86  741.7    381.18    -0.71    -9999
LOMNICKY   240511 300  122000-122500   00     363.35  741.8    386.10     0.57    -9999
LOMNICKY   240511 300  122500-123000   00     363.27  741.7    385.91     0.52    -9999
LOMNICKY   240511 300  123000-123500   00     363.13  741.7    385.70     0.47    -9999
LOMNICKY   240511 300  123500-124000   00     361.19  741.7    383.61    -0.08    -9999
LOMNICKY   240511 300  124000-124500   00     363.05  741.7    385.64     0.45    -9999
LOMNICKY   240511 300  124500-125000   00     365.94  741.7    388.72     1.25    -9999
LOMNICKY   240511 300  125000-125500   00     361.57  741.7    384.09     0.05    -9999
LOMNICKY   240511 300  125500-130000   00     363.02  741.7    385.59     0.44    -9999
LOMNICKY   240511 300  130000-130500   00     360.54  741.7    382.96    -0.25    -9999
LOMNICKY   240511 300  130500-131000   00     364.44  741.7    387.04     0.82    -9999
LOMNICKY   240511 300  131000-131500   00     361.34  741.7    383.71    -0.05    -9999
LOMNICKY   240511 300  131500-132000   00     362.50  741.7    384.98     0.28    -9999
LOMNICKY   240511 300  132000-132500   00     359.86  741.7    382.25    -0.43    -9999
LOMNICKY   240511 300  132500-133000   00     363.08  741.7    385.61     0.44    -9999
LOMNICKY   240511 300  133000-133500   00     361.82  741.6    384.09     0.05    -9999
LOMNICKY   240511 300  133500-134000   00     365.59  741.7    388.14     1.10    -9999
LOMNICKY   240511 300  134000-134500   00     367.11  741.7    389.78     1.53    -9999
LOMNICKY   240511 300  134500-135000   00     364.51  741.6    386.80     0.75    -9999
LOMNICKY   240511 300  135000-135500   00     366.63  741.6    388.99     1.32    -9999
LOMNICKY   240511 300  135500-140000   00     364.56  741.5    386.71     0.73    -9999
LOMNICKY   240511 300  140000-140500   00     366.48  741.5    388.58     1.22    -9999
LOMNICKY   240511 300  140500-141000   00     364.60  741.5    386.60     0.70    -9999
LOMNICKY   240511 300  141000-141500   00     362.76  741.4    384.58     0.17    -9999
LOMNICKY   240511 300  141500-142000   00     365.46  741.4    387.25     0.87    -9999
LOMNICKY   240511 300  142000-142500   00     362.95  741.4    384.57     0.17    -9999
LOMNICKY   240511 300  142500-143000   00     367.22  741.4    389.14     1.36    -9999
LOMNICKY   240511 300  143000-143500   00     363.85  741.3    385.45     0.40    -9999
LOMNICKY   240511 300  143500-144000   00     365.04  741.3    386.50     0.68    -9999
LOMNICKY   240511 300  144000-144500   00     365.36  741.3    386.80     0.75    -9999
LOMNICKY   240511 300  144500-145000   00     363.48  741.2    384.74     0.22    -9999
LOMNICKY   240511 300  145000-145500   00     366.30  741.2    387.66     0.98    -9999
LOMNICKY   240511 300  145500-150000   00     364.97  741.2    386.17     0.59    -9999
LOMNICKY   240511 300  150000-150500   00     362.56  741.2    383.69    -0.06    -9999
LOMNICKY   240511 300  150500-151000   00     364.66  741.2    385.86     0.51    -9999
LOMNICKY   240511 300  151000-151500   00     366.37  741.1    387.48     0.93    -9999
