MAWSON     LATITUDE    -67.6     LONGITUDE     62.88     ALTITUDE    30 M
MAWSON     INSTRUMENT   IGY     NEUTRON MONITOR
MAWSON     STANDARD PRESSURE    990     MB     COEFFICIENT   -0.708    % / MB
MAWSON     PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
MAWSON     PRE-INCREASE AVERAGE COUNTING RATE    201.68      COUNTS PER SECOND
MAWSON     TIME INTERVALS    300         3600     
MAWSON     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MAWSON     240511 300  132000-132500   00     197.61  986.7    202.69     0.50    -1.01
MAWSON     240511 300  132500-133000   00     198.88  986.6    203.88     1.09    -0.42
MAWSON     240511 300  133000-133500   00     200.43  986.6    205.43     1.86     0.34
MAWSON     240511 300  133500-134000   00     200.04  986.5    204.95     1.62     0.10
MAWSON     240511 300  134000-134500   00     202.22  986.3    206.87     2.58     1.06
MAWSON     240511 300  134500-135000   00     198.23  986.3    202.71     0.51    -1.01
MAWSON     240511 300  135000-135500   00     201.83  986.2    206.32     2.30     0.78
MAWSON     240511 300  135500-140000   00     200.20  986.2    204.61     1.45    -0.07
MAWSON     240511 300  140000-140500   00     200.24  986.3    204.81     1.55    -9999
MAWSON     240511 300  140500-141000   00     199.61  986.3    204.12     1.21    -9999
MAWSON     240511 300  141000-141500   00     200.36  986.2    204.81     1.55    -9999
MAWSON     240511 300  141500-142000   00     201.50  986.3    206.13     2.21    -9999
MAWSON     240511 300  142000-142500   00     201.02  986.3    205.57     1.93    -9999
MAWSON     240511 300  142500-143000   00     200.08  986.2    204.53     1.41    -9999
MAWSON     240511 300  143000-143500   00     202.09  986.2    206.58     2.43    -9999
MAWSON     240511 300  143500-144000   00     198.55  986.1    202.85     0.58    -9999
MAWSON     240511 300  144000-144500   00     199.89  986.1    204.17     1.24    -9999
MAWSON     240511 300  144500-145000   00     200.94  986.1    205.21     1.75    -9999
MAWSON     240511 300  145000-145500   00     198.67  986.2    203.01     0.66    -9999
MAWSON     240511 300  145500-150000   00     199.74  986.2    204.13     1.22    -9999
MAWSON     240511 300  150000-150500   00     199.78  986.2    204.26     1.28    -9999
MAWSON     240511 300  150500-151000   00     199.32  986.2    203.71     1.01    -9999
MAWSON     240511 300  151000-151500   00     200.64  986.2    205.05     1.67    -9999
MAWSON     240511 300  151500-152000   00     200.06  986.2    204.47     1.38    -9999
MAWSON     240511 300  152000-152500   00     199.69  986.4    204.40     1.35    -9999
MAWSON     240511 300  152500-153000   00     200.24  986.4    204.95     1.63    -9999
MAWSON     240511 300  153000-153500   00     201.72  986.0    205.92     2.10    -9999
MAWSON     240511 300  153500-154000   00     201.55  986.1    205.87     2.08    -9999
MAWSON     240511 300  154000-154500   00     201.52  986.0    205.76     2.03    -9999
MAWSON     240511 300  154500-155000   00     200.25  986.3    204.89     1.60    -9999
MAWSON     240511 300  155000-155500   00     199.09  986.5    203.86     1.08    -9999
MAWSON     240511 300  155500-160000   00     200.86  986.5    205.71     2.00    -9999
MAWSON     240511 300  160000-160500   00     200.53  986.7    205.68     1.99    -9999
MAWSON     240511 300  160500-161000   00     199.73  986.6    204.71     1.50    -9999
MAWSON     240511 300  161000-161500   00     201.06  986.6    206.03     2.16    -9999
MAWSON     240511 300  161500-162000   00     200.75  986.6    205.72     2.00    -9999
MAWSON     240511 300  162000-162500   00     201.01  986.5    205.83     2.06    -9999
MAWSON     240511 300  162500-163000   00     201.51  986.5    206.33     2.31    -9999
MAWSON     240511 300  163000-163500   00     200.87  986.4    205.60     1.95    -9999
MAWSON     240511 300  163500-164000   00     200.66  986.6    205.62     1.95    -9999
MAWSON     240511 300  164000-164500   00     199.70  986.7    204.90     1.60    -9999
MAWSON     240511 300  164500-165000   00     200.03  986.8    205.37     1.83    -9999
MAWSON     240511 300  165000-165500   00     203.26  986.9    208.84     3.55    -9999
MAWSON     240511 300  165500-170000   00     201.73  986.8    207.07     2.67    -9999
MAWSON     240511 3600 170000-180000   00     200.24  986.1    204.54     1.42    -9999
MAWSON     240511 3600 180000-190000   00     201.24  985.5    204.71     1.51    -9999
MAWSON     240511 3600 190000-200000   00     201.14  985.9    205.15     1.72    -9999
MAWSON     240511 3600 200000-210000   00     199.86  985.8    203.71     1.01    -9999
MAWSON     240511 3600 210000-220000   00     200.14  985.8    204.04     1.17    -9999
MAWSON     240511 3600 220000-230000   00     198.86  986.3    203.37     0.84    -9999
MAWSON     240511 3600 230000-240000   00     197.87  986.3    202.42     0.37    -9999
MAWSON     240512 3600 000000-010000   00     200.29  986.0    204.46     1.38    -9999
MAWSON     240512 3600 010000-020000   00     199.79  985.9    203.73     1.01    -9999
MAWSON     240512 3600 020000-030000   00     200.27  985.7    204.05     1.17    -9999
MAWSON     240512 3600 030000-040000   00     202.09  986.0    206.22     2.25    -9999
MAWSON     240512 3600 040000-050000   00     201.74  985.8    205.60     1.94    -9999
MAWSON     240512 3600 050000-060000   00     202.68  985.3    205.81     2.05    -9999
MAWSON     240512 3600 060000-070000   00     203.66  985.1    206.50     2.39    -9999
MAWSON     240512 3600 070000-080000   00     204.77  985.0    207.53     2.90    -9999
MAWSON     240512 3600 080000-090000   00     205.17  985.0    207.89     3.08    -9999
MAWSON     240512 3600 090000-100000   00     205.84  984.4    207.71     2.99    -9999
MAWSON     240512 3600 100000-110000   00     205.21  983.9    206.39     2.33    -9999
MAWSON     240512 3600 110000-120000   00     205.54  983.6    206.25     2.26    -9999
MAWSON     240512 3600 120000-130000   00     206.29  983.2    206.41     2.35    -9999
MAWSON     240512 3600 130000-140000   00     207.77  982.9    207.54     2.90    -9999
MAWSON     240512 3600 140000-150000   00     208.23  982.5    207.27     2.77    -9999
MAWSON     240512 3600 150000-160000   00     208.62  982.5    207.78     3.02    -9999
MAWSON     240512 3600 160000-170000   00     208.87  982.6    208.07     3.17    -9999
MAWSON     240512 3600 170000-180000   00     210.34  982.3    209.12     3.69    -9999
MAWSON     240512 3600 180000-190000   00     209.73  981.9    207.94     3.11    -9999
MAWSON     240512 3600 190000-200000   00     209.56  981.8    207.58     2.93    -9999
MAWSON     240512 3600 200000-210000   00     210.91  981.3    208.17     3.22    -9999
MAWSON     240512 3600 210000-220000   00     211.24  980.8    207.83     3.05    -9999
MAWSON     240512 3600 220000-230000   00     212.88  980.4    208.82     3.54    -9999
MAWSON     240512 3600 230000-240000   00     211.94  980.8    208.49     3.38    -9999
*
COMMENT NM DATA DOWNLOADED FROM NMDB ON 14.5.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-03 09:23:40 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE74/C074MWSN_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
