SOUTH-POLE LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOUTH-POLE INSTRUMENT   3NM64    NEUTRON MONITOR     	
SOUTH-POLE STANDARD PRESSURE    680     MB     COEFFICIENT   -0.69     % / MB
SOUTH-POLE PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
SOUTH-POLE PRE-INCREASE AVERAGE COUNTING RATE    231.08      COUNTS PER SECOND
SOUTH-POLE TIME INTERVALS    300         3600     
SOUTH-POLE SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
SOUTH-POLE 240511 300  044500-045000   00     262.92  670.6    245.08     6.06     4.64
SOUTH-POLE 240511 300  045000-045500   00     258.52  670.6    241.00     4.29     2.86
SOUTH-POLE 240511 300  045500-050000   00     260.48  670.6    242.83     5.08     3.63
SOUTH-POLE 240511 300  050000-050500   00     259.79  670.6    242.20     4.81     3.33
SOUTH-POLE 240511 300  050500-051000   00     258.45  670.7    241.00     4.29     2.79
SOUTH-POLE 240511 300  051000-051500   00     258.79  670.7    241.43     4.48     2.96
SOUTH-POLE 240511 300  051500-052000   00     256.51  670.8    239.37     3.59     2.04
SOUTH-POLE 240511 300  052000-052500   00     258.35  670.8    241.08     4.33     2.77
SOUTH-POLE 240511 300  052500-053000   00     257.58  670.7    240.31     3.99     2.41
SOUTH-POLE 240511 300  053000-053500   00     258.08  670.7    240.78     4.20     2.59
SOUTH-POLE 240511 300  053500-054000   00     259.30  670.8    241.99     4.72     3.10
SOUTH-POLE 240511 300  054000-054500   00     259.55  670.8    242.27     4.84     3.20
SOUTH-POLE 240511 300  054500-055000   00     256.96  670.8    239.82     3.78     2.12
SOUTH-POLE 240511 300  055000-055500   00     259.70  670.8    242.35     4.88     3.20
SOUTH-POLE 240511 300  055500-060000   00     262.03  670.7    244.48     5.80     4.10
SOUTH-POLE 240511 300  060000-060500   00     259.00  670.7    241.60     4.55     2.83
SOUTH-POLE 240511 300  060500-061000   00     258.92  670.7    241.56     4.54     2.80
SOUTH-POLE 240511 300  061000-061500   00     259.59  670.7    242.15     4.79     3.03
