CALGARY    LATITUDE    51.08     LONGITUDE     -114.13   ALTITUDE    1128 M
CALGARY    INSTRUMENT   12NM64    NEUTRON MONITOR     	
CALGARY    STANDARD PRESSURE    884     MB     COEFFICIENT   -999      % / MB
CALGARY    PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
CALGARY    PRE-INCREASE AVERAGE COUNTING RATE    245.81      COUNTS PER SECOND
CALGARY    TIME INTERVALS    300         3600     
CALGARY    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
CALGARY    240511 300  101500-102000   00     274.96  884.8    249.80     1.62     0.52
CALGARY    240511 300  102000-102500   00     271.69  884.8    246.77     0.39    -0.70
CALGARY    240511 300  102500-103000   00     275.29  884.8    250.14     1.76     0.68
CALGARY    240511 300  103000-103500   00     275.51  884.9    250.43     1.88     0.81
CALGARY    240511 300  103500-104000   00     272.73  884.9    248.00     0.89    -0.17
CALGARY    240511 300  104000-104500   00     272.15  885.0    247.52     0.70    -0.35
CALGARY    240511 300  104500-105000   00     272.46  885.0    247.82     0.82    -0.21
CALGARY    240511 300  105000-105500   00     275.19  885.0    250.38     1.86     0.84
CALGARY    240511 300  105500-110000   00     271.92  885.0    247.42     0.66    -0.35
CALGARY    240511 300  110000-110500   00     270.53  885.0    246.18     0.15    -0.84
CALGARY    240511 300  110500-111000   00     273.15  885.0    248.57     1.12     0.15
CALGARY    240511 300  111000-111500   00     272.74  885.0    248.21     0.98     0.02
CALGARY    240511 300  111500-112000   00     274.14  885.0    249.43     1.47     0.53
CALGARY    240511 300  112000-112500   00     276.30  885.0    251.40     2.27     1.34
CALGARY    240511 300  112500-113000   00     272.42  885.0    247.78     0.80    -0.11
CALGARY    240511 300  113000-113500   00     274.61  885.1    250.01     1.71     0.81
CALGARY    240511 300  113500-114000   00     272.73  885.1    248.41     1.06     0.17
CALGARY    240511 300  114000-114500   00     275.63  885.1    251.01     2.11     1.25
CALGARY    240511 300  114500-115000   00     270.92  885.1    246.63     0.33    -0.52
CALGARY    240511 300  115000-115500   00     275.03  885.1    250.33     1.84     1.01
