MAWSONB    LATITUDE    -67.6     LONGITUDE     62.88     ALTITUDE    30 M
MAWSONB    INSTRUMENT   6NM64B    NEUTRON MONITOR
MAWSONB    STANDARD PRESSURE    990     MB     COEFFICIENT   -0.708    % / MB
MAWSONB    PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
MAWSONB    PRE-INCREASE AVERAGE COUNTING RATE     23.01      COUNTS PER SECOND
MAWSONB    TIME INTERVALS    300         3600     
MAWSONB    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MAWSONB    240511 300  140000-140500   00      24.33  986.3     23.70     3.01    -9999
MAWSONB    240511 300  140500-141000   00      24.09  986.3     23.46     1.96    -9999
MAWSONB    240511 300  141000-141500   00      24.07  986.2     23.43     1.84    -9999
MAWSONB    240511 300  141500-142000   00      24.08  986.3     23.45     1.93    -9999
MAWSONB    240511 300  142000-142500   00      23.81  986.3     23.19     0.76    -9999
MAWSONB    240511 300  142500-143000   00      24.25  986.2     23.61     2.59    -9999
MAWSONB    240511 300  143000-143500   00      24.32  986.2     23.68     2.90    -9999
MAWSONB    240511 300  143500-144000   00      23.72  986.1     23.08     0.32    -9999
MAWSONB    240511 300  144000-144500   00      24.12  986.1     23.46     1.96    -9999
MAWSONB    240511 300  144500-145000   00      24.08  986.1     23.42     1.78    -9999
MAWSONB    240511 300  145000-145500   00      23.63  986.2     22.99    -0.08    -9999
MAWSONB    240511 300  145500-150000   00      23.92  986.2     23.28     1.17    -9999
MAWSONB    240511 300  150000-150500   00      24.14  986.2     23.51     2.16    -9999
MAWSONB    240511 300  150500-151000   00      24.21  986.2     23.57     2.43    -9999
MAWSONB    240511 300  151000-151500   00      24.03  986.2     23.39     1.66    -9999
MAWSONB    240511 300  151500-152000   00      24.66  986.2     24.00     4.30    -9999
MAWSONB    240511 300  152000-152500   00      24.16  986.4     23.56     2.37    -9999
MAWSONB    240511 300  152500-153000   00      24.65  986.4     24.02     4.41    -9999
MAWSONB    240511 300  153000-153500   00      24.20  986.0     23.53     2.25    -9999
MAWSONB    240511 300  153500-154000   00      23.95  986.1     23.30     1.24    -9999
MAWSONB    240511 300  154000-154500   00      23.91  986.0     23.25     1.04    -9999
MAWSONB    240511 300  154500-155000   00      23.85  986.3     23.24     1.00    -9999
MAWSONB    240511 300  155000-155500   00      24.35  986.5     23.74     3.17    -9999
MAWSONB    240511 300  155500-160000   00      24.08  986.5     23.49     2.08    -9999
MAWSONB    240511 300  160000-160500   00      24.06  986.7     23.50     2.13    -9999
MAWSONB    240511 300  160500-161000   00      24.01  986.6     23.43     1.83    -9999
MAWSONB    240511 300  161000-161500   00      23.80  986.6     23.23     0.95    -9999
MAWSONB    240511 300  161500-162000   00      23.48  986.6     22.91    -0.43    -9999
MAWSONB    240511 300  162000-162500   00      23.85  986.5     23.26     1.08    -9999
MAWSONB    240511 300  162500-163000   00      24.13  986.5     23.53     2.27    -9999
MAWSONB    240511 300  163000-163500   00      24.23  986.4     23.62     2.66    -9999
MAWSONB    240511 300  163500-164000   00      24.32  986.6     23.74     3.16    -9999
MAWSONB    240511 300  164000-164500   00      24.25  986.7     23.70     2.99    -9999
MAWSONB    240511 300  164500-165000   00      24.35  986.8     23.81     3.46    -9999
MAWSONB    240511 300  165000-165500   00      23.93  986.9     23.41     1.74    -9999
MAWSONB    240511 300  165500-170000   00      23.61  986.8     23.08     0.32    -9999
MAWSONB    240511 3600 170000-180000   00      24.24  986.1     23.58     2.49    -9999
MAWSONB    240511 3600 180000-190000   00      24.00  985.5     23.25     1.04    -9999
MAWSONB    240511 3600 190000-200000   00      24.01  985.9     23.32     1.36    -9999
MAWSONB    240511 3600 200000-210000   00      24.12  985.8     23.42     1.76    -9999
MAWSONB    240511 3600 210000-220000   00      24.05  985.8     23.35     1.47    -9999
MAWSONB    240511 3600 220000-230000   00      23.70  986.3     23.08     0.31    -9999
MAWSONB    240511 3600 230000-240000   00      23.81  986.3     23.20     0.82    -9999
MAWSONB    240512 3600 000000-010000   00      23.96  986.0     23.30     1.24    -9999
MAWSONB    240512 3600 010000-020000   00      24.09  985.9     23.39     1.66    -9999
MAWSONB    240512 3600 020000-030000   00      23.98  985.7     23.27     1.11    -9999
MAWSONB    240512 3600 030000-040000   00      24.36  986.0     23.67     2.87    -9999
MAWSONB    240512 3600 040000-050000   00      24.16  985.8     23.45     1.93    -9999
MAWSONB    240512 3600 050000-060000   00      24.38  985.3     23.58     2.48    -9999
MAWSONB    240512 3600 060000-070000   00      24.50  985.1     23.66     2.82    -9999
MAWSONB    240512 3600 070000-080000   00      24.57  985.0     23.72     3.07    -9999
MAWSONB    240512 3600 080000-090000   00      24.69  985.0     23.83     3.55    -9999
MAWSONB    240512 3600 090000-100000   00      24.72  984.4     23.76     3.26    -9999
MAWSONB    240512 3600 100000-110000   00      24.62  983.9     23.59     2.51    -9999
MAWSONB    240512 3600 110000-120000   00      24.58  983.6     23.49     2.09    -9999
MAWSONB    240512 3600 120000-130000   00      24.86  983.2     23.69     2.96    -9999
MAWSONB    240512 3600 130000-140000   00      24.85  982.9     23.64     2.76    -9999
MAWSONB    240512 3600 140000-150000   00      24.96  982.5     23.66     2.82    -9999
MAWSONB    240512 3600 150000-160000   00      25.15  982.5     23.85     3.66    -9999
MAWSONB    240512 3600 160000-170000   00      25.09  982.6     23.80     3.44    -9999
MAWSONB    240512 3600 170000-180000   00      25.31  982.3     23.97     4.16    -9999
MAWSONB    240512 3600 180000-190000   00      25.26  981.9     23.85     3.66    -9999
MAWSONB    240512 3600 190000-200000   00      25.13  981.8     23.71     3.02    -9999
MAWSONB    240512 3600 200000-210000   00      25.26  981.3     23.75     3.20    -9999
MAWSONB    240512 3600 210000-220000   00      25.55  980.8     23.94     4.05    -9999
MAWSONB    240512 3600 220000-230000   00      25.38  980.4     23.71     3.04    -9999
MAWSONB    240512 3600 230000-240000   00      25.37  980.8     23.77     3.30    -9999
*
COMMENT NM DATA DOWNLOADED FROM NMDB ON 14.5.2024
COMMENT DETRENDING CANNOT BE ROBUSTLY DONE
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-03 09:23:40 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE74/C074MWSB.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
