BAKSAN     LATITUDE    43.28     LONGITUDE     42.69     ALTITUDE    1700 M
BAKSAN     INSTRUMENT   6NM64    NEUTRON MONITOR     
BAKSAN     STANDARD PRESSURE    820     MB     COEFFICIENT   -0.73     % / MB
BAKSAN     PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
BAKSAN     PRE-INCREASE AVERAGE COUNTING RATE    108.66      COUNTS PER SECOND
BAKSAN     TIME INTERVALS    300         3600     
BAKSAN     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
BAKSAN     240511 300  135000-135500   00     108.11  831.8    111.10     2.24    -9999
BAKSAN     240511 300  135500-140000   00     107.15  832.1    110.35     1.55    -9999
BAKSAN     240511 300  140000-140500   00     106.21  832.0    109.28     0.57    -9999
BAKSAN     240511 300  140500-141000   00     108.08  831.9    111.17     2.31    -9999
BAKSAN     240511 300  141000-141500   00     107.44  831.9    110.48     1.68    -9999
BAKSAN     240511 300  141500-142000   00     107.61  831.9    110.68     1.86    -9999
BAKSAN     240511 300  142000-142500   00     107.79  831.9    110.86     2.03    -9999
BAKSAN     240511 300  142500-143000   00     106.66  831.6    109.45     0.72    -9999
BAKSAN     240511 300  143000-143500   00     106.90  831.5    109.59     0.85    -9999
BAKSAN     240511 300  143500-144000   00     107.14  831.4    109.79     1.04    -9999
BAKSAN     240511 300  144000-144500   00     106.42  831.4    109.08     0.39    -9999
BAKSAN     240511 300  144500-145000   00     107.13  831.4    109.76     1.01    -9999
BAKSAN     240511 300  145000-145500   00     106.24  831.3    108.78     0.11    -9999
BAKSAN     240511 300  145500-150000   00     107.77  831.5    110.54     1.73    -9999
BAKSAN     240511 300  150000-150500   00     105.01  831.2    107.47    -1.10    -9999
BAKSAN     240511 300  150500-151000   00     106.32  831.1    108.72     0.05    -9999
BAKSAN     240511 300  151000-151500   00     105.91  831.3    108.47    -0.17    -9999
BAKSAN     240511 300  151500-152000   00     107.81  831.5    110.59     1.77    -9999
BAKSAN     240511 300  152000-152500   00     105.36  831.6    108.16    -0.46    -9999
BAKSAN     240511 300  152500-153000   00     106.81  831.5    109.50     0.77    -9999
BAKSAN     240511 300  153000-153500   00     108.70  831.4    111.38     2.51    -9999
BAKSAN     240511 300  153500-154000   00     104.75  831.6    107.50    -1.07    -9999
BAKSAN     240511 300  154000-154500   00     107.96  831.6    110.79     1.96    -9999
BAKSAN     240511 300  154500-155000   00     106.47  831.8    109.43     0.71    -9999
BAKSAN     240511 300  155000-155500   00     106.41  831.7    109.25     0.54    -9999
BAKSAN     240511 300  155500-160000   00     108.18  831.9    111.25     2.39    -9999
BAKSAN     240511 3600 160000-170000   00     107.60  830.9    109.86     1.10    -9999
BAKSAN     240511 3600 170000-180000   00     108.32  829.8    109.74     0.99    -9999
BAKSAN     240511 3600 180000-190000   00     107.84  829.5    108.99     0.30    -9999
BAKSAN     240511 3600 190000-200000   00     107.38  828.8    108.00    -0.61    -9999
BAKSAN     240511 3600 200000-210000   00     107.82  828.4    108.11    -0.51    -9999
BAKSAN     240511 3600 210000-220000   00     108.79  827.8    108.59    -0.06    -9999
BAKSAN     240511 3600 220000-230000   00     108.24  828.6    108.69     0.03    -9999
BAKSAN     240511 3600 230000-240000   00     109.35  827.9    109.28     0.57    -9999
BAKSAN     240512 3600 000000-010000   00     109.84  827.5    109.44     0.72    -9999
BAKSAN     240512 3600 010000-020000   00     109.74  827.2    109.15     0.45    -9999
BAKSAN     240512 3600 020000-030000   00     109.34  827.6    109.01     0.32    -9999
BAKSAN     240512 3600 030000-040000   00     110.51  827.8    110.33     1.53    -9999
BAKSAN     240512 3600 040000-050000   00     111.00  827.6    110.70     1.88    -9999
BAKSAN     240512 3600 050000-060000   00     111.74  827.6    111.38     2.51    -9999
BAKSAN     240512 3600 060000-070000   00     111.49  827.7    111.23     2.37    -9999
BAKSAN     240512 3600 070000-080000   00     111.41  827.7    111.17     2.31    -9999
BAKSAN     240512 3600 080000-090000   00     111.41  827.8    111.24     2.37    -9999
BAKSAN     240512 3600 090000-100000   00     111.08  827.8    110.88     2.04    -9999
BAKSAN     240512 3600 100000-110000   00     110.39  827.6    110.11     1.34    -9999
BAKSAN     240512 3600 110000-120000   00     110.89  827.8    110.69     1.87    -9999
BAKSAN     240512 3600 120000-130000   00     109.77  828.3    110.03     1.26    -9999
BAKSAN     240512 3600 130000-140000   00     108.48  828.9    109.22     0.52    -9999
BAKSAN     240512 3600 140000-150000   00     108.22  829.1    109.09     0.40    -9999
BAKSAN     240512 3600 150000-160000   00     108.55  829.5    109.69     0.95    -9999
BAKSAN     240512 3600 160000-170000   00     107.76  829.9    109.23     0.52    -9999
BAKSAN     240512 3600 170000-180000   00     107.01  830.2    108.73     0.07    -9999
BAKSAN     240512 3600 180000-190000   00     107.18  830.3    108.97     0.28    -9999
BAKSAN     240512 3600 190000-200000   00     107.77  830.3    109.57     0.83    -9999
BAKSAN     240512 3600 200000-210000   00     107.90  830.2    109.58     0.85    -9999
BAKSAN     240512 3600 210000-220000   00     109.02  829.7    110.32     1.53    -9999
BAKSAN     240512 3600 220000-230000   00     109.96  829.5    111.13     2.27    -9999
BAKSAN     240512 3600 230000-240000   00     110.54  829.4    111.65     2.75    -9999
*
COMMENT NM DATA DOWNLOADED FROM NMDB ON 14.5.2024
COMMENT DETRENDING CANNOT BE ROBUSTLY DONE
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-03 09:23:40 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE74/C074BKSN.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
