YAKUTSK    LATITUDE    62.02     LONGITUDE     129.72    ALTITUDE    105 M
YAKUTSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
YAKUTSK    STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.72     % / MB
YAKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
YAKUTSK    PRE-INCREASE AVERAGE COUNTING RATE    183.29      COUNTS PER SECOND
YAKUTSK    TIME INTERVALS    300         3600     
YAKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
YAKUTSK    240511 300  043500-044000   00     186.00 1006.6    190.83     4.11     2.54
YAKUTSK    240511 300  044000-044500   00     184.21 1006.5    188.91     3.06     1.50
YAKUTSK    240511 300  044500-045000   00     187.01 1006.6    191.87     4.68     3.10
YAKUTSK    240511 300  045000-045500   00     184.99 1006.6    189.79     3.54     1.96
YAKUTSK    240511 300  045500-050000   00     185.79 1006.6    190.64     4.01     2.42
YAKUTSK    240511 300  050000-050500   00     184.35 1006.6    189.09     3.16     1.58
YAKUTSK    240511 300  050500-051000   00     183.60 1006.6    188.32     2.74     1.16
YAKUTSK    240511 300  051000-051500   00     187.23 1006.5    191.95     4.72     3.12
YAKUTSK    240511 300  051500-052000   00     185.76 1006.4    190.37     3.86     2.27
YAKUTSK    240511 300  052000-052500   00     184.67 1006.4    189.20     3.22     1.63
YAKUTSK    240511 300  052500-053000   00     185.01 1006.3    189.47     3.37     1.77
YAKUTSK    240511 300  053000-053500   00     186.91 1006.3    191.36     4.40     2.79
YAKUTSK    240511 300  053500-054000   00     185.47 1006.2    189.73     3.51     1.91
YAKUTSK    240511 300  054000-054500   00     187.71 1006.2    192.00     4.75     3.14
YAKUTSK    240511 300  054500-055000   00     186.80 1006.1    191.04     4.23     2.62
YAKUTSK    240511 300  055000-055500   00     186.27 1006.1    190.40     3.88     2.27
YAKUTSK    240511 300  055500-060000   00     185.89 1006.0    189.97     3.64     2.04
YAKUTSK    240511 300  060000-060500   00     185.47 1006.0    189.49     3.38     1.78
YAKUTSK    240511 300  060500-061000   00     182.00 1006.0    185.92     1.43    -0.16
YAKUTSK    240511 300  061000-061500   00     182.88 1006.0    186.77     1.90     0.31
YAKUTSK    240511 300  061500-062000   00     181.31 1005.9    185.07     0.97    -0.61
YAKUTSK    240511 300  062000-062500   00     183.39 1005.8    187.12     2.09     0.50
YAKUTSK    240511 300  062500-063000   00     186.43 1005.8    190.13     3.73     2.14
YAKUTSK    240511 300  063000-063500   00     183.81 1005.7    187.41     2.25     0.66
YAKUTSK    240511 300  063500-064000   00     183.79 1005.7    187.31     2.19     0.61
YAKUTSK    240511 300  064000-064500   00     183.49 1005.6    186.96     2.00     0.43
YAKUTSK    240511 300  064500-065000   00     185.17 1005.6    188.61     2.90     1.33
YAKUTSK    240511 300  065000-065500   00     185.25 1005.5    188.61     2.90     1.33
YAKUTSK    240511 300  065500-070000   00     184.35 1005.5    187.63     2.36     0.80
YAKUTSK    240511 300  070000-070500   00     183.92 1005.4    187.12     2.09     0.53
YAKUTSK    240511 300  070500-071000   00     183.79 1005.4    186.96     2.00     0.45
YAKUTSK    240511 300  071000-071500   00     183.17 1005.4    186.24     1.61     0.07
YAKUTSK    240511 300  071500-072000   00     181.97 1005.3    184.91     0.88    -0.65
YAKUTSK    240511 300  072000-072500   00     182.85 1005.2    185.79     1.36    -0.17
YAKUTSK    240511 300  072500-073000   00     183.87 1005.3    186.80     1.91     0.39
YAKUTSK    240511 300  073000-073500   00     182.93 1005.2    185.87     1.40    -0.11
YAKUTSK    240511 300  073500-074000   00     185.15 1005.2    188.08     2.61     1.10
YAKUTSK    240511 300  074000-074500   00     182.91 1005.3    185.84     1.39    -0.11
YAKUTSK    240511 300  074500-075000   00     183.68 1005.2    186.61     1.81     0.32
YAKUTSK    240511 300  075000-075500   00     183.97 1005.2    186.85     1.94     0.46
YAKUTSK    240511 300  075500-080000   00     183.81 1005.1    186.59     1.80     0.32
YAKUTSK    240511 300  080000-080500   00     184.59 1005.1    187.36     2.22     0.75
YAKUTSK    240511 300  080500-081000   00     184.64 1005.1    187.41     2.25     0.79
YAKUTSK    240511 300  081000-081500   00     184.35 1005.1    187.12     2.09     0.64
YAKUTSK    240511 300  081500-082000   00     187.65 1005.1    190.45     3.91     2.46
YAKUTSK    240511 300  082000-082500   00     184.03 1005.0    186.69     1.86     0.43
YAKUTSK    240511 300  082500-083000   00     183.81 1005.0    186.48     1.74     0.33
YAKUTSK    240511 300  083000-083500   00     181.84 1005.0    184.43     0.62    -0.77
YAKUTSK    240511 300  083500-084000   00     183.28 1005.0    185.92     1.43     0.05
YAKUTSK    240511 300  084000-084500   00     184.43 1005.0    187.07     2.06     0.69
YAKUTSK    240511 300  084500-085000   00     183.65 1005.0    186.32     1.65     0.29
YAKUTSK    240511 300  085000-085500   00     184.56 1005.0    187.23     2.15     0.80
YAKUTSK    240511 300  085500-090000   00     181.89 1005.0    184.51     0.66    -0.66
YAKUTSK    240511 300  090000-090500   00     182.83 1005.0    185.41     1.16    -0.16
YAKUTSK    240511 300  090500-091000   00     183.79 1005.0    186.40     1.70     0.39
YAKUTSK    240511 300  091000-091500   00     183.04 1005.0    185.65     1.29     0.00
YAKUTSK    240511 300  091500-092000   00     183.39 1005.0    185.97     1.46     0.19
YAKUTSK    240511 300  092000-092500   00     182.72 1005.0    185.33     1.11    -0.14
YAKUTSK    240511 300  092500-093000   00     181.84 1005.0    184.45     0.63    -0.60
YAKUTSK    240511 300  093000-093500   00     183.68 1005.0    186.24     1.61     0.38
YAKUTSK    240511 300  093500-094000   00     182.80 1004.9    185.25     1.07    -0.13
YAKUTSK    240511 300  094000-094500   00     185.04 1004.9    187.49     2.29     1.10
