NAIN       LATITUDE    56.6      LONGITUDE     -61.7     ALTITUDE    0 M
NAIN       INSTRUMENT   18NM64    NEUTRON MONITOR     	
NAIN       STANDARD PRESSURE    1013.3  MB     COEFFICIENT   -0.72     % / MB
NAIN       PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
NAIN       PRE-INCREASE AVERAGE COUNTING RATE    174.35      COUNTS PER SECOND
NAIN       TIME INTERVALS    300         3600     
NAIN       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
NAIN       240511 300  142500-143000   00     181.07 1010.0    177.87     2.02    -9999
NAIN       240511 300  143000-143500   00     179.72 1010.0    176.53     1.25    -9999
NAIN       240511 300  143500-144000   00     181.82 1009.9    178.54     2.40    -9999
NAIN       240511 300  144000-144500   00     181.53 1009.9    178.22     2.22    -9999
NAIN       240511 300  144500-145000   00     180.85 1009.9    177.56     1.84    -9999
NAIN       240511 300  145000-145500   00     182.07 1009.9    178.72     2.51    -9999
NAIN       240511 300  145500-150000   00     181.21 1009.8    177.81     1.99    -9999
NAIN       240511 300  150000-150500   00     182.70 1009.8    179.26     2.82    -9999
NAIN       240511 300  150500-151000   00     183.18 1009.8    179.68     3.06    -9999
NAIN       240511 300  151000-151500   00     181.87 1009.8    178.38     2.31    -9999
NAIN       240511 300  151500-152000   00     182.16 1009.8    178.66     2.47    -9999
NAIN       240511 300  152000-152500   00     183.23 1009.8    179.70     3.07    -9999
NAIN       240511 300  152500-153000   00     183.18 1009.8    179.66     3.05    -9999
NAIN       240511 300  153000-153500   00     181.56 1009.8    178.11     2.16    -9999
NAIN       240511 300  153500-154000   00     181.86 1009.8    178.41     2.33    -9999
NAIN       240511 300  154000-154500   00     182.53 1009.8    179.04     2.69    -9999
NAIN       240511 300  154500-155000   00     181.73 1009.8    178.29     2.26    -9999
NAIN       240511 300  155000-155500   00     183.44 1009.8    179.95     3.21    -9999
NAIN       240511 300  155500-160000   00     183.09 1009.7    179.53     2.97    -9999
NAIN       240511 3600 160000-170000   00     183.00 1009.5    179.16     2.76    -9999
NAIN       240511 3600 170000-180000   00     184.03 1009.2    179.70     3.07    -9999
NAIN       240511 3600 180000-190000   00     184.36 1008.9    179.65     3.04    -9999
NAIN       240511 3600 190000-200000   00     183.93 1008.7    178.94     2.64    -9999
NAIN       240511 3600 200000-210000   00     185.93 1008.8    180.98     3.81    -9999
NAIN       240511 3600 210000-220000   00     184.62 1008.9    179.96     3.22    -9999
NAIN       240511 3600 220000-230000   00     184.39 1009.0    179.86     3.16    -9999
NAIN       240511 3600 230000-240000   00     182.79 1009.4    178.73     2.51    -9999
NAIN       240512 3600 000000-010000   00     182.49 1009.7    178.91     2.61    -9999
NAIN       240512 3600 010000-020000   00     181.56 1010.0    178.36     2.30    -9999
NAIN       240512 3600 020000-030000   00     181.56 1010.2    178.59     2.43    -9999
NAIN       240512 3600 030000-040000   00     182.35 1010.1    179.30     2.84    -9999
NAIN       240512 3600 040000-050000   00     183.10 1010.1    179.96     3.22    -9999
NAIN       240512 3600 050000-060000   00     182.53 1010.3    179.71     3.08    -9999
NAIN       240512 3600 060000-070000   00     182.44 1010.4    179.82     3.14    -9999
NAIN       240512 3600 070000-080000   00     182.73 1010.8    180.61     3.59    -9999
NAIN       240512 3600 080000-090000   00     183.29 1011.1    181.60     4.16    -9999
NAIN       240512 3600 090000-100000   00     181.21 1011.5    180.00     3.24    -9999
NAIN       240512 3600 100000-110000   00     180.90 1011.9    180.22     3.37    -9999
NAIN       240512 3600 110000-120000   00     180.11 1011.9    179.55     2.99    -9999
NAIN       240512 3600 120000-130000   00     180.67 1011.9    180.00     3.24    -9999
NAIN       240512 3600 130000-140000   00     181.05 1011.7    180.11     3.31    -9999
NAIN       240512 3600 140000-150000   00     181.75 1011.5    180.57     3.57    -9999
NAIN       240512 3600 150000-160000   00     182.77 1011.2    181.16     3.91    -9999
NAIN       240512 3600 160000-170000   00     184.87 1010.9    182.82     4.86    -9999
NAIN       240512 3600 170000-180000   00     185.96 1010.6    183.50     5.25    -9999
NAIN       240512 3600 180000-190000   00     185.98 1010.4    183.26     5.11    -9999
NAIN       240512 3600 190000-200000   00     187.20 1010.1    183.99     5.53    -9999
NAIN       240512 3600 200000-210000   00     185.49 1010.0    182.19     4.50    -9999
NAIN       240512 3600 210000-220000   00     185.96 1009.8    182.44     4.64    -9999
NAIN       240512 3600 220000-230000   00     186.57 1009.9    183.14     5.04    -9999
NAIN       240512 3600 230000-240000   00     185.55 1010.0    182.29     4.55    -9999
*
COMMENT NM DATA DOWNLOADED FROM NMDB ON 14.5.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-03 09:23:40 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE74/C074NAIN_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
