DOURBES    LATITUDE    50.1      LONGITUDE     4.6       ALTITUDE    225 M
DOURBES    INSTRUMENT   9-NM-64  NEUTRON MONITOR	
DOURBES    STANDARD PRESSURE    -999    MB     COEFFICIENT   -999      % / MB
DOURBES    PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
DOURBES    PRE-INCREASE AVERAGE COUNTING RATE     92.99      COUNTS PER SECOND
DOURBES    TIME INTERVALS    300         3600     
DOURBES    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
DOURBES    240511 300  085500-090000   00      88.15  994.7     93.61     0.66    -9999
DOURBES    240511 300  090000-090500   00      88.56  994.7     94.02     1.10    -9999
DOURBES    240511 300  090500-091000   00      87.96  994.7     93.40     0.44    -9999
DOURBES    240511 300  091000-091500   00      89.37  994.7     94.88     2.03    -9999
DOURBES    240511 300  091500-092000   00      88.31  994.6     93.72     0.78    -9999
DOURBES    240511 300  092000-092500   00      87.57  994.6     92.89    -0.11    -9999
DOURBES    240511 300  092500-093000   00      88.22  994.5     93.54     0.59    -9999
DOURBES    240511 300  093000-093500   00      88.05  994.4     93.32     0.35    -9999
DOURBES    240511 300  093500-094000   00      90.14  994.4     95.48     2.67    -9999
DOURBES    240511 300  094000-094500   00      88.41  994.3     93.63     0.68    -9999
DOURBES    240511 300  094500-095000   00      86.85  994.3     91.97    -1.11    -9999
DOURBES    240511 300  095000-095500   00      88.98  994.3     94.21     1.31    -9999
DOURBES    240511 300  095500-100000   00      89.60  994.3     94.89     2.04    -9999
DOURBES    240511 300  100000-100500   00      88.52  994.4     93.76     0.83    -9999
DOURBES    240511 300  100500-101000   00      91.89  994.3     97.31     4.65    -9999
DOURBES    240511 300  101000-101500   00      88.65  994.3     93.84     0.91    -9999
DOURBES    240511 300  101500-102000   00      88.68  994.2     93.81     0.88    -9999
DOURBES    240511 300  102000-102500   00      89.84  994.2     95.02     2.18    -9999
DOURBES    240511 300  102500-103000   00      88.17  994.1     93.22     0.24    -9999
DOURBES    240511 300  103000-103500   00      87.53  994.1     92.53    -0.50    -9999
DOURBES    240511 300  103500-104000   00      92.03  994.1     97.27     4.60    -9999
DOURBES    240511 300  104000-104500   00      89.18  994.0     94.21     1.31    -9999
DOURBES    240511 300  104500-105000   00      88.94  993.9     93.92     1.00    -9999
DOURBES    240511 300  105000-105500   00      89.35  993.9     94.32     1.43    -9999
DOURBES    240511 300  105500-110000   00      91.10  993.8     96.12     3.36    -9999
DOURBES    240511 300  110000-110500   00      89.83  993.8     94.75     1.89    -9999
DOURBES    240511 300  110500-111000   00      89.73  993.7     94.61     1.74    -9999
DOURBES    240511 300  111000-111500   00      90.85  993.7     95.76     2.98    -9999
