JUNGFRAU   LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3475 M
JUNGFRAU   INSTRUMENT   3-NM-64  NEUTRON MONITOR	
JUNGFRAU   STANDARD PRESSURE    642.5   MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU   PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
JUNGFRAU   PRE-INCREASE AVERAGE COUNTING RATE    139.99      COUNTS PER SECOND
JUNGFRAU   TIME INTERVALS    300         3600     
JUNGFRAU   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU   240511 300  074500-075000   00     140.43  661.5    138.85    -0.82    -9999
JUNGFRAU   240511 300  075000-075500   00     141.80  661.5    140.21     0.15    -9999
JUNGFRAU   240511 300  075500-080000   00     141.39  661.5    139.74    -0.18    -9999
JUNGFRAU   240511 300  080000-080500   00     141.30  661.5    139.80    -0.14    -9999
JUNGFRAU   240511 300  080500-081000   00     142.52  661.6    140.97     0.70    -9999
JUNGFRAU   240511 300  081000-081500   00     142.64  661.6    141.23     0.88    -9999
JUNGFRAU   240511 300  081500-082000   00     143.43  661.7    142.03     1.46    -9999
JUNGFRAU   240511 300  082000-082500   00     143.74  661.7    142.29     1.64    -9999
JUNGFRAU   240511 300  082500-083000   00     142.44  661.8    141.13     0.81    -9999
JUNGFRAU   240511 300  083000-083500   00     141.18  661.8    139.82    -0.13    -9999
JUNGFRAU   240511 300  083500-084000   00     142.37  661.8    141.11     0.80    -9999
JUNGFRAU   240511 300  084000-084500   00     141.59  661.8    140.32     0.23    -9999
JUNGFRAU   240511 300  084500-085000   00     141.78  661.8    140.54     0.39    -9999
JUNGFRAU   240511 300  085000-085500   00     143.01  661.8    141.66     1.19    -9999
JUNGFRAU   240511 300  085500-090000   00     143.06  661.8    141.75     1.25    -9999
JUNGFRAU   240511 300  090000-090500   00     142.08  661.9    140.83     0.60    -9999
JUNGFRAU   240511 300  090500-091000   00     140.05  661.9    138.90    -0.78    -9999
JUNGFRAU   240511 300  091000-091500   00     137.99  661.9    136.94    -2.18    -9999
JUNGFRAU   240511 300  091500-092000   00     140.29  661.9    139.20    -0.57    -9999
JUNGFRAU   240511 300  092000-092500   00     139.29  661.9    138.15    -1.32    -9999
JUNGFRAU   240511 300  092500-093000   00     138.36  661.9    137.20    -2.00    -9999
JUNGFRAU   240511 300  093000-093500   00     140.87  661.9    139.75    -0.18    -9999
JUNGFRAU   240511 300  093500-094000   00     142.40  661.9    141.21     0.87    -9999
JUNGFRAU   240511 300  094000-094500   00     141.28  661.9    140.09     0.07    -9999
JUNGFRAU   240511 300  094500-095000   00     140.61  661.9    139.33    -0.48    -9999
JUNGFRAU   240511 300  095000-095500   00     141.23  662.0    140.16     0.12    -9999
JUNGFRAU   240511 300  095500-100000   00     143.11  662.0    142.06     1.48    -9999
JUNGFRAU   240511 300  100000-100500   00     142.75  662.0    141.65     1.18    -9999
JUNGFRAU   240511 300  100500-101000   00     140.64  662.0    139.60    -0.28    -9999
JUNGFRAU   240511 300  101000-101500   00     142.01  662.0    141.03     0.74    -9999
JUNGFRAU   240511 300  101500-102000   00     141.91  662.0    140.84     0.61    -9999
JUNGFRAU   240511 300  102000-102500   00     141.16  662.0    140.07     0.05    -9999
JUNGFRAU   240511 300  102500-103000   00     143.41  662.0    142.26     1.62    -9999
JUNGFRAU   240511 300  103000-103500   00     143.60  662.0    142.48     1.78    -9999
JUNGFRAU   240511 300  103500-104000   00     140.98  662.0    139.94    -0.04    -9999
JUNGFRAU   240511 300  104000-104500   00     140.49  662.0    139.49    -0.36    -9999
JUNGFRAU   240511 300  104500-105000   00     140.57  662.0    139.56    -0.31    -9999
JUNGFRAU   240511 300  105000-105500   00     141.07  662.0    139.98    -0.01    -9999
JUNGFRAU   240511 300  105500-110000   00     142.34  662.0    141.27     0.91    -9999
JUNGFRAU   240511 300  110000-110500   00     142.75  662.1    141.71     1.23    -9999
JUNGFRAU   240511 300  110500-111000   00     142.10  662.0    141.07     0.77    -9999
JUNGFRAU   240511 300  111000-111500   00     143.22  662.0    142.16     1.54    -9999
JUNGFRAU   240511 300  111500-112000   00     141.75  662.0    140.64     0.46    -9999
