IRKUTSK2   LATITUDE    52.28     LONGITUDE     104.02    ALTITUDE    2000 M
IRKUTSK2   INSTRUMENT   12NM64    NEUTRON MONITOR     
IRKUTSK2   STANDARD PRESSURE    800     MB     COEFFICIENT   -0.713    % / MB
IRKUTSK2   PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
IRKUTSK2   PRE-INCREASE AVERAGE COUNTING RATE  4,715.65      COUNTS PER SECOND
IRKUTSK2   TIME INTERVALS    300         3600     
IRKUTSK2   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
IRKUTSK2   240511 300  074500-075000   00    -999.00  802.1   4778.32     1.33    -9999
IRKUTSK2   240511 300  075000-075500   00    -999.00  802.0   4807.55     1.95    -9999
IRKUTSK2   240511 300  075500-080000   00    -999.00  802.0   4763.32     1.01    -9999
IRKUTSK2   240511 300  080000-080500   00    -999.00  802.0   4825.40     2.33    -9999
IRKUTSK2   240511 300  080500-081000   00    -999.00  802.0   4802.38     1.84    -9999
IRKUTSK2   240511 300  081000-081500   00    -999.00  802.1   4827.21     2.37    -9999
IRKUTSK2   240511 300  081500-082000   00    -999.00  802.1   4890.33     3.70    -9999
IRKUTSK2   240511 300  082000-082500   00    -999.00  802.1   4853.08     2.91    -9999
IRKUTSK2   240511 300  082500-083000   00    -999.00  802.1   4804.45     1.88    -9999
IRKUTSK2   240511 300  083000-083500   00    -999.00  802.0   4791.26     1.60    -9999
IRKUTSK2   240511 300  083500-084000   00    -999.00  802.1   4745.47     0.63    -9999
IRKUTSK2   240511 300  084000-084500   00    -999.00  802.1   4735.13     0.41    -9999
IRKUTSK2   240511 300  084500-085000   00    -999.00  802.0   4677.70    -0.80    -9999
IRKUTSK2   240511 300  085000-085500   00    -999.00  802.1   4735.64     0.42    -9999
IRKUTSK2   240511 300  085500-090000   00    -999.00  802.1   4733.83     0.39    -9999
IRKUTSK2   240511 300  090000-090500   00    -999.00  802.1   4744.96     0.62    -9999
IRKUTSK2   240511 300  090500-091000   00    -999.00  802.1   4726.07     0.22    -9999
IRKUTSK2   240511 300  091000-091500   00    -999.00  802.2   4685.98    -0.63    -9999
IRKUTSK2   240511 300  091500-092000   00    -999.00  802.2   4777.55     1.31    -9999
IRKUTSK2   240511 300  092000-092500   00    -999.00  802.1   4766.68     1.08    -9999
IRKUTSK2   240511 300  092500-093000   00    -999.00  802.1   4747.28     0.67    -9999
IRKUTSK2   240511 300  093000-093500   00    -999.00  802.1   4792.03     1.62    -9999
IRKUTSK2   240511 300  093500-094000   00    -999.00  802.1   4800.83     1.81    -9999
IRKUTSK2   240511 300  094000-094500   00    -999.00  802.1   4795.91     1.70    -9999
IRKUTSK2   240511 300  094500-095000   00    -999.00  802.2   4833.42     2.50    -9999
IRKUTSK2   240511 300  095000-095500   00    -999.00  802.2   4848.42     2.82    -9999
IRKUTSK2   240511 300  095500-100000   00    -999.00  802.2   4792.29     1.63    -9999
IRKUTSK2   240511 300  100000-100500   00    -999.00  802.2   4853.60     2.93    -9999
IRKUTSK2   240511 300  100500-101000   00    -999.00  802.1   4763.58     1.02    -9999
IRKUTSK2   240511 300  101000-101500   00    -999.00  802.2   4800.31     1.80    -9999
IRKUTSK2   240511 300  101500-102000   00    -999.00  802.2   4810.14     2.00    -9999
IRKUTSK2   240511 300  102000-102500   00    -999.00  802.3   4809.88     2.00    -9999
IRKUTSK2   240511 300  102500-103000   00    -999.00  802.2   4783.76     1.44    -9999
IRKUTSK2   240511 300  103000-103500   00    -999.00  802.3   4801.60     1.82    -9999
IRKUTSK2   240511 300  103500-104000   00    -999.00  802.3   4853.85     2.93    -9999
IRKUTSK2   240511 300  104000-104500   00    -999.00  802.5   4777.29     1.31    -9999
IRKUTSK2   240511 300  104500-105000   00    -999.00  802.6   4848.42     2.82    -9999
IRKUTSK2   240511 300  105000-105500   00    -999.00  802.6   4742.63     0.57    -9999
IRKUTSK2   240511 300  105500-110000   00    -999.00  802.6   4795.65     1.70    -9999
IRKUTSK2   240511 300  110000-110500   00    -999.00  802.6   4811.17     2.03    -9999
IRKUTSK2   240511 300  110500-111000   00    -999.00  802.6   4800.83     1.81    -9999
IRKUTSK2   240511 300  111000-111500   00    -999.00  802.6   4734.35     0.40    -9999
IRKUTSK2   240511 300  111500-112000   00    -999.00  802.7   4739.52     0.51    -9999
IRKUTSK2   240511 300  112000-112500   00    -999.00  802.6   4740.82     0.53    -9999
IRKUTSK2   240511 300  112500-113000   00    -999.00  802.6   4748.84     0.70    -9999
IRKUTSK2   240511 300  113000-113500   00    -999.00  802.6   4760.22     0.95    -9999
IRKUTSK2   240511 300  113500-114000   00    -999.00  802.6   4721.42     0.12    -9999
IRKUTSK2   240511 300  114000-114500   00    -999.00  802.6   4710.29    -0.11    -9999
IRKUTSK2   240511 300  114500-115000   00    -999.00  802.5   4724.26     0.18    -9999
IRKUTSK2   240511 300  115000-115500   00    -999.00  802.5   4708.74    -0.15    -9999
IRKUTSK2   240511 300  115500-120000   00    -999.00  802.5   4764.36     1.03    -9999
IRKUTSK2   240511 300  120000-120500   00    -999.00  802.5   4743.15     0.58    -9999
IRKUTSK2   240511 300  120500-121000   00    -999.00  802.5   4740.82     0.53    -9999
IRKUTSK2   240511 300  121000-121500   00    -999.00  802.5   4743.92     0.60    -9999
IRKUTSK2   240511 300  121500-122000   00    -999.00  802.5   4753.49     0.80    -9999
IRKUTSK2   240511 300  122000-122500   00    -999.00  802.5   4760.48     0.95    -9999
IRKUTSK2   240511 300  122500-123000   00    -999.00  802.6   4730.99     0.33    -9999
IRKUTSK2   240511 300  123000-123500   00    -999.00  802.5   4757.63     0.89    -9999
IRKUTSK2   240511 300  123500-124000   00    -999.00  802.5   4735.13     0.41    -9999
IRKUTSK2   240511 300  124000-124500   00    -999.00  802.4   4774.96     1.26    -9999
IRKUTSK2   240511 300  124500-125000   00    -999.00  802.4   4754.79     0.83    -9999
IRKUTSK2   240511 300  125000-125500   00    -999.00  802.4   4762.03     0.98    -9999
IRKUTSK2   240511 300  125500-130000   00    -999.00  802.4   4704.86    -0.23    -9999
IRKUTSK2   240511 300  130000-130500   00    -999.00  802.5   4716.50     0.02    -9999
IRKUTSK2   240511 300  130500-131000   00    -999.00  802.5   4721.16     0.12    -9999
IRKUTSK2   240511 300  131000-131500   00    -999.00  802.6   4692.19    -0.50    -9999
IRKUTSK2   240511 300  131500-132000   00    -999.00  802.7   4732.28     0.35    -9999
IRKUTSK2   240511 300  132000-132500   00    -999.00  802.7   4690.38    -0.54    -9999
IRKUTSK2   240511 300  132500-133000   00    -999.00  802.7   4718.05     0.05    -9999
IRKUTSK2   240511 300  133000-133500   00    -999.00  802.7   4716.76     0.02    -9999
IRKUTSK2   240511 300  133500-134000   00    -999.00  802.7   4682.36    -0.71    -9999
IRKUTSK2   240511 300  134000-134500   00    -999.00  802.7   4708.74    -0.15    -9999
IRKUTSK2   240511 300  134500-135000   00    -999.00  802.8   4698.14    -0.37    -9999
IRKUTSK2   240511 300  135000-135500   00    -999.00  802.8   4720.38     0.10    -9999
IRKUTSK2   240511 300  135500-140000   00    -999.00  802.8   4724.26     0.18    -9999
IRKUTSK2   240511 300  140000-140500   00    -999.00  802.8   4716.50     0.02    -9999
IRKUTSK2   240511 300  140500-141000   00    -999.00  802.8   4712.62    -0.06    -9999
IRKUTSK2   240511 300  141000-141500   00    -999.00  802.7   4702.53    -0.28    -9999
IRKUTSK2   240511 300  141500-142000   00    -999.00  802.7   4707.19    -0.18    -9999
IRKUTSK2   240511 300  142000-142500   00    -999.00  802.7   4688.05    -0.59    -9999
IRKUTSK2   240511 300  142500-143000   00    -999.00  802.7   4690.89    -0.53    -9999
IRKUTSK2   240511 300  143000-143500   00    -999.00  802.7   4670.98    -0.95    -9999
IRKUTSK2   240511 300  143500-144000   00    -999.00  802.7   4649.77    -1.40    -9999
IRKUTSK2   240511 300  144000-144500   00    -999.00  802.7   4661.41    -1.15    -9999
IRKUTSK2   240511 300  144500-145000   00    -999.00  802.6   4709.00    -0.14    -9999
IRKUTSK2   240511 300  145000-145500   00    -999.00  802.6   4663.74    -1.10    -9999
IRKUTSK2   240511 300  145500-150000   00    -999.00  802.6   4624.94    -1.92    -9999
IRKUTSK2   240511 300  150000-150500   00    -999.00  802.6   4713.66    -0.04    -9999
IRKUTSK2   240511 300  150500-151000   00    -999.00  802.5   4654.94    -1.29    -9999
