LOMNICKY   LATITUDE    49.2      LONGITUDE     20.22     ALTITUDE    2634 M
LOMNICKY   INSTRUMENT   8-NM-64  NEUTRON MONITOR	
LOMNICKY   STANDARD PRESSURE    733.3   MB     COEFFICIENT   -0.72     % / MB
LOMNICKY   PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
LOMNICKY   PRE-INCREASE AVERAGE COUNTING RATE    409.33      COUNTS PER SECOND
LOMNICKY   TIME INTERVALS    300         3600     
LOMNICKY   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
LOMNICKY   241122 300  003500-004000   00     480.75  709.8    406.56    -0.68     0.93
LOMNICKY   241122 300  004000-004500   00     476.00  709.6    401.88    -1.82    -0.20
LOMNICKY   241122 300  004500-005000   00     476.32  709.6    402.36    -1.70    -0.06
LOMNICKY   241122 300  005000-005500   00     475.01  709.7    401.56    -1.90    -0.24
LOMNICKY   241122 300  005500-010000   00     475.90  709.7    402.19    -1.75    -0.07
LOMNICKY   241122 300  010000-010500   00     478.09  709.9    404.68    -1.14     0.55
LOMNICKY   241122 300  010500-011000   00     476.47  709.8    402.88    -1.58     0.13
LOMNICKY   241122 300  011000-011500   00     476.30  709.8    402.89    -1.57     0.15
LOMNICKY   241122 300  011500-012000   00     479.03  709.5    404.27    -1.24     0.50
LOMNICKY   241122 300  012000-012500   00     479.40  709.5    404.43    -1.20     0.56
LOMNICKY   241122 300  012500-013000   00     471.22  709.9    398.74    -2.59    -0.82
LOMNICKY   241122 300  013000-013500   00     475.94  709.8    402.41    -1.69     0.10
LOMNICKY   241122 300  013500-014000   00     474.74  709.8    401.37    -1.95    -0.14
LOMNICKY   241122 300  014000-014500   00     475.55  709.4    401.05    -2.02    -0.20
LOMNICKY   241122 300  014500-015000   00     475.95  709.6    401.80    -1.84     0.00
LOMNICKY   241122 300  015000-015500   00     475.84  709.6    401.71    -1.86    -0.01
LOMNICKY   241122 300  015500-020000   00     478.70  709.9    405.24    -1.00     0.87
LOMNICKY   241122 3600 020000-030000   00     474.70  710.0    401.89    -1.82    -9999
LOMNICKY   241122 3600 030000-040000   00     471.85  710.6    401.37    -1.95    -9999
LOMNICKY   241122 3600 040000-050000   00     472.08  710.8    402.18    -1.75    -9999
LOMNICKY   241122 3600 050000-060000   00     470.27  711.8    403.45    -1.44    -9999
LOMNICKY   241122 3600 060000-070000   00     469.24  712.6    404.86    -1.09    -9999
LOMNICKY   241122 3600 070000-080000   00     467.95  713.3    405.82    -0.86    -9999
LOMNICKY   241122 3600 080000-090000   00     467.09  713.5    405.51    -0.93    -9999
LOMNICKY   241122 3600 090000-100000   00     467.82  713.5    406.30    -0.74    -9999
LOMNICKY   241122 3600 100000-110000   00     467.92  713.4    405.95    -0.83    -9999
LOMNICKY   241122 3600 110000-120000   00     467.11  713.8    406.54    -0.68    -9999
LOMNICKY   241122 3600 120000-130000   00     469.31  713.9    408.71    -0.15    -9999
LOMNICKY   241122 3600 130000-140000   00     467.95  714.6    409.55     0.05    -9999
LOMNICKY   241122 3600 140000-150000   00     467.81  715.0    410.73     0.34    -9999
LOMNICKY   241122 3600 150000-160000   00     466.76  715.9    412.26     0.72    -9999
LOMNICKY   241122 3600 160000-170000   00     467.20  715.9    412.84     0.86    -9999
LOMNICKY   241122 3600 170000-180000   00     466.43  716.4    413.44     1.00    -9999
LOMNICKY   241122 3600 180000-190000   00     464.64  716.6    412.44     0.76    -9999
LOMNICKY   241122 3600 190000-200000   00     462.06  716.8    410.70     0.33    -9999
LOMNICKY   241122 3600 200000-210000   00     459.94  717.2    410.07     0.18    -9999
LOMNICKY   241122 3600 210000-220000   00     456.88  717.6    408.48    -0.21    -9999
LOMNICKY   241122 3600 220000-230000   00     455.09  717.2    405.63    -0.90    -9999
LOMNICKY   241122 3600 230000-240000   00     453.51  718.0    406.64    -0.66    -9999
*
COMMENT DATA SOURCE: NMDB | DOWNLOADED ON 27.11.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-11 16:21:29 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE76/C076LMKS_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
