SOUTH-POLE LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOUTH-POLE INSTRUMENT   3NM64    NEUTRON MONITOR     	
SOUTH-POLE STANDARD PRESSURE    680     MB     COEFFICIENT   -0.74     % / MB
SOUTH-POLE PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
SOUTH-POLE PRE-INCREASE AVERAGE COUNTING RATE    252.85      COUNTS PER SECOND
SOUTH-POLE TIME INTERVALS    300         3600     
SOUTH-POLE SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
SOUTH-POLE 241122 300  010000-010500   00     256.87  679.4    256.08     1.28     1.28
SOUTH-POLE 241122 300  010500-011000   00     255.55  679.4    254.82     0.78     0.78
SOUTH-POLE 241122 300  011000-011500   00     254.01  679.4    253.30     0.18     0.18
SOUTH-POLE 241122 300  011500-012000   00     254.31  679.4    253.64     0.31     0.31
SOUTH-POLE 241122 300  012000-012500   00     255.46  679.4    254.79     0.77     0.77
SOUTH-POLE 241122 300  012500-013000   00     255.53  679.5    254.90     0.81     0.81
SOUTH-POLE 241122 300  013000-013500   00     253.62  679.5    253.01     0.06     0.06
SOUTH-POLE 241122 300  013500-014000   00     252.66  679.5    252.08    -0.31    -0.31
SOUTH-POLE 241122 300  014000-014500   00     251.61  679.5    250.97    -0.74    -0.74
SOUTH-POLE 241122 300  014500-015000   00     253.17  679.4    252.50    -0.14    -0.14
SOUTH-POLE 241122 300  015000-015500   00     251.75  679.4    251.03    -0.72    -0.72
SOUTH-POLE 241122 300  015500-020000   00     255.60  679.5    254.96     0.83     0.83
SOUTH-POLE 241122 3600 020000-030000   00     253.90  679.5    253.34     0.19    -9999
SOUTH-POLE 241122 3600 030000-040000   00     253.43  679.6    253.08     0.09    -9999
SOUTH-POLE 241122 3600 040000-050000   00     253.63  679.8    253.62     0.30    -9999
SOUTH-POLE 241122 3600 050000-060000   00     252.30  680.1    252.75    -0.04    -9999
SOUTH-POLE 241122 3600 060000-070000   00     251.03  680.2    251.73    -0.44    -9999
SOUTH-POLE 241122 3600 070000-080000   00     250.91  680.2    251.60    -0.49    -9999
SOUTH-POLE 241122 3600 080000-090000   00     249.84  680.4    250.98    -0.74    -9999
SOUTH-POLE 241122 3600 090000-100000   00     249.24  680.7    250.83    -0.80    -9999
SOUTH-POLE 241122 3600 100000-110000   00     250.60  680.7    252.24    -0.24    -9999
SOUTH-POLE 241122 3600 110000-120000   00     249.72  680.8    251.56    -0.51    -9999
SOUTH-POLE 241122 3600 120000-130000   00     249.60  680.8    251.32    -0.61    -9999
SOUTH-POLE 241122 3600 130000-140000   00     250.51  680.7    252.15    -0.28    -9999
SOUTH-POLE 241122 3600 140000-150000   00     250.43  680.7    251.92    -0.37    -9999
SOUTH-POLE 241122 3600 150000-160000   00     251.78  680.7    253.34     0.19    -9999
SOUTH-POLE 241122 3600 160000-170000   00     253.96  680.7    255.69     1.12    -9999
SOUTH-POLE 241122 3600 170000-180000   00     253.57  680.9    255.65     1.11    -9999
SOUTH-POLE 241122 3600 180000-190000   00     254.82  681.2    257.49     1.83    -9999
SOUTH-POLE 241122 3600 190000-200000   00     254.61  681.4    257.62     1.88    -9999
SOUTH-POLE 241122 3600 200000-210000   00     254.91  681.5    258.10     2.08    -9999
SOUTH-POLE 241122 3600 210000-220000   00     254.76  681.7    258.25     2.13    -9999
SOUTH-POLE 241122 3600 220000-230000   00     253.93  681.8    257.61     1.88    -9999
SOUTH-POLE 241122 3600 230000-240000   00     253.83  681.9    257.75     1.94    -9999
*
COMMENT DATA SOURCE: NMDB | DOWNLOADED ON 27.11.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-11 16:21:29 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE76/C076SOPO_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
