TERREADELI LATITUDE    -66.65    LONGITUDE     140       ALTITUDE    32 M
TERREADELI INSTRUMENT   9-NM-64  NEUTRON MONITOR	
TERREADELI STANDARD PRESSURE    986.42  MB     COEFFICIENT   -0.74     % / MB
TERREADELI PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
TERREADELI PRE-INCREASE AVERAGE COUNTING RATE    103.26      COUNTS PER SECOND
TERREADELI TIME INTERVALS    300         3600     
TERREADELI SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
TERREADELI 241122 3600 130000-140000   00      98.13  994.7    104.25     0.96    -9999
TERREADELI 241122 3600 140000-150000   00      97.53  994.9    103.73     0.45    -9999
TERREADELI 241122 3600 150000-160000   00      97.77  995.0    104.07     0.79    -9999
TERREADELI 241122 3600 160000-170000   00      97.08  995.2    103.52     0.25    -9999
TERREADELI 241122 3600 170000-180000   00      97.52  995.3    104.01     0.72    -9999
TERREADELI 241122 3600 180000-190000   00      97.97  995.2    104.48     1.18    -9999
TERREADELI 241122 3600 190000-200000   00      98.22  995.3    104.77     1.46    -9999
TERREADELI 241122 3600 200000-210000   00      98.42  995.0    104.76     1.45    -9999
TERREADELI 241122 3600 210000-220000   00      98.56  994.7    104.69     1.38    -9999
TERREADELI 241122 3600 220000-230000   00      99.24  994.1    104.94     1.62    -9999
TERREADELI 241122 3600 230000-240000   00     100.47  993.2    105.56     2.22    -9999
*
COMMENT DATA SOURCE: NMDB | DOWNLOADED ON 27.11.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-11 16:21:29 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE76/C076TERA_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
