THULE      LATITUDE    76.6      LONGITUDE     -68.8     ALTITUDE    260 M
THULE      INSTRUMENT   9NM64    NEUTRON MONITOR     	
THULE      STANDARD PRESSURE    1005    MB     COEFFICIENT   -0.742    % / MB
THULE      PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
THULE      PRE-INCREASE AVERAGE COUNTING RATE    109.95      COUNTS PER SECOND
THULE      TIME INTERVALS    300         3600     
THULE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
THULE      241121 300  234500-235000   00      96.39 1020.4    108.23    -1.57    -1.57
THULE      241121 300  235000-235500   00      97.67 1020.4    109.66    -0.26    -0.26
THULE      241121 300  235500-240000   00      98.04 1020.4    110.07     0.10     0.10
THULE      241122 300  000000-000500   00      97.80 1020.3    109.77    -0.16    -0.16
THULE      241122 300  000500-001000   00      97.13 1020.3    109.02    -0.85    -0.85
THULE      241122 300  001000-001500   00      97.55 1020.4    109.53    -0.39    -0.39
THULE      241122 300  001500-002000   00      96.12 1020.4    107.93    -1.84    -1.84
THULE      241122 300  002000-002500   00      98.39 1020.4    110.50     0.49     0.49
THULE      241122 300  002500-003000   00      98.48 1020.2    110.44     0.44     0.44
THULE      241122 300  003000-003500   00      98.01 1020.0    109.74    -0.19    -0.19
THULE      241122 300  003500-004000   00      97.43 1019.9    109.01    -0.86    -0.86
THULE      241122 300  004000-004500   00      97.80 1019.9    109.39    -0.51    -0.51
THULE      241122 300  004500-005000   00      97.82 1019.8    109.36    -0.54    -0.54
THULE      241122 300  005000-005500   00      99.56 1019.6    111.11     1.06     1.06
THULE      241122 300  005500-010000   00      98.93 1019.4    110.27     0.29     0.29
THULE      241122 300  010000-010500   00      96.88 1019.3    107.93    -1.84    -1.84
THULE      241122 300  010500-011000   00      96.96 1019.4    108.09    -1.69    -1.69
THULE      241122 300  011000-011500   00      98.52 1019.5    109.88    -0.06    -0.06
THULE      241122 300  011500-012000   00      98.11 1019.5    109.42    -0.48    -0.48
THULE      241122 300  012000-012500   00      96.93 1019.4    108.01    -1.77    -1.77
THULE      241122 300  012500-013000   00      98.59 1019.1    109.69    -0.24    -0.24
THULE      241122 300  013000-013500   00      98.77 1019.0    109.73    -0.20    -0.20
THULE      241122 300  013500-014000   00      99.64 1018.7    110.49     0.48     0.48
THULE      241122 300  014000-014500   00      98.68 1018.4    109.22    -0.67    -0.67
