JUNGFRAU1  LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3570 M
JUNGFRAU1  INSTRUMENT   IGY     NEUTRON MONITOR
JUNGFRAU1  STANDARD PRESSURE    642.61  MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU1  PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
JUNGFRAU1  PRE-INCREASE AVERAGE COUNTING RATE    331.84      COUNTS PER SECOND
JUNGFRAU1  TIME INTERVALS    300         3600     
JUNGFRAU1  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU1  241121 300  235000-235500   00     339.65  639.0    329.81    -0.61    -0.33
JUNGFRAU1  241121 300  235500-240000   00     338.42  639.1    328.94    -0.87    -0.59
JUNGFRAU1  241122 300  000000-000500   00     339.95  639.1    330.50    -0.40    -0.11
JUNGFRAU1  241122 300  000500-001000   00     340.32  638.9    330.31    -0.46    -0.17
JUNGFRAU1  241122 300  001000-001500   00     337.38  639.3    328.41    -1.03    -0.74
JUNGFRAU1  241122 300  001500-002000   00     339.94  639.4    331.29    -0.16     0.13
JUNGFRAU1  241122 300  002000-002500   00     338.65  639.2    329.57    -0.68    -0.38
JUNGFRAU1  241122 300  002500-003000   00     341.17  639.5    332.65     0.25     0.55
JUNGFRAU1  241122 300  003000-003500   00     338.42  639.7    330.32    -0.46    -0.15
JUNGFRAU1  241122 300  003500-004000   00     335.97  638.9    326.13    -1.72    -1.41
JUNGFRAU1  241122 300  004000-004500   00     341.10  639.3    331.99     0.05     0.36
JUNGFRAU1  241122 300  004500-005000   00     341.73  639.1    332.29     0.14     0.45
JUNGFRAU1  241122 300  005000-005500   00     336.66  639.3    327.66    -1.26    -0.94
JUNGFRAU1  241122 300  005500-010000   00     338.69  639.0    328.80    -0.91    -0.59
JUNGFRAU1  241122 300  010000-010500   00     340.57  639.1    331.16    -0.20     0.12
JUNGFRAU1  241122 300  010500-011000   00     339.68  639.8    331.85     0.00     0.33
JUNGFRAU1  241122 300  011000-011500   00     342.44  639.7    334.38     0.77     1.10
JUNGFRAU1  241122 300  011500-012000   00     337.91  639.7    329.85    -0.60    -0.27
JUNGFRAU1  241122 300  012000-012500   00     339.32  640.0    331.94     0.03     0.37
JUNGFRAU1  241122 300  012500-013000   00     338.80  640.0    331.35    -0.15     0.19
JUNGFRAU1  241122 300  013000-013500   00     337.19  640.3    330.40    -0.43    -0.09
JUNGFRAU1  241122 300  013500-014000   00     341.47  640.4    335.06     0.97     1.32
