SOPO-6NM64 LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOPO-6NM64 INSTRUMENT   6NM64b    NEUTRON MONITOR	
SOPO-6NM64 STANDARD PRESSURE    680     MB     COEFFICIENT   -0.75     % / MB
SOPO-6NM64 PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
SOPO-6NM64 PRE-INCREASE AVERAGE COUNTING RATE    121.31      COUNTS PER SECOND
SOPO-6NM64 TIME INTERVALS    300         3600     
SOPO-6NM64 SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
SOPO-6NM64 241121 300  235500-240000   00     122.23  679.2    121.60     0.24     0.24
SOPO-6NM64 241122 300  000000-000500   00     121.63  679.3    121.01    -0.25    -0.25
SOPO-6NM64 241122 300  000500-001000   00     122.39  679.3    121.79     0.39     0.39
SOPO-6NM64 241122 300  001000-001500   00     122.33  679.3    121.75     0.36     0.36
SOPO-6NM64 241122 300  001500-002000   00     122.33  679.3    121.77     0.37     0.37
SOPO-6NM64 241122 300  002000-002500   00     123.77  679.3    123.18     1.54     1.54
SOPO-6NM64 241122 300  002500-003000   00     122.37  679.3    121.78     0.38     0.38
SOPO-6NM64 241122 300  003000-003500   00     121.34  679.3    120.77    -0.45    -0.45
SOPO-6NM64 241122 300  003500-004000   00     122.76  679.3    122.18     0.71     0.71
SOPO-6NM64 241122 300  004000-004500   00     122.23  679.3    121.67     0.30     0.30
SOPO-6NM64 241122 300  004500-005000   00     122.09  679.3    121.54     0.19     0.19
SOPO-6NM64 241122 300  005000-005500   00     122.51  679.4    121.99     0.56     0.56
SOPO-6NM64 241122 300  005500-010000   00     121.53  679.4    121.02    -0.24    -0.24
SOPO-6NM64 241122 300  010000-010500   00     122.22  679.4    121.72     0.33     0.33
SOPO-6NM64 241122 300  010500-011000   00     122.32  679.4    121.84     0.43     0.43
SOPO-6NM64 241122 300  011000-011500   00     122.06  679.4    121.59     0.22     0.22
SOPO-6NM64 241122 300  011500-012000   00     122.34  679.4    121.88     0.47     0.47
SOPO-6NM64 241122 300  012000-012500   00     123.50  679.4    123.05     1.43     1.43
SOPO-6NM64 241122 300  012500-013000   00     121.18  679.5    120.75    -0.46    -0.46
SOPO-6NM64 241122 300  013000-013500   00     121.79  679.5    121.37     0.04     0.04
SOPO-6NM64 241122 300  013500-014000   00     120.82  679.5    120.41    -0.74    -0.74
SOPO-6NM64 241122 300  014000-014500   00     121.99  679.5    121.55     0.19     0.19
SOPO-6NM64 241122 300  014500-015000   00     121.23  679.4    120.78    -0.44    -0.44
