DOURBES    LATITUDE    50.1      LONGITUDE     4.6       ALTITUDE    225 M
DOURBES    INSTRUMENT   9-NM-64  NEUTRON MONITOR	
DOURBES    STANDARD PRESSURE    986.6   MB     COEFFICIENT   -0.739    % / MB
DOURBES    PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
DOURBES    PRE-INCREASE AVERAGE COUNTING RATE     99.72      COUNTS PER SECOND
DOURBES    TIME INTERVALS    300         3600     
DOURBES    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
DOURBES    241122 3600 120000-130000   00     102.91  981.4     99.05    -0.67    -9999
DOURBES    241122 3600 130000-140000   00     103.51  981.8     99.91     0.19    -9999
DOURBES    241122 3600 140000-150000   00     102.49  982.5     99.43    -0.29    -9999
DOURBES    241122 3600 150000-160000   00     102.43  983.5    100.10     0.38    -9999
DOURBES    241122 3600 160000-170000   00     101.13  984.6     99.67    -0.05    -9999
DOURBES    241122 3600 170000-180000   00     100.67  986.2    100.38     0.67    -9999
DOURBES    241122 3600 180000-190000   00      99.53  987.4    100.17     0.46    -9999
DOURBES    241122 3600 190000-200000   00      98.04  988.6     99.51    -0.21    -9999
DOURBES    241122 3600 200000-210000   00      97.91  989.9    100.33     0.61    -9999
DOURBES    241122 3600 210000-220000   00      96.20  991.0     99.36    -0.36    -9999
DOURBES    241122 3600 220000-230000   00      95.86  991.5     99.39    -0.33    -9999
DOURBES    241122 3600 230000-240000   00      95.79  992.1     99.79     0.07    -9999
*
COMMENT DATA SOURCE: NMDB | DOWNLOADED ON 27.11.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-11 16:21:29 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE76/C076DRBS_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
