DOMB       LATITUDE    75.1      LONGITUDE     -123.38   ALTITUDE    3233 M
DOMB       INSTRUMENT   BARE  NEUTRON MONITOR
DOMB       STANDARD PRESSURE    650     MB     COEFFICIENT   -0.754    % / MB
DOMB       PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
DOMB       PRE-INCREASE AVERAGE COUNTING RATE      4.26      COUNTS PER SECOND
DOMB       TIME INTERVALS    300         3600     
DOMB       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
DOMB       241122 3600 120000-130000   00       3.23  645.6      4.22    -1.06    -9999
DOMB       241122 3600 130000-140000   00       3.22  646.0      4.23    -0.78    -9999
DOMB       241122 3600 140000-150000   00       3.27  646.2      4.31     0.98    -9999
DOMB       241122 3600 150000-160000   00       3.27  646.4      4.31     1.06    -9999
DOMB       241122 3600 160000-170000   00       3.25  646.5      4.29     0.59    -9999
DOMB       241122 3600 170000-180000   00       3.30  646.6      4.34     1.80    -9999
DOMB       241122 3600 180000-190000   00       3.30  646.7      4.33     1.64    -9999
DOMB       241122 3600 190000-200000   00       3.27  647.1      4.29     0.70    -9999
DOMB       241122 3600 200000-210000   00       3.35  647.3      4.39     2.81    -9999
DOMB       241122 3600 210000-220000   00       3.35  647.4      4.38     2.66    -9999
DOMB       241122 3600 220000-230000   00       3.33  647.6      4.35     1.91    -9999
DOMB       241122 3600 230000-240000   00       3.42  647.7      4.43     3.87    -9999
*
COMMENT DATA SOURCE: STEPAN POLUIANOV (PERSONAL COMMUNICATION)
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-11 16:21:29 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE76/C076DOMB_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
