MEXICOCITY LATITUDE    19.33     LONGITUDE     260.82    ALTITUDE    2274 M
MEXICOCITY INSTRUMENT   6-NM-64  NEUTRON MONITOR
MEXICOCITY STANDARD PRESSURE    778.58  MB     COEFFICIENT   -0.95     % / MB
MEXICOCITY PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
MEXICOCITY PRE-INCREASE AVERAGE COUNTING RATE    212.26      COUNTS PER SECOND
MEXICOCITY TIME INTERVALS    300         3600     
MEXICOCITY SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MEXICOCITY 241122 300  001500-002000   00     212.79  776.6    209.74    -1.19    -1.19
MEXICOCITY 241122 300  002000-002500   00     212.56  776.7    209.63    -1.24    -1.24
MEXICOCITY 241122 300  002500-003000   00     211.98  776.8    209.24    -1.42    -1.42
MEXICOCITY 241122 300  003000-003500   00     212.17  776.9    209.55    -1.28    -1.28
MEXICOCITY 241122 300  003500-004000   00     213.97  777.0    211.44    -0.38    -0.38
MEXICOCITY 241122 300  004000-004500   00     213.22  777.0    210.73    -0.72    -0.72
MEXICOCITY 241122 300  004500-005000   00     212.73  777.1    210.40    -0.88    -0.88
MEXICOCITY 241122 300  005000-005500   00     212.40  777.2    210.22    -0.96    -0.96
MEXICOCITY 241122 300  005500-010000   00     212.67  777.4    210.70    -0.73    -0.73
MEXICOCITY 241122 300  010000-010500   00     214.35  777.4    212.43     0.08     0.08
MEXICOCITY 241122 300  010500-011000   00     212.07  777.5    210.31    -0.92    -0.92
MEXICOCITY 241122 300  011000-011500   00     212.30  777.6    210.72    -0.73    -0.73
MEXICOCITY 241122 300  011500-012000   00     211.08  777.7    209.63    -1.24    -1.24
MEXICOCITY 241122 300  012000-012500   00     211.74  777.8    210.44    -0.85    -0.85
MEXICOCITY 241122 300  012500-013000   00     212.69  777.9    211.48    -0.37    -0.37
MEXICOCITY 241122 300  013000-013500   00     209.83  777.9    208.71    -1.67    -1.67
MEXICOCITY 241122 300  013500-014000   00     209.94  778.0    208.98    -1.55    -1.55
MEXICOCITY 241122 300  014000-014500   00     212.99  778.1    212.13    -0.06    -0.06
MEXICOCITY 241122 300  014500-015000   00     212.40  778.1    211.54    -0.34    -0.34
MEXICOCITY 241122 300  015000-015500   00     210.54  778.2    209.78    -1.17    -1.17
