MOSCOW     LATITUDE    55.47     LONGITUDE     37.32     ALTITUDE    200 M
MOSCOW     INSTRUMENT   24NM64    NEUTRON MONITOR	
MOSCOW     STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.71     % / MB
MOSCOW     PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
MOSCOW     PRE-INCREASE AVERAGE COUNTING RATE    138.08      COUNTS PER SECOND
MOSCOW     TIME INTERVALS    300         3600     
MOSCOW     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MOSCOW     241121 300  234000-234500   00     170.13  971.2    138.25     0.12     0.68
MOSCOW     241121 300  234500-235000   00     169.70  971.3    138.03    -0.03     0.51
MOSCOW     241121 300  235000-235500   00     168.51  971.5    137.25    -0.60    -0.07
MOSCOW     241121 300  235500-240000   00     169.74  971.6    138.36     0.20     0.72
MOSCOW     241122 300  000000-000500   00     169.23  971.8    138.10     0.01     0.51
MOSCOW     241122 300  000500-001000   00     168.48  971.9    137.66    -0.31     0.18
MOSCOW     241122 300  001000-001500   00     168.04  972.1    137.47    -0.44     0.03
MOSCOW     241122 300  001500-002000   00     168.10  972.2    137.66    -0.31     0.15
MOSCOW     241122 300  002000-002500   00     165.95  972.4    136.08    -1.45    -1.01
MOSCOW     241122 300  002500-003000   00     167.68  972.6    137.64    -0.32     0.11
MOSCOW     241122 300  003000-003500   00     168.06  972.7    138.10     0.01     0.42
MOSCOW     241122 300  003500-004000   00     167.68  972.8    137.88    -0.15     0.24
MOSCOW     241122 300  004000-004500   00     166.73  973.0    137.30    -0.57    -0.19
MOSCOW     241122 300  004500-005000   00     166.73  973.1    137.39    -0.50    -0.14
MOSCOW     241122 300  005000-005500   00     165.75  973.3    136.71    -1.00    -0.66
MOSCOW     241122 300  005500-010000   00     167.62  973.5    138.49     0.29     0.61
MOSCOW     241122 300  010000-010500   00     163.84  973.6    135.52    -1.86    -1.56
MOSCOW     241122 300  010500-011000   00     165.79  973.8    137.25    -0.60    -0.32
MOSCOW     241122 300  011000-011500   00     164.67  973.9    136.47    -1.17    -0.91
MOSCOW     241122 300  011500-012000   00     166.70  974.1    138.36     0.20     0.44
MOSCOW     241122 300  012000-012500   00     166.79  974.3    138.64     0.41     0.62
MOSCOW     241122 300  012500-013000   00     166.17  974.4    138.22     0.10     0.29
MOSCOW     241122 300  013000-013500   00     165.62  974.7    138.08     0.00     0.17
MOSCOW     241122 300  013500-014000   00     164.87  975.0    137.71    -0.27    -0.12
MOSCOW     241122 300  014000-014500   00     163.26  975.2    136.55    -1.11    -0.98
MOSCOW     241122 300  014500-015000   00     164.17  975.4    137.47    -0.44    -0.34
MOSCOW     241122 300  015000-015500   00     163.28  975.5    136.86    -0.88    -0.81
MOSCOW     241122 300  015500-020000   00     165.68  975.6    139.03     0.69     0.74
MOSCOW     241122 3600 020000-030000   00     162.05  976.4    136.68    -1.01    -9999
MOSCOW     241122 3600 030000-040000   00     162.03  977.6    137.93    -0.11    -9999
MOSCOW     241122 3600 040000-050000   00     160.38  978.9    137.77    -0.23    -9999
MOSCOW     241122 3600 050000-060000   00     158.75  980.5    137.90    -0.13    -9999
MOSCOW     241122 3600 060000-070000   00     156.82  981.9    137.62    -0.34    -9999
MOSCOW     241122 3600 070000-080000   00     155.90  983.1    138.03    -0.04    -9999
MOSCOW     241122 3600 080000-090000   00     154.48  984.7    138.37     0.21    -9999
MOSCOW     241122 3600 090000-100000   00     153.02  986.0    138.30     0.16    -9999
MOSCOW     241122 3600 100000-110000   00     152.32  986.7    138.45     0.27    -9999
MOSCOW     241122 3600 110000-120000   00     151.23  987.6    138.35     0.19    -9999
MOSCOW     241122 3600 120000-130000   00     150.53  988.6    138.65     0.41    -9999
MOSCOW     241122 3600 130000-140000   00     151.50  988.9    139.90     1.32    -9999
MOSCOW     241122 3600 140000-150000   00     150.97  989.3    139.77     1.22    -9999
MOSCOW     241122 3600 150000-160000   00     150.33  989.8    139.67     1.15    -9999
MOSCOW     241122 3600 160000-170000   00     149.55  990.3    139.45     0.99    -9999
MOSCOW     241122 3600 170000-180000   00     149.95  990.6    140.17     1.51    -9999
MOSCOW     241122 3600 180000-190000   00     149.30  990.5    139.48     1.01    -9999
MOSCOW     241122 3600 190000-200000   00     149.27  990.1    139.00     0.66    -9999
MOSCOW     241122 3600 200000-210000   00     149.80  989.5    138.90     0.59    -9999
MOSCOW     241122 3600 210000-220000   00     150.48  988.9    138.90     0.59    -9999
MOSCOW     241122 3600 220000-230000   00     152.17  987.8    139.33     0.91    -9999
MOSCOW     241122 3600 230000-240000   00     153.13  986.8    139.22     0.82    -9999
