APATITY LATITUDE    67.55     LONGITUDE     33.33     ALTITUDE    177 M
APATITY INSTRUMENT   18NM64    NEUTRON MONITOR	
APATITY STANDARD PRESSURE    1010    MB     COEFFICIENT   -0.73     % / MB
APATITY PRE-INCREASE BASELINE TIME INTERVAL    240608    000000-020000   UT
APATITY PRE-INCREASE AVERAGE COUNTING RATE    158.86      COUNTS PER SECOND
APATITY TIME INTERVALS    300         3600     
APATITY SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
APATITY 240608 300  102500-103000   00     175.87  987.8    161.07     1.39     0.71
APATITY 240608 300  103000-103500   00     173.19  987.7    158.56    -0.19    -0.88
APATITY 240608 300  103500-104000   00     175.22  987.7    160.38     0.96     0.26
APATITY 240608 300  104000-104500   00     174.88  987.7    160.01     0.73     0.02
APATITY 240608 300  104500-105000   00     174.71  987.6    159.83     0.61    -0.10
APATITY 240608 300  105000-105500   00     175.25  987.7    160.34     0.93     0.22
APATITY 240608 300  105500-110000   00     174.06  987.7    159.26     0.25    -0.47
APATITY 240608 300  110000-110500   00     174.13  987.7    159.32     0.29    -0.43
APATITY 240608 300  110500-111000   00     175.64  987.6    160.68     1.15     0.41
APATITY 240608 300  111000-111500   00     175.60  987.6    160.60     1.10     0.36
APATITY 240608 300  111500-112000   00     174.03  987.6    159.13     0.17    -0.58
APATITY 240608 300  112000-112500   00     173.05  987.5    158.21    -0.41    -9999
APATITY 240608 300  112500-113000   00     175.87  987.5    160.73     1.18    -9999
APATITY 240608 300  113000-113500   00     175.80  987.5    160.61     1.11    -9999
APATITY 240608 300  113500-114000   00     175.37  987.4    160.19     0.84    -9999
APATITY 240608 300  114000-114500   00     174.64  987.4    159.53     0.42    -9999
APATITY 240608 300  114500-115000   00     173.97  987.4    158.87     0.01    -9999
APATITY 240608 300  115000-115500   00     173.46  987.4    158.37    -0.31    -9999
APATITY 240608 300  115500-120000   00     175.58  987.3    160.28     0.90    -9999
