SOPO-6NM64 LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOPO-6NM64 INSTRUMENT   6NM64b    NEUTRON MONITOR	
SOPO-6NM64 STANDARD PRESSURE    680     MB     COEFFICIENT   -0.75     % / MB
SOPO-6NM64 PRE-INCREASE BASELINE TIME INTERVAL    240608    000000-020000   UT
SOPO-6NM64 PRE-INCREASE AVERAGE COUNTING RATE    124.67      COUNTS PER SECOND
SOPO-6NM64 TIME INTERVALS    300         3600     
SOPO-6NM64 SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
SOPO-6NM64 240608 300  104000-104500   00     133.68  672.0    126.04     1.10    -0.50
SOPO-6NM64 240608 300  104500-105000   00     133.45  672.0    125.88     0.97    -0.65
SOPO-6NM64 240608 300  105000-105500   00     133.70  672.1    126.17     1.20    -0.42
SOPO-6NM64 240608 300  105500-110000   00     132.42  672.1    124.99     0.26    -1.39
SOPO-6NM64 240608 300  110000-110500   00     132.53  672.1    125.06     0.31    -1.34
SOPO-6NM64 240608 300  110500-111000   00     134.08  672.1    126.51     1.48    -0.19
SOPO-6NM64 240608 300  111000-111500   00     133.95  672.1    126.36     1.35    -0.33
SOPO-6NM64 240608 300  111500-112000   00     133.08  672.0    125.47     0.64    -1.06
SOPO-6NM64 240608 300  112000-112500   00     133.06  671.9    125.40     0.58    -9999
SOPO-6NM64 240608 300  112500-113000   00     133.88  672.0    126.20     1.23    -9999
SOPO-6NM64 240608 300  113000-113500   00     132.79  672.0    125.19     0.42    -9999
SOPO-6NM64 240608 300  113500-114000   00     134.35  672.1    126.72     1.65    -9999
SOPO-6NM64 240608 300  114000-114500   00     133.81  672.2    126.32     1.32    -9999
SOPO-6NM64 240608 300  114500-115000   00     133.05  672.2    125.61     0.76    -9999
SOPO-6NM64 240608 300  115000-115500   00     133.03  672.1    125.57     0.72    -9999
SOPO-6NM64 240608 300  115500-120000   00     133.24  672.2    125.83     0.93    -9999
SOPO-6NM64 240608 3600 120000-130000   00     132.85  672.3    125.58     0.73    -9999
SOPO-6NM64 240608 3600 130000-140000   00     132.85  672.6    125.82     0.92    -9999
SOPO-6NM64 240608 3600 140000-150000   00     132.18  672.9    125.44     0.61    -9999
SOPO-6NM64 240608 3600 150000-160000   00     131.38  673.5    125.27     0.48    -9999
SOPO-6NM64 240608 3600 160000-170000   00     131.20  674.1    125.60     0.75    -9999
SOPO-6NM64 240608 3600 170000-180000   00     131.09  674.1    125.52     0.68    -9999
SOPO-6NM64 240608 3600 180000-190000   00     130.96  674.3    125.64     0.77    -9999
SOPO-6NM64 240608 3600 190000-200000   00     130.40  674.9    125.58     0.73    -9999
SOPO-6NM64 240608 3600 200000-210000   00     129.84  675.3    125.41     0.59    -9999
SOPO-6NM64 240608 3600 210000-220000   00     129.68  675.5    125.45     0.62    -9999
SOPO-6NM64 240608 3600 220000-230000   00     129.91  675.9    126.09     1.14    -9999
SOPO-6NM64 240608 3600 230000-240000   00     129.39  676.3    125.92     1.00    -9999
*
COMMENT DATA SOURCE: NMDB | DOWNLOADED ON 08.12.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-11 16:23:44 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE75/C075SOPB_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
